symbol,partition,date_utc,signal_bar_start,signal_ts,H,L,range,hi_visits_at_signal,opp_visits_at_signal,terminal,terminal_ts,minutes_to_target_break,final_high_visits_known,final_low_visits_known,reached_k2,reached_k3,high_visits_after_signal
BTCUSDT,external,2020-01-03,2020-01-03 13:55:00+00:00,2020-01-03 14:00:00+00:00,7368.33,7198.0,170.32999999999993,1,0,TARGET_BREAK,2020-01-03 16:45:00+00:00,165.0,3,0,True,True,2
BTCUSDT,external,2020-01-06,2020-01-06 13:50:00+00:00,2020-01-06 13:55:00+00:00,7576.0,7505.35,70.64999999999964,1,0,NO_BREAK,,,1,1,False,False,0
BTCUSDT,external,2020-01-10,2020-01-10 13:30:00+00:00,2020-01-10 13:35:00+00:00,7929.0,7670.0,259.0,1,0,TARGET_BREAK,2020-01-10 13:40:00+00:00,5.0,1,0,False,False,0
BTCUSDT,external,2020-01-20,2020-01-20 15:50:00+00:00,2020-01-20 15:55:00+00:00,8686.0,8526.06,159.9400000000005,1,0,TARGET_BREAK,2020-01-20 16:05:00+00:00,10.0,1,0,False,False,0
BTCUSDT,external,2020-01-27,2020-01-27 13:30:00+00:00,2020-01-27 13:35:00+00:00,8764.0,8565.0,199.0,1,0,TARGET_BREAK,2020-01-27 13:40:00+00:00,5.0,1,0,False,False,0
BTCUSDT,external,2020-01-30,2020-01-30 14:00:00+00:00,2020-01-30 14:05:00+00:00,9415.2,9322.12,93.07999999999993,1,0,TARGET_BREAK,2020-01-30 16:25:00+00:00,140.0,2,1,True,False,1
BTCUSDT,external,2020-02-12,2020-02-12 13:30:00+00:00,2020-02-12 13:35:00+00:00,10395.0,10235.52,159.47999999999956,1,0,TARGET_BREAK,2020-02-12 14:05:00+00:00,30.0,1,0,False,False,0
BTCUSDT,external,2020-03-16,2020-03-16 14:25:00+00:00,2020-03-16 14:30:00+00:00,4949.0,4413.62,535.3800000000001,1,0,TARGET_BREAK,2020-03-16 14:35:00+00:00,5.0,1,0,False,False,0
BTCUSDT,external,2020-03-18,2020-03-18 13:30:00+00:00,2020-03-18 13:35:00+00:00,5249.18,4982.75,266.4300000000003,1,0,TARGET_BREAK,2020-03-18 13:55:00+00:00,20.0,1,0,False,False,0
BTCUSDT,external,2020-04-02,2020-04-02 14:35:00+00:00,2020-04-02 14:40:00+00:00,6728.2,6600.0,128.19999999999982,1,0,TARGET_BREAK,2020-04-02 14:45:00+00:00,5.0,1,0,False,False,0
BTCUSDT,external,2020-04-09,2020-04-09 14:00:00+00:00,2020-04-09 14:05:00+00:00,7345.0,7105.98,239.02000000000044,1,0,NO_BREAK,,,1,0,False,False,0
BTCUSDT,external,2020-04-22,2020-04-22 13:45:00+00:00,2020-04-22 13:50:00+00:00,7075.0,6915.0,160.0,1,0,TARGET_BREAK,2020-04-22 14:30:00+00:00,40.0,1,0,False,False,0
BTCUSDT,external,2020-05-07,2020-05-07 16:50:00+00:00,2020-05-07 16:55:00+00:00,9630.0,9251.99,378.0100000000002,1,0,TARGET_BREAK,2020-05-07 17:00:00+00:00,5.0,1,0,False,False,0
BTCUSDT,external,2020-05-13,2020-05-13 14:05:00+00:00,2020-05-13 14:10:00+00:00,9115.0,8828.0,287.0,1,0,TARGET_BREAK,2020-05-13 15:30:00+00:00,80.0,2,0,True,False,1
BTCUSDT,external,2020-05-25,2020-05-25 17:35:00+00:00,2020-05-25 17:40:00+00:00,8876.6,8657.0,219.60000000000036,1,0,TARGET_BREAK,2020-05-25 17:50:00+00:00,10.0,1,0,False,False,0
BTCUSDT,external,2020-06-01,2020-06-01 16:10:00+00:00,2020-06-01 16:15:00+00:00,9587.49,9486.89,100.60000000000036,1,0,TARGET_BREAK,2020-06-01 16:20:00+00:00,5.0,1,0,False,False,0
BTCUSDT,external,2020-06-02,2020-06-02 13:30:00+00:00,2020-06-02 13:35:00+00:00,10179.0,10100.0,79.0,1,0,TARGET_BREAK,2020-06-02 13:40:00+00:00,5.0,1,0,False,False,0
BTCUSDT,external,2020-06-04,2020-06-04 13:45:00+00:00,2020-06-04 13:50:00+00:00,9777.0,9440.0,337.0,1,0,TARGET_BREAK,2020-06-04 16:00:00+00:00,130.0,1,0,False,False,0
BTCUSDT,external,2020-06-10,2020-06-10 13:35:00+00:00,2020-06-10 13:40:00+00:00,9774.0,9706.0,68.0,1,0,TARGET_BREAK,2020-06-10 16:55:00+00:00,195.0,2,0,True,False,1
BTCUSDT,external,2020-06-23,2020-06-23 14:15:00+00:00,2020-06-23 14:20:00+00:00,9669.34,9585.0,84.34000000000015,1,0,TARGET_BREAK,2020-06-23 14:25:00+00:00,5.0,1,0,False,False,0
BTCUSDT,external,2020-07-06,2020-07-06 15:40:00+00:00,2020-07-06 15:45:00+00:00,9275.08,9171.0,104.07999999999993,1,0,TARGET_BREAK,2020-07-06 15:50:00+00:00,5.0,1,0,False,False,0
BTCUSDT,external,2020-07-08,2020-07-08 13:40:00+00:00,2020-07-08 13:45:00+00:00,9333.13,9264.53,68.59999999999854,1,0,TARGET_BREAK,2020-07-08 13:50:00+00:00,5.0,1,0,False,False,0
BTCUSDT,external,2020-07-16,2020-07-16 16:15:00+00:00,2020-07-16 16:20:00+00:00,9140.98,9044.02,96.95999999999913,1,0,TARGET_BREAK,2020-07-16 18:35:00+00:00,135.0,2,0,True,False,1
BTCUSDT,external,2020-07-22,2020-07-22 15:00:00+00:00,2020-07-22 15:05:00+00:00,9355.0,9292.56,62.44000000000051,1,0,TARGET_BREAK,2020-07-22 17:35:00+00:00,150.0,2,0,True,False,1
BTCUSDT,external,2020-07-24,2020-07-24 15:45:00+00:00,2020-07-24 15:50:00+00:00,9565.0,9490.0,75.0,1,0,TARGET_BREAK,2020-07-24 16:55:00+00:00,65.0,1,0,False,False,0
BTCUSDT,external,2020-07-30,2020-07-30 13:35:00+00:00,2020-07-30 13:40:00+00:00,11028.94,10826.55,202.39000000000124,1,0,TARGET_BREAK,2020-07-30 13:45:00+00:00,5.0,1,0,False,False,0
BTCUSDT,external,2020-08-05,2020-08-05 14:00:00+00:00,2020-08-05 14:05:00+00:00,11635.96,11283.0,352.9599999999991,1,0,TARGET_BREAK,2020-08-05 14:35:00+00:00,30.0,1,0,False,False,0
BTCUSDT,external,2020-08-12,2020-08-12 13:45:00+00:00,2020-08-12 13:50:00+00:00,11546.02,11425.0,121.02000000000044,1,0,TARGET_BREAK,2020-08-12 13:55:00+00:00,5.0,1,0,False,False,0
BTCUSDT,external,2020-08-20,2020-08-20 14:50:00+00:00,2020-08-20 14:55:00+00:00,11850.0,11690.47,159.53000000000065,1,0,TARGET_BREAK,2020-08-20 15:05:00+00:00,10.0,1,0,False,False,0
BTCUSDT,external,2020-09-07,2020-09-07 16:05:00+00:00,2020-09-07 16:10:00+00:00,10188.54,9879.68,308.8600000000006,1,0,TARGET_BREAK,2020-09-07 16:20:00+00:00,10.0,1,0,False,False,0
BTCUSDT,external,2020-09-11,2020-09-11 16:00:00+00:00,2020-09-11 16:05:00+00:00,10334.99,10251.32,83.67000000000007,1,0,NO_BREAK,,,4,0,True,True,3
BTCUSDT,external,2020-09-14,2020-09-14 13:30:00+00:00,2020-09-14 13:35:00+00:00,10617.6,10320.79,296.8099999999995,1,0,TARGET_BREAK,2020-09-14 13:45:00+00:00,10.0,1,0,False,False,0
BTCUSDT,external,2020-09-23,2020-09-23 13:30:00+00:00,2020-09-23 13:35:00+00:00,10515.0,10398.45,116.54999999999927,1,0,TARGET_BREAK,2020-09-23 13:40:00+00:00,5.0,1,0,False,False,0
BTCUSDT,external,2020-09-30,2020-09-30 13:30:00+00:00,2020-09-30 13:35:00+00:00,10744.49,10660.05,84.44000000000051,1,0,TARGET_BREAK,2020-09-30 14:05:00+00:00,30.0,1,0,False,False,0
BTCUSDT,external,2020-10-05,2020-10-05 14:00:00+00:00,2020-10-05 14:05:00+00:00,10729.96,10650.0,79.95999999999913,1,0,TARGET_BREAK,2020-10-05 14:35:00+00:00,30.0,1,0,False,False,0
BTCUSDT,external,2020-10-07,2020-10-07 13:30:00+00:00,2020-10-07 13:35:00+00:00,10628.6,10563.08,65.52000000000044,1,0,TARGET_BREAK,2020-10-07 15:25:00+00:00,110.0,2,0,True,False,1
BTCUSDT,external,2020-10-08,2020-10-08 13:30:00+00:00,2020-10-08 13:35:00+00:00,10743.99,10523.0,220.98999999999978,1,0,TARGET_BREAK,2020-10-08 14:35:00+00:00,60.0,2,0,True,False,1
BTCUSDT,external,2020-10-12,2020-10-12 13:35:00+00:00,2020-10-12 13:40:00+00:00,11394.64,11157.0,237.63999999999942,1,0,TARGET_BREAK,2020-10-12 13:45:00+00:00,5.0,1,0,False,False,0
BTCUSDT,external,2020-10-15,2020-10-15 13:50:00+00:00,2020-10-15 13:55:00+00:00,11402.11,11250.0,152.11000000000058,1,0,TARGET_BREAK,2020-10-15 15:20:00+00:00,85.0,1,0,False,False,0
BTCUSDT,external,2020-10-19,2020-10-19 15:15:00+00:00,2020-10-19 15:20:00+00:00,11700.0,11442.62,257.3799999999992,1,0,TARGET_BREAK,2020-10-19 15:45:00+00:00,25.0,1,0,False,False,0
BTCUSDT,external,2020-10-20,2020-10-20 13:55:00+00:00,2020-10-20 14:00:00+00:00,11937.63,11696.0,241.6299999999992,1,0,TARGET_BREAK,2020-10-20 15:15:00+00:00,75.0,3,0,True,True,2
BTCUSDT,external,2020-10-21,2020-10-21 13:35:00+00:00,2020-10-21 13:40:00+00:00,12436.99,12125.0,311.9899999999998,1,0,TARGET_BREAK,2020-10-21 13:50:00+00:00,10.0,1,0,False,False,0
