partition,date_utc,signal_ts,method,structural_outcome,wick_filled,wick_exit_reason,wick_net,close_filled,close_exit_reason,close_net
august,2026-08-03,2026-08-03 13:50:00+00:00,NEXT_OPEN,TARGET_BREAK,True,TP_RANGE_EDGE,-0.15932974525483223,True,TP_RANGE_EDGE,-0.15932974525483223
august,2026-08-03,2026-08-03 13:50:00+00:00,F50,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
august,2026-08-03,2026-08-03 13:50:00+00:00,F55,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
august,2026-08-03,2026-08-03 13:50:00+00:00,F60,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
august,2026-08-03,2026-08-03 13:50:00+00:00,F65,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
august,2026-08-03,2026-08-03 13:50:00+00:00,F70,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
august,2026-08-03,2026-08-03 13:50:00+00:00,F75,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
august,2026-08-03,2026-08-03 13:50:00+00:00,F80,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
august,2026-08-04,2026-08-04 13:40:00+00:00,NEXT_OPEN,TARGET_BREAK,True,TP_RANGE_EDGE,-0.2109673317179258,True,TP_RANGE_EDGE,-0.2109673317179258
august,2026-08-04,2026-08-04 13:40:00+00:00,F50,TARGET_BREAK,True,TP_RANGE_EDGE,1.9751972139387513,True,TP_RANGE_EDGE,1.9751972139387513
august,2026-08-04,2026-08-04 13:40:00+00:00,F55,TARGET_BREAK,True,TP_RANGE_EDGE,1.7366624935844626,True,TP_RANGE_EDGE,1.7366624935844626
august,2026-08-04,2026-08-04 13:40:00+00:00,F60,TARGET_BREAK,True,TP_RANGE_EDGE,1.4983541849225683,True,TP_RANGE_EDGE,1.4983541849225683
august,2026-08-04,2026-08-04 13:40:00+00:00,F65,TARGET_BREAK,True,TP_RANGE_EDGE,1.2602719657486943,True,TP_RANGE_EDGE,1.2602719657486943
august,2026-08-04,2026-08-04 13:40:00+00:00,F70,TARGET_BREAK,True,TP_RANGE_EDGE,1.0224155144696438,True,TP_RANGE_EDGE,1.0224155144696438
august,2026-08-04,2026-08-04 13:40:00+00:00,F75,TARGET_BREAK,True,TP_RANGE_EDGE,0.7847845101018439,True,TP_RANGE_EDGE,0.7847845101018439
august,2026-08-04,2026-08-04 13:40:00+00:00,F80,TARGET_BREAK,True,TP_RANGE_EDGE,0.5473786322700128,True,TP_RANGE_EDGE,0.5473786322700128
august,2026-08-17,2026-08-17 13:45:00+00:00,NEXT_OPEN,TARGET_BREAK,True,TP_RANGE_EDGE,0.5917204699906312,True,TP_RANGE_EDGE,0.5917204699906312
august,2026-08-17,2026-08-17 13:45:00+00:00,F50,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
august,2026-08-17,2026-08-17 13:45:00+00:00,F55,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
august,2026-08-17,2026-08-17 13:45:00+00:00,F60,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
august,2026-08-17,2026-08-17 13:45:00+00:00,F65,TARGET_BREAK,True,TP_RANGE_EDGE,0.9707420881521326,True,TP_RANGE_EDGE,0.9707420881521326
august,2026-08-17,2026-08-17 13:45:00+00:00,F70,TARGET_BREAK,True,TP_RANGE_EDGE,0.7744618229156955,True,TP_RANGE_EDGE,0.7744618229156955
august,2026-08-17,2026-08-17 13:45:00+00:00,F75,TARGET_BREAK,True,TP_RANGE_EDGE,0.5783351799901307,True,TP_RANGE_EDGE,0.5783351799901307
august,2026-08-17,2026-08-17 13:45:00+00:00,F80,TARGET_BREAK,True,TP_RANGE_EDGE,0.38236197909298253,True,TP_RANGE_EDGE,0.38236197909298253
august,2026-08-20,2026-08-20 15:05:00+00:00,NEXT_OPEN,TARGET_BREAK,True,TP_RANGE_EDGE,0.9264965966164332,True,TP_RANGE_EDGE,0.9264965966164332
august,2026-08-20,2026-08-20 15:05:00+00:00,F50,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
august,2026-08-20,2026-08-20 15:05:00+00:00,F55,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
august,2026-08-20,2026-08-20 15:05:00+00:00,F60,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
august,2026-08-20,2026-08-20 15:05:00+00:00,F65,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
august,2026-08-20,2026-08-20 15:05:00+00:00,F70,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
august,2026-08-20,2026-08-20 15:05:00+00:00,F75,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
august,2026-08-20,2026-08-20 15:05:00+00:00,F80,TARGET_BREAK,True,TP_RANGE_EDGE,3.3747225772805094,True,TP_RANGE_EDGE,3.3747225772805094
development,2022-01-19,2022-01-19 14:35:00+00:00,NEXT_OPEN,TARGET_BREAK,True,TP_RANGE_EDGE,1.1491282259288975,True,TP_RANGE_EDGE,1.1491282259288975
development,2022-01-19,2022-01-19 14:35:00+00:00,F50,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-01-19,2022-01-19 14:35:00+00:00,F55,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-01-19,2022-01-19 14:35:00+00:00,F60,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-01-19,2022-01-19 14:35:00+00:00,F65,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-01-19,2022-01-19 14:35:00+00:00,F70,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-01-19,2022-01-19 14:35:00+00:00,F75,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-01-19,2022-01-19 14:35:00+00:00,F80,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-01-25,2022-01-25 14:25:00+00:00,NEXT_OPEN,TARGET_BREAK,True,TP_RANGE_EDGE,-0.14833679307928416,True,TP_RANGE_EDGE,-0.14833679307928416
development,2022-01-25,2022-01-25 14:25:00+00:00,F50,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
development,2022-01-25,2022-01-25 14:25:00+00:00,F55,TARGET_BREAK,True,TP_RANGE_EDGE,4.540522954130721,True,TP_RANGE_EDGE,4.540522954130721
development,2022-01-25,2022-01-25 14:25:00+00:00,F60,TARGET_BREAK,True,TP_RANGE_EDGE,3.98675976204983,True,TP_RANGE_EDGE,3.98675976204983
development,2022-01-25,2022-01-25 14:25:00+00:00,F65,TARGET_BREAK,True,TP_RANGE_EDGE,3.4342098524185576,True,TP_RANGE_EDGE,3.4342098524185576
development,2022-01-25,2022-01-25 14:25:00+00:00,F70,TARGET_BREAK,True,TP_RANGE_EDGE,2.882869242189568,True,TP_RANGE_EDGE,2.882869242189568
development,2022-01-25,2022-01-25 14:25:00+00:00,F75,TARGET_BREAK,True,TP_RANGE_EDGE,2.33273396573015,True,TP_RANGE_EDGE,2.33273396573015
development,2022-01-25,2022-01-25 14:25:00+00:00,F80,TARGET_BREAK,True,TP_RANGE_EDGE,1.7838000747287368,True,TP_RANGE_EDGE,1.7838000747287368
development,2022-01-26,2022-01-26 13:55:00+00:00,NEXT_OPEN,TARGET_BREAK,True,TP_RANGE_EDGE,1.6168637801039059,True,TP_RANGE_EDGE,1.6168637801039059
development,2022-01-26,2022-01-26 13:55:00+00:00,F50,TARGET_BREAK,False,RANGE_BROKE_BEFORE_FILL,,False,,
