partition,parent_won,parent_exit_reason,parent_loss_class,n
development,False,FAILED_BREAK,L2_BREAK_FAST_FAIL_5M,71
development,False,FAILED_BREAK,L3_BREAK_FAST_FAIL_10M,37
development,False,FAILED_BREAK,L4_BREAK_FAIL_30M,50
development,False,FAILED_BREAK,L5_BREAK_FAIL_LATE,24
development,True,FAILED_BREAK,WIN,2
development,True,TARGET,WIN,31
development,True,TIME,WIN,4
external,False,FAILED_BREAK,L2_BREAK_FAST_FAIL_5M,38
external,False,FAILED_BREAK,L3_BREAK_FAST_FAIL_10M,17
external,False,FAILED_BREAK,L4_BREAK_FAIL_30M,30
external,False,FAILED_BREAK,L5_BREAK_FAIL_LATE,25
external,True,FAILED_BREAK,WIN,3
external,True,TARGET,WIN,32
external,True,TIME,WIN,3
reference_validation,False,FAILED_BREAK,L2_BREAK_FAST_FAIL_5M,50
reference_validation,False,FAILED_BREAK,L3_BREAK_FAST_FAIL_10M,21
reference_validation,False,FAILED_BREAK,L4_BREAK_FAIL_30M,24
reference_validation,False,FAILED_BREAK,L5_BREAK_FAIL_LATE,11
reference_validation,True,FAILED_BREAK,WIN,1
reference_validation,True,TARGET,WIN,29
reference_validation,True,TIME,WIN,2
