partition,regime,clock_block,obs_start,obs_end,H,L,range,ext15_px,k1_ts,k1_start,direct_break,break_ts,break_complete_ts,retest_ts,retest_complete_ts,retest_class,accepted_retest,terminal_ts,terminal_type,ext15_success,minutes_break_to_retest,minutes_accept_to_ext15,reclaim_complete_ts,R4,event_id
external,BULL,08-12,2020-01-08 08:00:00+00:00,2020-01-08 12:00:00+00:00,8381.87,8280.0,101.8700000000008,8264.7195,2020-01-08 08:05:00+00:00,2020-01-08 08:00:00+00:00,True,2020-01-08 08:10:00+00:00,2020-01-08 08:15:00+00:00,2020-01-08 08:15:00+00:00,2020-01-08 08:20:00+00:00,RETEST_RECLAIMED,False,2020-01-08 08:20:00+00:00,RETEST_RECLAIMED,False,0.0,,2020-01-08 08:20:00+00:00,101.8700000000008,0
external,BULL,04-08,2020-01-09 04:00:00+00:00,2020-01-09 08:00:00+00:00,8060.0,7932.0,128.0,7912.8,2020-01-09 04:15:00+00:00,2020-01-09 04:10:00+00:00,True,2020-01-09 06:10:00+00:00,2020-01-09 06:15:00+00:00,2020-01-09 06:15:00+00:00,2020-01-09 06:20:00+00:00,RETEST_RECLAIMED,False,2020-01-09 06:20:00+00:00,RETEST_RECLAIMED,False,0.0,,2020-01-09 06:20:00+00:00,128.0,1
external,BULL,08-12,2020-01-09 08:00:00+00:00,2020-01-09 12:00:00+00:00,7980.73,7898.0,82.72999999999956,7885.5905,2020-01-09 09:05:00+00:00,2020-01-09 09:00:00+00:00,True,2020-01-09 09:05:00+00:00,2020-01-09 09:10:00+00:00,2020-01-09 09:10:00+00:00,2020-01-09 09:15:00+00:00,RETEST_RECLAIMED,False,2020-01-09 09:15:00+00:00,RETEST_RECLAIMED,False,0.0,,2020-01-09 09:15:00+00:00,82.72999999999956,2
external,BULL,04-08,2020-01-11 04:00:00+00:00,2020-01-11 08:00:00+00:00,8261.33,8131.93,129.39999999999964,8112.52,2020-01-11 04:25:00+00:00,2020-01-11 04:20:00+00:00,True,2020-01-11 04:25:00+00:00,2020-01-11 04:30:00+00:00,2020-01-11 04:30:00+00:00,2020-01-11 04:35:00+00:00,RETEST_RECLAIMED,False,2020-01-11 04:35:00+00:00,RETEST_RECLAIMED,False,0.0,,2020-01-11 04:35:00+00:00,129.39999999999964,3
external,SIDEWAYS,12-16,2020-01-20 12:00:00+00:00,2020-01-20 16:00:00+00:00,8686.0,8601.0,85.0,8588.25,2020-01-20 12:25:00+00:00,2020-01-20 12:20:00+00:00,True,2020-01-20 12:25:00+00:00,2020-01-20 12:30:00+00:00,2020-01-20 12:40:00+00:00,2020-01-20 12:45:00+00:00,RETEST_RECLAIMED,False,2020-01-20 12:45:00+00:00,RETEST_RECLAIMED,False,10.0,,2020-01-20 12:45:00+00:00,85.0,4
external,BULL,08-12,2020-01-28 08:00:00+00:00,2020-01-28 12:00:00+00:00,9149.09,8977.61,171.47999999999956,8951.888,2020-01-28 08:30:00+00:00,2020-01-28 08:25:00+00:00,True,2020-01-28 10:00:00+00:00,2020-01-28 10:05:00+00:00,2020-01-28 10:05:00+00:00,2020-01-28 10:10:00+00:00,RETEST_RECLAIMED,False,2020-01-28 10:10:00+00:00,RETEST_RECLAIMED,False,0.0,,2020-01-28 10:10:00+00:00,171.47999999999956,5
external,BULL,00-04,2020-01-31 00:00:00+00:00,2020-01-31 04:00:00+00:00,9599.0,9481.58,117.42000000000007,9463.967,2020-01-31 01:05:00+00:00,2020-01-31 01:00:00+00:00,True,2020-01-31 01:35:00+00:00,2020-01-31 01:40:00+00:00,2020-01-31 01:40:00+00:00,2020-01-31 01:45:00+00:00,RETEST_RECLAIMED,False,2020-01-31 01:45:00+00:00,RETEST_RECLAIMED,False,0.0,,2020-01-31 01:45:00+00:00,117.42000000000007,6
external,BULL,00-04,2020-02-02 00:00:00+00:00,2020-02-02 04:00:00+00:00,9421.4,9354.52,66.8799999999992,9344.488000000001,2020-02-02 00:35:00+00:00,2020-02-02 00:30:00+00:00,True,2020-02-02 00:35:00+00:00,2020-02-02 00:40:00+00:00,2020-02-02 00:40:00+00:00,2020-02-02 00:45:00+00:00,RETEST_RECLAIMED,False,2020-02-02 00:45:00+00:00,RETEST_RECLAIMED,False,0.0,,2020-02-02 00:45:00+00:00,66.8799999999992,7
external,SIDEWAYS,04-08,2020-02-04 04:00:00+00:00,2020-02-04 08:00:00+00:00,9368.0,9271.18,96.81999999999971,9256.657000000001,2020-02-04 04:55:00+00:00,2020-02-04 04:50:00+00:00,True,2020-02-04 05:00:00+00:00,2020-02-04 05:05:00+00:00,2020-02-04 05:10:00+00:00,2020-02-04 05:15:00+00:00,RETEST_RECLAIMED,False,2020-02-04 05:15:00+00:00,RETEST_RECLAIMED,False,5.0,,2020-02-04 05:15:00+00:00,96.81999999999971,8
external,BULL,04-08,2020-02-07 04:00:00+00:00,2020-02-07 08:00:00+00:00,9867.3,9762.0,105.29999999999927,9746.205,2020-02-07 04:20:00+00:00,2020-02-07 04:15:00+00:00,True,2020-02-07 04:20:00+00:00,2020-02-07 04:25:00+00:00,2020-02-07 04:25:00+00:00,2020-02-07 04:30:00+00:00,RETEST_RECLAIMED,False,2020-02-07 04:30:00+00:00,RETEST_RECLAIMED,False,0.0,,2020-02-07 04:30:00+00:00,105.29999999999927,9
external,SIDEWAYS,00-04,2020-02-11 00:00:00+00:00,2020-02-11 04:00:00+00:00,9908.0,9825.88,82.1200000000008,9813.562,2020-02-11 00:25:00+00:00,2020-02-11 00:20:00+00:00,True,2020-02-11 00:25:00+00:00,2020-02-11 00:30:00+00:00,2020-02-11 00:35:00+00:00,2020-02-11 00:40:00+00:00,RETEST_RECLAIMED,False,2020-02-11 00:40:00+00:00,RETEST_RECLAIMED,False,5.0,,2020-02-11 00:40:00+00:00,82.1200000000008,10
external,SIDEWAYS,08-12,2020-02-16 08:00:00+00:00,2020-02-16 12:00:00+00:00,10042.06,9942.0,100.05999999999949,9926.991,2020-02-16 11:00:00+00:00,2020-02-16 10:55:00+00:00,True,2020-02-16 11:05:00+00:00,2020-02-16 11:10:00+00:00,2020-02-16 11:10:00+00:00,2020-02-16 11:15:00+00:00,RETEST_RECLAIMED,False,2020-02-16 11:15:00+00:00,RETEST_RECLAIMED,False,0.0,,2020-02-16 11:15:00+00:00,100.05999999999949,11
external,BEAR,12-16,2020-02-18 12:00:00+00:00,2020-02-18 16:00:00+00:00,9802.59,9645.23,157.36000000000058,9621.626,2020-02-18 13:00:00+00:00,2020-02-18 12:55:00+00:00,True,2020-02-18 13:15:00+00:00,2020-02-18 13:20:00+00:00,2020-02-18 13:45:00+00:00,2020-02-18 13:50:00+00:00,RETEST_RECLAIMED,False,2020-02-18 13:50:00+00:00,RETEST_RECLAIMED,False,25.0,,2020-02-18 13:50:00+00:00,157.36000000000058,12
external,BULL,20-00,2020-02-23 20:00:00+00:00,2020-02-24 00:00:00+00:00,9905.0,9860.0,45.0,9853.25,2020-02-23 20:45:00+00:00,2020-02-23 20:40:00+00:00,True,2020-02-23 20:45:00+00:00,2020-02-23 20:50:00+00:00,2020-02-23 20:55:00+00:00,2020-02-23 21:00:00+00:00,RETEST_RECLAIMED,False,2020-02-23 21:00:00+00:00,RETEST_RECLAIMED,False,5.0,,2020-02-23 21:00:00+00:00,45.0,13
external,SIDEWAYS,00-04,2020-03-08 00:00:00+00:00,2020-03-08 04:00:00+00:00,8932.31,8865.0,67.30999999999949,8854.9035,2020-03-08 00:05:00+00:00,2020-03-08 00:00:00+00:00,True,2020-03-08 00:05:00+00:00,2020-03-08 00:10:00+00:00,2020-03-08 00:10:00+00:00,2020-03-08 00:15:00+00:00,RETEST_RECLAIMED,False,2020-03-08 00:15:00+00:00,RETEST_RECLAIMED,False,0.0,,2020-03-08 00:15:00+00:00,67.30999999999949,14
external,SIDEWAYS,12-16,2020-03-09 12:00:00+00:00,2020-03-09 16:00:00+00:00,7996.28,7762.06,234.21999999999935,7726.927000000001,2020-03-09 13:40:00+00:00,2020-03-09 13:35:00+00:00,True,2020-03-09 13:45:00+00:00,2020-03-09 13:50:00+00:00,2020-03-09 13:50:00+00:00,2020-03-09 13:55:00+00:00,RETEST_RECLAIMED,False,2020-03-09 13:55:00+00:00,RETEST_RECLAIMED,False,0.0,,2020-03-09 13:55:00+00:00,234.21999999999935,15
external,SIDEWAYS,12-16,2020-03-11 12:00:00+00:00,2020-03-11 16:00:00+00:00,7930.0,7758.18,171.8199999999997,7732.407,2020-03-11 15:40:00+00:00,2020-03-11 15:35:00+00:00,True,2020-03-11 15:45:00+00:00,2020-03-11 15:50:00+00:00,2020-03-11 15:50:00+00:00,2020-03-11 15:55:00+00:00,RETEST_RECLAIMED,False,2020-03-11 15:55:00+00:00,RETEST_RECLAIMED,False,0.0,,2020-03-11 15:55:00+00:00,171.8199999999997,16
external,BULL,12-16,2020-03-24 12:00:00+00:00,2020-03-24 16:00:00+00:00,6840.0,6564.21,275.78999999999996,6522.8415,2020-03-24 12:20:00+00:00,2020-03-24 12:15:00+00:00,True,2020-03-24 15:05:00+00:00,2020-03-24 15:10:00+00:00,2020-03-24 15:40:00+00:00,2020-03-24 15:45:00+00:00,RETEST_RECLAIMED,False,2020-03-24 15:45:00+00:00,RETEST_RECLAIMED,False,30.0,,2020-03-24 15:45:00+00:00,275.78999999999996,17
