side,partition,date_utc,signal_ts,regime_at_signal,regime_bar_start,regime_available_ts,alignment,target_break,clean_window,filled,h2,accepted_after_h2,e20_after_h2,entry_ts,regime_at_entry,entry_regime_available_ts,state_changed_signal_to_entry
LONG,august,2026-08-03,2026-08-03 13:50:00+00:00,BEAR,2026-08-03 08:00:00+00:00,2026-08-03 12:00:00+00:00,COUNTER,True,False,False,False,False,False,,,,False
LONG,august,2026-08-04,2026-08-04 13:40:00+00:00,BULL,2026-08-04 08:00:00+00:00,2026-08-04 12:00:00+00:00,ALIGNED,True,True,True,True,True,True,2026-08-04 14:30:00+00:00,BULL,2026-08-04 12:00:00+00:00,False
LONG,august,2026-08-17,2026-08-17 13:45:00+00:00,BULL,2026-08-17 08:00:00+00:00,2026-08-17 12:00:00+00:00,ALIGNED,True,True,True,True,True,True,2026-08-17 13:50:00+00:00,BULL,2026-08-17 12:00:00+00:00,False
LONG,august,2026-08-20,2026-08-20 15:05:00+00:00,BULL,2026-08-20 08:00:00+00:00,2026-08-20 12:00:00+00:00,ALIGNED,True,True,True,True,True,False,2026-08-20 15:15:00+00:00,BULL,2026-08-20 12:00:00+00:00,False
LONG,development,2022-01-19,2022-01-19 14:35:00+00:00,BEAR,2022-01-19 08:00:00+00:00,2022-01-19 12:00:00+00:00,COUNTER,True,False,False,False,False,False,,,,False
LONG,development,2022-01-25,2022-01-25 14:25:00+00:00,SIDEWAYS,2022-01-25 08:00:00+00:00,2022-01-25 12:00:00+00:00,SIDEWAYS,True,True,False,False,False,False,,,,False
LONG,development,2022-01-26,2022-01-26 13:55:00+00:00,BULL,2022-01-26 08:00:00+00:00,2022-01-26 12:00:00+00:00,ALIGNED,True,True,False,False,False,False,,,,False
LONG,development,2022-01-28,2022-01-28 13:40:00+00:00,SIDEWAYS,2022-01-28 08:00:00+00:00,2022-01-28 12:00:00+00:00,SIDEWAYS,True,True,True,True,True,True,2022-01-28 13:50:00+00:00,SIDEWAYS,2022-01-28 12:00:00+00:00,False
LONG,development,2022-02-01,2022-02-01 17:00:00+00:00,BULL,2022-02-01 12:00:00+00:00,2022-02-01 16:00:00+00:00,ALIGNED,False,True,True,False,False,False,2022-02-01 17:10:00+00:00,BULL,2022-02-01 16:00:00+00:00,False
LONG,development,2022-02-03,2022-02-03 16:15:00+00:00,BEAR,2022-02-03 12:00:00+00:00,2022-02-03 16:00:00+00:00,COUNTER,False,True,True,False,False,False,2022-02-03 16:20:00+00:00,BEAR,2022-02-03 16:00:00+00:00,False
LONG,development,2022-02-07,2022-02-07 14:25:00+00:00,BULL,2022-02-07 08:00:00+00:00,2022-02-07 12:00:00+00:00,ALIGNED,True,False,False,False,False,False,,,,False
LONG,development,2022-02-09,2022-02-09 19:10:00+00:00,BULL,2022-02-09 12:00:00+00:00,2022-02-09 16:00:00+00:00,ALIGNED,True,True,False,False,False,False,,,,False
LONG,development,2022-02-11,2022-02-11 13:45:00+00:00,SIDEWAYS,2022-02-11 08:00:00+00:00,2022-02-11 12:00:00+00:00,SIDEWAYS,True,True,False,False,False,False,,,,False
LONG,development,2022-02-15,2022-02-15 14:40:00+00:00,BULL,2022-02-15 08:00:00+00:00,2022-02-15 12:00:00+00:00,ALIGNED,False,True,False,False,False,False,,,,False
LONG,development,2022-02-22,2022-02-22 14:00:00+00:00,BEAR,2022-02-22 08:00:00+00:00,2022-02-22 12:00:00+00:00,COUNTER,True,True,True,True,True,True,2022-02-22 14:10:00+00:00,BEAR,2022-02-22 12:00:00+00:00,False
LONG,development,2022-02-24,2022-02-24 14:35:00+00:00,BEAR,2022-02-24 08:00:00+00:00,2022-02-24 12:00:00+00:00,COUNTER,True,True,True,True,True,True,2022-02-24 14:50:00+00:00,BEAR,2022-02-24 12:00:00+00:00,False
LONG,development,2022-03-03,2022-03-03 13:40:00+00:00,BULL,2022-03-03 08:00:00+00:00,2022-03-03 12:00:00+00:00,ALIGNED,True,True,False,False,False,False,,,,False
LONG,development,2022-03-16,2022-03-16 14:05:00+00:00,BULL,2022-03-16 08:00:00+00:00,2022-03-16 12:00:00+00:00,ALIGNED,True,True,True,True,True,True,2022-03-16 14:10:00+00:00,BULL,2022-03-16 12:00:00+00:00,False
LONG,development,2022-03-18,2022-03-18 14:15:00+00:00,BULL,2022-03-18 08:00:00+00:00,2022-03-18 12:00:00+00:00,ALIGNED,True,True,True,True,True,True,2022-03-18 14:20:00+00:00,BULL,2022-03-18 12:00:00+00:00,False
LONG,development,2022-03-21,2022-03-21 13:45:00+00:00,BEAR,2022-03-21 08:00:00+00:00,2022-03-21 12:00:00+00:00,COUNTER,False,True,False,False,False,False,,,,False
LONG,development,2022-03-22,2022-03-22 14:35:00+00:00,BULL,2022-03-22 08:00:00+00:00,2022-03-22 12:00:00+00:00,ALIGNED,False,True,False,False,False,False,,,,False
LONG,development,2022-03-23,2022-03-23 15:05:00+00:00,BULL,2022-03-23 08:00:00+00:00,2022-03-23 12:00:00+00:00,ALIGNED,True,True,False,False,False,False,,,,False
LONG,development,2022-03-25,2022-03-25 13:35:00+00:00,BULL,2022-03-25 08:00:00+00:00,2022-03-25 12:00:00+00:00,ALIGNED,True,True,False,False,False,False,,,,False
LONG,development,2022-03-28,2022-03-28 13:35:00+00:00,BULL,2022-03-28 08:00:00+00:00,2022-03-28 12:00:00+00:00,ALIGNED,True,False,False,False,False,False,,,,False
LONG,development,2022-04-04,2022-04-04 14:15:00+00:00,BEAR,2022-04-04 08:00:00+00:00,2022-04-04 12:00:00+00:00,COUNTER,False,True,False,False,False,False,,,,False
LONG,development,2022-04-18,2022-04-18 13:35:00+00:00,BEAR,2022-04-18 08:00:00+00:00,2022-04-18 12:00:00+00:00,COUNTER,True,True,True,True,True,True,2022-04-18 14:00:00+00:00,BEAR,2022-04-18 12:00:00+00:00,False
LONG,development,2022-04-27,2022-04-27 13:35:00+00:00,BEAR,2022-04-27 08:00:00+00:00,2022-04-27 12:00:00+00:00,COUNTER,True,False,False,False,False,False,,,,False
LONG,development,2022-05-10,2022-05-10 13:35:00+00:00,BEAR,2022-05-10 08:00:00+00:00,2022-05-10 12:00:00+00:00,COUNTER,False,True,True,False,False,False,2022-05-10 14:05:00+00:00,BEAR,2022-05-10 12:00:00+00:00,False
LONG,development,2022-05-13,2022-05-13 13:55:00+00:00,SIDEWAYS,2022-05-13 08:00:00+00:00,2022-05-13 12:00:00+00:00,SIDEWAYS,True,True,False,False,False,False,,,,False
LONG,development,2022-05-19,2022-05-19 13:40:00+00:00,BEAR,2022-05-19 08:00:00+00:00,2022-05-19 12:00:00+00:00,COUNTER,True,True,True,True,True,True,2022-05-19 13:55:00+00:00,BEAR,2022-05-19 12:00:00+00:00,False
LONG,development,2022-05-25,2022-05-25 18:05:00+00:00,BEAR,2022-05-25 12:00:00+00:00,2022-05-25 16:00:00+00:00,COUNTER,True,True,True,True,True,False,2022-05-25 18:10:00+00:00,BEAR,2022-05-25 16:00:00+00:00,False
LONG,development,2022-05-26,2022-05-26 16:20:00+00:00,BEAR,2022-05-26 12:00:00+00:00,2022-05-26 16:00:00+00:00,COUNTER,False,True,False,False,False,False,,,,False
LONG,development,2022-06-01,2022-06-01 13:35:00+00:00,BULL,2022-06-01 08:00:00+00:00,2022-06-01 12:00:00+00:00,ALIGNED,False,True,True,False,False,False,2022-06-01 14:00:00+00:00,BULL,2022-06-01 12:00:00+00:00,False
LONG,development,2022-06-15,2022-06-15 13:55:00+00:00,BEAR,2022-06-15 08:00:00+00:00,2022-06-15 12:00:00+00:00,COUNTER,True,True,False,False,False,False,,,,False
LONG,development,2022-06-20,2022-06-20 15:10:00+00:00,SIDEWAYS,2022-06-20 08:00:00+00:00,2022-06-20 12:00:00+00:00,SIDEWAYS,False,True,False,False,False,False,,,,False
LONG,development,2022-06-29,2022-06-29 19:55:00+00:00,BEAR,2022-06-29 12:00:00+00:00,2022-06-29 16:00:00+00:00,COUNTER,False,False,False,False,False,False,,,,False
LONG,development,2022-07-06,2022-07-06 13:35:00+00:00,BULL,2022-07-06 08:00:00+00:00,2022-07-06 12:00:00+00:00,ALIGNED,True,True,True,True,True,True,2022-07-06 14:05:00+00:00,BULL,2022-07-06 12:00:00+00:00,False
LONG,development,2022-07-08,2022-07-08 14:50:00+00:00,BULL,2022-07-08 08:00:00+00:00,2022-07-08 12:00:00+00:00,ALIGNED,True,True,True,True,True,True,2022-07-08 14:55:00+00:00,BULL,2022-07-08 12:00:00+00:00,False
LONG,development,2022-07-11,2022-07-11 13:35:00+00:00,BEAR,2022-07-11 08:00:00+00:00,2022-07-11 12:00:00+00:00,COUNTER,False,True,False,False,False,False,,,,False
LONG,development,2022-07-12,2022-07-12 13:35:00+00:00,BEAR,2022-07-12 08:00:00+00:00,2022-07-12 12:00:00+00:00,COUNTER,True,True,True,True,True,False,2022-07-12 14:45:00+00:00,BEAR,2022-07-12 12:00:00+00:00,False
LONG,development,2022-07-14,2022-07-14 15:10:00+00:00,BEAR,2022-07-14 08:00:00+00:00,2022-07-14 12:00:00+00:00,COUNTER,True,False,False,False,False,False,,,,False
LONG,development,2022-07-19,2022-07-19 13:35:00+00:00,BULL,2022-07-19 08:00:00+00:00,2022-07-19 12:00:00+00:00,ALIGNED,True,True,True,True,True,True,2022-07-19 13:40:00+00:00,BULL,2022-07-19 12:00:00+00:00,False
LONG,development,2022-07-20,2022-07-20 13:40:00+00:00,BULL,2022-07-20 08:00:00+00:00,2022-07-20 12:00:00+00:00,ALIGNED,True,True,True,True,True,True,2022-07-20 13:55:00+00:00,BULL,2022-07-20 12:00:00+00:00,False
LONG,development,2022-07-22,2022-07-22 13:55:00+00:00,BULL,2022-07-22 08:00:00+00:00,2022-07-22 12:00:00+00:00,ALIGNED,False,True,True,False,False,False,2022-07-22 14:45:00+00:00,BULL,2022-07-22 12:00:00+00:00,False
