partition,regime,clock_block,obs_start,obs_end,reclaim_complete_ts,H,L,R4,eligible,terminal_type,terminal_ts,minutes_to_terminal,max_high_ext_r4,max_close_ext_r4,final_close_above_L,close_ext_05,close_ext_10,close_ext_15,close_ext_25,close_ext_50
development,BEAR,00-04,2022-01-03 00:00:00+00:00,2022-01-03 04:00:00+00:00,2022-01-03 03:55:00+00:00,47469.46,46815.75,653.7099999999991,True,REBREAK_LOW,2022-01-03 04:00:00+00:00,5.0,0.06368267274479117,0.0,False,False,False,False,False,False
development,BEAR,16-20,2022-01-17 16:00:00+00:00,2022-01-17 20:00:00+00:00,2022-01-17 16:25:00+00:00,42768.95,42345.78,423.16999999999825,True,REBREAK_LOW,2022-01-17 16:30:00+00:00,5.0,0.2153035423116028,0.0,False,False,False,False,False,False
development,BEAR,12-16,2022-01-18 12:00:00+00:00,2022-01-18 16:00:00+00:00,2022-01-18 14:40:00+00:00,42040.0,41379.39,660.6100000000006,True,REBREAK_LOW,2022-01-18 14:55:00+00:00,15.0,0.4490849366494573,0.301811961671784,True,True,True,True,True,False
development,BEAR,20-00,2022-01-21 20:00:00+00:00,2022-01-22 00:00:00+00:00,2022-01-21 20:20:00+00:00,39045.0,37805.0,1240.0,True,REBREAK_LOW,2022-01-21 20:30:00+00:00,10.0,0.12641129032258064,0.10605645161290488,False,True,True,False,False,False
development,BULL,08-12,2022-01-29 08:00:00+00:00,2022-01-29 12:00:00+00:00,2022-01-29 09:25:00+00:00,37939.0,37575.06,363.9400000000023,True,NO_BOUNDARY_BY_BLOCK_END,2022-01-29 12:00:00+00:00,155.0,0.6537890861130978,0.5064845853712165,True,True,True,True,True,True
development,BULL,08-12,2022-02-05 08:00:00+00:00,2022-02-05 12:00:00+00:00,2022-02-05 08:45:00+00:00,41752.46,41352.85,399.6100000000006,True,REBREAK_LOW,2022-02-05 09:50:00+00:00,65.0,0.4307950251495238,0.3839743750156455,True,True,True,True,True,False
development,BULL,08-12,2022-02-08 08:00:00+00:00,2022-02-08 12:00:00+00:00,2022-02-08 08:40:00+00:00,45600.0,44063.38,1536.6200000000026,True,REBREAK_LOW,2022-02-08 08:55:00+00:00,15.0,0.11229842121019162,0.11037862321198494,False,True,True,False,False,False
development,BULL,16-20,2022-02-08 16:00:00+00:00,2022-02-08 20:00:00+00:00,2022-02-08 17:40:00+00:00,43978.64,42822.0,1156.6399999999994,True,REBREAK_LOW,2022-02-08 19:30:00+00:00,110.0,0.3587978973578643,0.3008887812975489,True,True,True,True,True,False
development,BEAR,20-00,2022-02-11 20:00:00+00:00,2022-02-12 00:00:00+00:00,2022-02-11 23:15:00+00:00,43746.52,42046.11,1700.4099999999962,True,NO_BOUNDARY_BY_BLOCK_END,2022-02-12 00:00:00+00:00,45.0,0.21884721920007422,0.21174305020554085,True,True,True,True,False,False
development,BEAR,16-20,2022-02-13 16:00:00+00:00,2022-02-13 20:00:00+00:00,2022-02-13 17:20:00+00:00,42755.97,42158.01,597.9599999999991,True,REBREAK_LOW,2022-02-13 18:40:00+00:00,80.0,0.3779015318750443,0.3282493812295122,False,True,True,True,True,False
