partition,date_utc,obs_start,obs_end,regime,side,router_selected,entry_start,entry_px,H,L,range,activated,activation_bar_start,ratchets,exit_ts,exit_px,exit_reason,net_pnl_usd,win,stop_px,E20_DOWN
august,2026-08-02,2026-08-02 16:00:00+00:00,2026-08-02 20:00:00+00:00,BEAR,LONG,False,2026-08-02 17:15:00+00:00,63190.9,63215.1,62974.4,240.6999999999971,True,2026-08-02 17:20:00+00:00,0,2026-08-02 17:25:00+00:00,63263.24,LONG_PROFIT_FLOOR_HIT,0.17239254386309832,True,,
august,2026-08-04,2026-08-04 20:00:00+00:00,2026-08-05 00:00:00+00:00,BULL,LONG,True,2026-08-04 21:00:00+00:00,64316.4,64388.0,63856.4,531.5999999999985,True,2026-08-04 23:15:00+00:00,0,2026-08-04 23:20:00+00:00,64465.2,LONG_PROFIT_FLOOR_GAP_OPEN,0.756781163124787,True,,
august,2026-08-05,2026-08-05 16:00:00+00:00,2026-08-05 20:00:00+00:00,BULL,LONG,True,2026-08-05 16:50:00+00:00,64622.5,64728.5,63847.0,881.5,False,,0,2026-08-05 20:00:00+00:00,64805.7,LONG_TIME_EXIT_4H_BOUNDARY,1.0174629579480903,True,,
august,2026-08-06,2026-08-06 04:00:00+00:00,2026-08-06 08:00:00+00:00,BULL,LONG,True,2026-08-06 04:55:00+00:00,64673.2,64696.0,64386.3,309.6999999999971,True,2026-08-06 05:05:00+00:00,1,2026-08-06 05:25:00+00:00,64874.9,LONG_PROFIT_FLOOR_HIT,1.1593785370138225,True,,
august,2026-08-13,2026-08-13 00:00:00+00:00,2026-08-13 04:00:00+00:00,BEAR,LONG,False,2026-08-13 00:30:00+00:00,63595.7,63629.8,63337.5,292.3000000000029,False,,0,2026-08-13 01:25:00+00:00,63416.0,LONG_PRE_E20_CLOSE_INVALIDATION_F35,-1.8128313706743833,False,,
august,2026-08-15,2026-08-15 16:00:00+00:00,2026-08-15 20:00:00+00:00,BEAR,LONG,False,2026-08-15 16:50:00+00:00,63075.0,63096.7,62920.9,175.79999999999563,False,,0,2026-08-15 20:00:00+00:00,63093.6,LONG_TIME_EXIT_4H_BOUNDARY,-0.2525564803805166,False,,
august,2026-08-17,2026-08-17 12:00:00+00:00,2026-08-17 16:00:00+00:00,BULL,LONG,True,2026-08-17 14:50:00+00:00,63726.9,63753.0,63255.0,498.0,True,2026-08-17 14:55:00+00:00,0,2026-08-17 15:00:00+00:00,63852.6,LONG_PROFIT_FLOOR_HIT,0.5862397198043826,True,,
august,2026-08-20,2026-08-20 12:00:00+00:00,2026-08-20 16:00:00+00:00,BULL,LONG,True,2026-08-20 15:20:00+00:00,72208.9,72487.5,69771.8,2715.699999999997,False,,0,2026-08-20 16:00:00+00:00,72429.1,LONG_TIME_EXIT_4H_BOUNDARY,1.1247427948633653,True,,
august,2026-08-20,2026-08-20 16:00:00+00:00,2026-08-20 20:00:00+00:00,BULL,LONG,True,2026-08-20 17:15:00+00:00,72658.5,72849.9,71100.0,1749.8999999999942,False,,0,2026-08-20 20:00:00+00:00,72649.8,LONG_TIME_EXIT_4H_BOUNDARY,-0.4598691137306262,False,,
august,2026-08-20,2026-08-20 20:00:00+00:00,2026-08-21 00:00:00+00:00,BULL,LONG,True,2026-08-20 23:15:00+00:00,72902.1,72945.3,72159.8,785.5,True,2026-08-20 23:25:00+00:00,0,2026-08-20 23:35:00+00:00,73102.40000000001,LONG_PROFIT_FLOOR_HIT,0.9737601523138298,True,,
development,2022-01-01,2022-01-01 16:00:00+00:00,2022-01-01 20:00:00+00:00,BEAR,LONG,False,2022-01-01 16:40:00+00:00,47397.47,47488.64,46755.01,733.6299999999974,True,2022-01-01 17:35:00+00:00,1,2022-01-01 17:55:00+00:00,47710.82,LONG_PROFIT_FLOOR_HIT,2.905556182640168,True,,
development,2022-01-02,2022-01-02 08:00:00+00:00,2022-01-02 12:00:00+00:00,BEAR,LONG,False,2022-01-02 09:40:00+00:00,47350.69,47418.65,46749.99,668.6600000000035,False,,0,2022-01-02 12:00:00+00:00,47231.29,LONG_TIME_EXIT_4H_BOUNDARY,-1.6608052807678293,False,,
development,2022-01-03,2022-01-03 08:00:00+00:00,2022-01-03 12:00:00+00:00,BEAR,LONG,False,2022-01-03 10:40:00+00:00,47156.81,47217.37,46750.0,467.3700000000026,True,2022-01-03 11:05:00+00:00,0,2022-01-03 11:10:00+00:00,47246.84,LONG_PROFIT_FLOOR_GAP_OPEN,0.5545811092819267,True,,
development,2022-01-06,2022-01-06 08:00:00+00:00,2022-01-06 12:00:00+00:00,BEAR,SHORT,True,2022-01-06 10:05:00+00:00,42670.5435,43258.82,42566.73,692.0899999999965,False,,0,2022-01-06 10:30:00+00:00,42878.1705,SHORT_PRE_E20_HARD_STOP_TOUCH,-2.8329078442603124,False,42878.1705,42428.312000000005
development,2022-01-09,2022-01-09 20:00:00+00:00,2022-01-10 00:00:00+00:00,SIDEWAYS,LONG,False,2022-01-09 20:15:00+00:00,42577.85,42735.0,41550.0,1185.0,False,,0,2022-01-09 23:20:00+00:00,41944.65,LONG_PRE_E20_CLOSE_INVALIDATION_F35,-7.835791144926263,False,,
development,2022-01-11,2022-01-11 00:00:00+00:00,2022-01-11 04:00:00+00:00,BEAR,LONG,False,2022-01-11 02:00:00+00:00,41913.72,41990.0,41144.14,845.8600000000006,True,2022-01-11 02:25:00+00:00,0,2022-01-11 02:30:00+00:00,42140.66,LONG_PROFIT_FLOOR_GAP_OPEN,2.3072280866503596,True,,
development,2022-01-14,2022-01-14 16:00:00+00:00,2022-01-14 20:00:00+00:00,SIDEWAYS,LONG,False,2022-01-14 19:50:00+00:00,43109.72,43350.0,41666.0,1684.0,False,,0,2022-01-14 20:00:00+00:00,43055.1,LONG_TIME_EXIT_4H_BOUNDARY,-1.0334998232417343,False,,
development,2022-01-14,2022-01-14 20:00:00+00:00,2022-01-15 00:00:00+00:00,BULL,LONG,True,2022-01-14 22:55:00+00:00,43348.87,43388.0,42758.46,629.5400000000009,False,,0,2022-01-15 00:00:00+00:00,43042.4,LONG_TIME_EXIT_4H_BOUNDARY,-3.9349249011565886,False,,
development,2022-01-15,2022-01-15 00:00:00+00:00,2022-01-15 04:00:00+00:00,BULL,SHORT,False,2022-01-15 00:30:00+00:00,43047.899000000005,43450.0,42976.94,473.0599999999977,True,2022-01-15 01:40:00+00:00,0,2022-01-15 01:45:00+00:00,42892.86,SHORT_PROFIT_CEILING_GAP_OPEN,1.400773134131406,True,43189.817,42882.328
development,2022-01-15,2022-01-15 16:00:00+00:00,2022-01-15 20:00:00+00:00,BULL,LONG,True,2022-01-15 16:25:00+00:00,43278.45,43389.66,42530.64,859.0200000000041,True,2022-01-15 17:45:00+00:00,0,2022-01-15 17:50:00+00:00,43386.37,LONG_PROFIT_FLOOR_GAP_OPEN,0.8468099019258272,True,,
development,2022-01-16,2022-01-16 04:00:00+00:00,2022-01-16 08:00:00+00:00,SIDEWAYS,LONG,False,2022-01-16 06:55:00+00:00,43116.85,43136.68,42816.0,320.6800000000003,True,2022-01-16 07:00:00+00:00,0,2022-01-16 07:05:00+00:00,43142.82,LONG_PROFIT_FLOOR_GAP_OPEN,-0.09884163615851949,False,,
development,2022-01-17,2022-01-17 04:00:00+00:00,2022-01-17 08:00:00+00:00,BEAR,SHORT,True,2022-01-17 04:50:00+00:00,42688.998,43159.32,42606.0,553.3199999999997,True,2022-01-17 05:00:00+00:00,0,2022-01-17 05:20:00+00:00,42495.336,SHORT_PROFIT_CEILING_HIT,1.8682893611135625,True,42854.994,42495.336
