event_id,candidate,partition,regime,clock_block,obs_start,obs_end,reclaim_complete_ts,H,L,R4,F05,target_fraction,target_name,target_px,T5,T7p5,T10,filled,cancel_reason,fill_ts,entry_px,reward_px,nominal_risk_px,nominal_rr,stop_px,rebreak_confirmed,rebreak_complete_ts,t5_reached,t75_reached,t10_reached,target_reached,extension_used,exit_ts,exit_px,exit_reason,exit_kind,gross_return,net_pnl_usd,hold_minutes
11,BASE_H,external,SIDEWAYS,08-12,2020-02-16 08:00:00+00:00,2020-02-16 12:00:00+00:00,2020-02-16 11:15:00+00:00,10042.06,9942.0,100.05999999999949,9947.003,0.15,T15,9926.991,9936.997,9934.4955,9931.994,True,,2020-02-16 11:15:00+00:00,9947.003,20.012000000000626,,,,True,2020-02-16 12:00:00+00:00,True,True,False,False,True,2020-02-16 12:05:00+00:00,9945.19,PROTECTION_OPEN_EXIT,T5_LOCK,0.0001822659548810935,-0.3088670225594533,50.0
12,BASE_H,external,BEAR,12-16,2020-02-18 12:00:00+00:00,2020-02-18 16:00:00+00:00,2020-02-18 13:50:00+00:00,9802.59,9645.23,157.36000000000058,9653.098,0.1,T10,9629.493999999999,9637.362,9633.428,9629.493999999999,True,,2020-02-18 13:50:00+00:00,9654.01,24.51600000000144,,,,True,2020-02-18 14:00:00+00:00,True,False,False,False,False,2020-02-18 14:05:00+00:00,9663.7,PROTECTION_OPEN_EXIT,L_LOCK,-0.0010037279845370483,-0.9018639922685242,15.0
13,BASE_H,external,BULL,20-00,2020-02-23 20:00:00+00:00,2020-02-24 00:00:00+00:00,2020-02-23 21:00:00+00:00,9905.0,9860.0,45.0,9862.25,0.15,T15,9853.25,9857.75,9856.625,9855.5,True,,2020-02-23 21:00:00+00:00,9875.86,22.610000000000582,,,,False,,False,False,False,False,False,2020-02-23 22:55:00+00:00,9910.25,FULL_SL_HIGH_BREAK,HIGH,-0.003482228383148345,-2.1411141915741725,115.0
14,BASE_H,external,SIDEWAYS,00-04,2020-03-08 00:00:00+00:00,2020-03-08 04:00:00+00:00,2020-03-08 00:15:00+00:00,8932.31,8865.0,67.30999999999949,8868.3655,0.05,T5,8861.6345,8861.6345,8859.95175,8858.269,True,,2020-03-08 00:15:00+00:00,8868.3655,6.730999999999767,,,,True,2020-03-08 00:20:00+00:00,False,False,False,True,False,2020-03-08 00:20:00+00:00,8860.86,TP_GAP_OPEN,TP,0.0008463228088647566,0.02316140443237824,5.0
15,BASE_H,external,SIDEWAYS,12-16,2020-03-09 12:00:00+00:00,2020-03-09 16:00:00+00:00,2020-03-09 13:55:00+00:00,7996.28,7762.06,234.21999999999935,7773.771000000001,0.1,T10,7738.638000000001,7750.349,7744.4935000000005,7738.638000000001,True,,2020-03-09 13:55:00+00:00,7814.35,75.71199999999953,,,,True,2020-03-09 14:40:00+00:00,True,False,False,False,False,2020-03-09 14:50:00+00:00,7762.06,PROTECTION_STOP,L_LOCK,0.00669153544440676,2.9457677222033802,55.0
16,BASE_H,external,SIDEWAYS,12-16,2020-03-11 12:00:00+00:00,2020-03-11 16:00:00+00:00,2020-03-11 15:55:00+00:00,7930.0,7758.18,171.8199999999997,7766.771000000001,0.1,T10,7740.9980000000005,7749.589,7745.293500000001,7740.9980000000005,True,,2020-03-11 15:55:00+00:00,7773.41,32.41199999999935,,,,True,2020-03-11 17:05:00+00:00,False,False,False,True,True,2020-03-11 17:05:00+00:00,7714.95,TP_GAP_OPEN,TP,0.007520509017278136,3.360254508639068,70.0
17,BASE_H,external,BULL,12-16,2020-03-24 12:00:00+00:00,2020-03-24 16:00:00+00:00,2020-03-24 15:45:00+00:00,6840.0,6564.21,275.78999999999996,6577.9995,0.1,T10,6536.631,6550.4205,6543.52575,6536.631,True,,2020-03-24 15:45:00+00:00,6595.38,58.748999999999796,,,,True,2020-03-24 16:05:00+00:00,False,False,False,True,True,2020-03-24 16:10:00+00:00,6536.631,TP_TARGET,TP,0.008907598955632548,4.053799477816273,25.0
18,BASE_H,external,BULL,00-04,2020-03-25 00:00:00+00:00,2020-03-25 04:00:00+00:00,2020-03-25 02:05:00+00:00,6790.75,6605.0,185.75,6614.2875,0.05,T5,6595.7125,6595.7125,6591.06875,6586.425,True,,2020-03-25 02:05:00+00:00,6623.17,27.457500000000437,,,,True,2020-03-25 02:35:00+00:00,False,False,False,True,False,2020-03-25 02:35:00+00:00,6588.91,TP_GAP_OPEN,TP,0.005172749604796528,2.186374802398264,30.0
19,BASE_H,external,BULL,20-00,2020-03-25 20:00:00+00:00,2020-03-26 00:00:00+00:00,2020-03-25 21:55:00+00:00,6699.99,6569.0,130.98999999999978,6575.5495,0.15,T15,6549.3515,6562.4505,6559.17575,6555.901,True,,2020-03-25 21:55:00+00:00,6585.04,35.688500000000204,,,,False,,False,False,False,False,True,2020-03-26 00:05:00+00:00,6730.53,FULL_SL_HIGH_BREAK,HIGH,-0.022094019170726342,-11.44700958536317,130.0
20,BASE_H,external,BULL,16-20,2020-04-05 16:00:00+00:00,2020-04-05 20:00:00+00:00,2020-04-05 17:50:00+00:00,6819.12,6754.53,64.59000000000015,6757.7595,0.1,T10,6748.071,6751.300499999999,6749.68575,6748.071,True,,2020-04-05 17:50:00+00:00,6770.79,22.71900000000005,,,,True,2020-04-05 20:30:00+00:00,False,False,False,True,True,2020-04-05 20:30:00+00:00,6740.6,TP_GAP_OPEN,TP,0.004458859305930268,1.8294296529651342,160.0
21,BASE_H,external,BEAR,12-16,2020-04-11 12:00:00+00:00,2020-04-11 16:00:00+00:00,2020-04-11 14:25:00+00:00,6893.4,6828.19,65.21000000000004,6831.4505,0.1,T10,6821.669,6824.929499999999,6823.29925,6821.669,True,,2020-04-11 14:25:00+00:00,6834.02,12.351000000000568,,,,True,2020-04-11 14:30:00+00:00,False,False,False,True,False,2020-04-11 14:35:00+00:00,6821.669,TP_TARGET,TP,0.0018072818048528636,0.5036409024264318,10.0
22,BASE_H,external,BEAR,12-16,2020-04-13 12:00:00+00:00,2020-04-13 16:00:00+00:00,2020-04-13 14:05:00+00:00,6830.0,6651.0,179.0,6659.95,0.1,T10,6633.1,6642.05,6637.575,6633.1,True,,2020-04-13 14:05:00+00:00,6687.98,54.8799999999992,,,,False,,False,False,False,False,True,2020-04-13 20:00:00+00:00,6768.01,TIME_EXTENDED_END_OPEN,TIME_EXTENDED,-0.011966243918193634,-6.383121959096817,355.0
23,BASE_H,external,BEAR,00-04,2020-04-15 00:00:00+00:00,2020-04-15 04:00:00+00:00,2020-04-15 00:25:00+00:00,6925.95,6825.99,99.96000000000004,6830.987999999999,0.05,T5,6820.992,6820.992,6818.4929999999995,6815.994,True,,2020-04-15 00:25:00+00:00,6830.987999999999,9.995999999999185,,,,False,,False,False,False,False,True,2020-04-15 08:00:00+00:00,6860.1,TIME_EXTENDED_END_OPEN,TIME_EXTENDED,-0.004261755400536642,-2.530877700268321,455.0
24,BASE_H,external,BULL,12-16,2020-04-17 12:00:00+00:00,2020-04-17 16:00:00+00:00,2020-04-17 13:40:00+00:00,7122.64,7023.0,99.64000000000033,7027.982,0.1,T10,7013.036,7018.018,7015.527,7013.036,True,,2020-04-17 13:40:00+00:00,7031.37,18.333999999999833,,,,True,2020-04-17 14:50:00+00:00,False,False,False,True,False,2020-04-17 14:55:00+00:00,7013.036,TP_TARGET,TP,0.0026074577216104165,0.9037288608052082,75.0
