partition,dev_block,execution_start,entry_ts,parent_exit_ts,parent_exit_reason,parent_pnl,parent_pnl_5bps,parent_won,parent_loss_class,exit_ts,exit_reason,exit_price,pnl,pnl_5bps,won,won_5bps,cut_done,cut_signal_ts,cut_known_ts,cut_exec_ts,cut_price,restore_done,restore_signal_ts,restore_known_ts,restore_exec_ts,restore_price,stress_cost,delta_pnl,delta_pnl_5bps
development,0.0,2022-01-01 15:00:00+00:00,2022-01-01 15:25:00+00:00,2022-01-01 15:50:00+00:00,FAILED_BREAK,-0.2018803714598505,-0.4518803714598505,False,L4_BREAK_FAIL_30M,2022-01-01 15:50:00+00:00,FAILED_BREAK,173.3,-1.1059976434465435,-1.4809976434465435,False,False,True,2022-01-01 15:25:00+00:00,2022-01-01 15:30:00+00:00,2022-01-01 15:30:00+00:00,173.43,True,2022-01-01 15:30:00+00:00,2022-01-01 15:35:00+00:00,2022-01-01 15:35:00+00:00,174.06,0.375,-0.904117271986693,-1.029117271986693
development,0.0,2022-01-02 15:00:00+00:00,2022-01-02 16:10:00+00:00,2022-01-02 16:20:00+00:00,FAILED_BREAK,-0.622347949080615,-0.872347949080615,False,L2_BREAK_FAST_FAIL_5M,2022-01-02 16:20:00+00:00,FAILED_BREAK,176.53,-0.622347949080615,-0.872347949080615,False,False,False,,,,,False,,,,,0.25,0.0,0.0
development,0.0,2022-01-04 15:00:00+00:00,2022-01-04 15:00:00+00:00,2022-01-04 15:20:00+00:00,FAILED_BREAK,-0.9802225681831422,-1.2302225681831422,False,L4_BREAK_FAIL_30M,2022-01-04 15:20:00+00:00,FAILED_BREAK,173.09,-0.1441503776740405,-0.3941503776740405,False,False,True,2022-01-04 15:00:00+00:00,2022-01-04 15:05:00+00:00,2022-01-04 15:05:00+00:00,173.67,False,,,,,0.25,0.8360721905091018,0.8360721905091018
development,0.0,2022-01-06 15:00:00+00:00,2022-01-06 17:05:00+00:00,2022-01-06 17:15:00+00:00,FAILED_BREAK,-1.0920643325170731,-1.3420643325170731,False,L2_BREAK_FAST_FAIL_5M,2022-01-06 17:15:00+00:00,FAILED_BREAK,150.76,-1.0920643325170731,-1.3420643325170731,False,False,False,,,,,False,,,,,0.25,0.0,0.0
development,0.0,2022-01-09 15:00:00+00:00,2022-01-09 16:05:00+00:00,2022-01-09 16:50:00+00:00,TARGET,4.63599631388667,4.38599631388667,True,WIN,2022-01-09 16:50:00+00:00,TARGET,142.378,4.63599631388667,4.38599631388667,True,True,False,,,,,False,,,,,0.25,0.0,0.0
development,0.0,2022-01-11 15:00:00+00:00,2022-01-11 15:05:00+00:00,2022-01-11 16:15:00+00:00,TARGET,5.082407609090289,4.832407609090289,True,WIN,2022-01-11 16:15:00+00:00,TARGET,139.13,5.082407609090289,4.832407609090289,True,True,False,,,,,False,,,,,0.25,0.0,0.0
development,0.0,2022-01-12 15:00:00+00:00,2022-01-12 15:15:00+00:00,2022-01-12 15:35:00+00:00,FAILED_BREAK,-1.4898083564705011,-1.7398083564705011,False,L2_BREAK_FAST_FAIL_5M,2022-01-12 15:35:00+00:00,FAILED_BREAK,147.23,-0.05078892124327217,-0.30078892124327217,False,False,True,2022-01-12 15:25:00+00:00,2022-01-12 15:30:00+00:00,2022-01-12 15:30:00+00:00,148.08,False,,,,,0.25,1.439019435227229,1.439019435227229
development,0.0,2022-01-14 15:00:00+00:00,2022-01-14 15:05:00+00:00,2022-01-14 15:15:00+00:00,FAILED_BREAK,0.16969861525928387,-0.08030138474071613,True,WIN,2022-01-14 15:15:00+00:00,FAILED_BREAK,147.37,0.1527287537333999,-0.09727124626660011,True,False,True,2022-01-14 15:05:00+00:00,2022-01-14 15:10:00+00:00,2022-01-14 15:10:00+00:00,147.36,False,,,,,0.25,-0.016969861525883978,-0.016969861525883978
development,0.0,2022-01-15 15:00:00+00:00,2022-01-15 15:40:00+00:00,2022-01-15 15:50:00+00:00,TARGET,4.087193460490468,3.837193460490468,True,WIN,2022-01-15 15:50:00+00:00,TARGET,148.0,4.087193460490468,3.837193460490468,True,True,False,,,,,False,,,,,0.25,0.0,0.0
development,0.0,2022-01-18 15:00:00+00:00,2022-01-18 21:10:00+00:00,2022-01-18 21:15:00+00:00,TARGET,5.772987050567946,5.522987050567946,True,WIN,2022-01-18 21:15:00+00:00,TARGET,139.826,5.772987050567946,5.522987050567946,True,True,False,,,,,False,,,,,0.25,0.0,0.0
