partition,entry_ts,exit_ts,year,hour_utc,minute_anchor,entry_price,exit_price,gross_return,net,ret_24h,ret_72h,ret_7d,range_24h,range_72h,range_7d,loc_24h,loc_72h,loc_7d,range_ratio_24_72,mfe_pct,mae_pct,giveback_pct
external,2020-11-09 13:00:00+00:00,2020-11-10 05:00:00+00:00,2020,13,0,2.1263,2.1341,0.0036683440718618954,1.0841720359309477,-0.015237124861059548,0.2518692964380336,0.4417548142120964,0.1226380140792887,0.4758904916102444,0.8315025766205586,0.393882175226587,0.5376716565631573,0.6952621707575635,0.25770217359108233,0.01349762498236351,-0.08211447114706305,0.009829280910501614
external,2020-11-10 09:00:00+00:00,2020-11-11 01:00:00+00:00,2020,9,0,2.1968,2.2894,0.042152221412964375,20.326110706482186,0.0597202122527738,-0.01880387690383667,0.5097244175658031,0.12436082971538824,0.29818214301665996,0.8427599477699127,0.9507370054305674,0.5458358298382265,0.7527521813585584,0.4170633038492851,0.060906773488710764,-0.04137836853605248,0.01875455207574639
external,2020-11-10 13:00:00+00:00,2020-11-11 05:00:00+00:00,2020,13,0,2.1763,2.2058,0.013555116482102614,6.027558241051307,0.023515026101678993,-0.10895021290533913,0.506298449612403,0.13817429337346557,0.27333770062233864,0.848767995570321,0.7644656228727026,0.5151288196524864,0.7360352279213894,0.5055076305203001,0.07090015163350638,-0.017506777558241038,0.05734503515140377
external,2020-11-10 14:45:00+00:00,2020-11-11 06:45:00+00:00,2020,14,45,2.2166,2.1958,-0.00938374086438687,-5.441870432193435,0.08870333988212176,0.011961285609934258,0.5167647461338443,0.14430255402750483,0.20745069393718038,0.8391268646503353,0.9016337644656238,0.8455105633802821,0.7688983119954335,0.6955992833227259,0.05143011819904353,-0.035369484796535344,0.0608138590634304
external,2020-11-11 09:30:00+00:00,2020-11-12 01:30:00+00:00,2020,9,30,2.1973,1.9975,-0.09092977745414821,-46.214888727074104,-0.007677369823420599,0.11385410858214629,0.6126972477064219,0.10147676466603436,0.1920717797941907,0.9000366972477064,0.4067645749888729,0.6481921351280016,0.7531599119301964,0.5283272991730957,0.0011377599781552394,-0.12879442952714693,0.09206753743230345
external,2020-11-11 10:30:00+00:00,2020-11-12 02:30:00+00:00,2020,10,30,2.1695,2.0087,-0.07411846047476378,-37.80923023738189,-0.027522524541664706,0.015778630957954842,0.5719875371349903,0.10072168183244426,0.1774042513343946,0.8885588000869501,0.2830440587449939,0.574821852731592,0.7304900921471094,0.5677523569747545,0.010463240377967198,-0.11763079050472469,0.08458170085273098
external,2020-11-11 10:45:00+00:00,2020-11-12 02:45:00+00:00,2020,10,45,2.183,2.0368,-0.06697205680256524,-34.23602840128262,-0.01962545470876198,0.02320131239746881,0.5927331095870421,0.10091166299905685,0.17759550035153504,0.8947176419086531,0.34312416555407105,0.6104513064133013,0.7414988175813421,0.568210696776162,0.004214383875400962,-0.12308749427393495,0.0711864406779662
external,2020-11-11 12:15:00+00:00,2020-11-12 04:15:00+00:00,2020,12,15,2.1264,2.0075,-0.05591610233258093,-28.708051166290467,-0.02076905364955106,-0.01837318807127697,0.5662934590453741,0.10444393276536951,0.17491459699012096,0.903285209192693,0.09964726631393185,0.46107152282924213,0.6953437168718909,0.59711387478581,0.017682468021068543,-0.09974604966139955,0.07359857035364947
external,2020-11-11 23:45:00+00:00,2020-11-12 15:45:00+00:00,2020,23,45,2.0099,1.9113,-0.04905716702323504,-25.27858351161752,-0.11885138097325743,-0.07544045264271593,0.4402723038337515,0.14761069706269178,0.1742950457702746,0.8584736653529201,0.12622512622512616,0.15360253365003965,0.5909015025041736,0.846901278291332,0.025822180207970558,-0.054679337280461815,0.0748793472312056
external,2020-11-12 17:45:00+00:00,2020-11-13 09:45:00+00:00,2020,17,45,1.8572,2.0168,0.08593581735946576,42.21790867973288,-0.12544735355057457,-0.08813276378455359,0.2997410595563019,0.13613674891693336,0.23798301173466876,0.7770312828049549,0.0390868211691452,0.023313389725603192,0.42105737188147346,0.5720439787891856,0.10494292483308199,-0.016530260607365954,0.019007107473616225
