partition,date_utc,signal_ts,structural_outcome,H,L,bars,first_close_break,first_close_break_ts,min_low,min_low_frac,min_close,min_close_frac,wick_L_before_target_close,close_L_before_target_close,wick_H_before_target_close,F50_first_touch_ts,F55_first_touch_ts,F60_first_touch_ts,F65_first_touch_ts,F70_first_touch_ts,F75_first_touch_ts,F80_first_touch_ts
august,2026-08-03,2026-08-03 13:50:00+00:00,TARGET_BREAK,62979.5,62268.2,1,HIGH,2026-08-03 13:55:00+00:00,62930.2,0.9306902853929387,63144.0,1.231266694784197,False,False,False,,,,,,,
august,2026-08-04,2026-08-04 13:40:00+00:00,TARGET_BREAK,64034.3,63428.8,13,HIGH,2026-08-04 14:45:00+00:00,63582.1,0.25317919075143785,63638.0,0.34549958711807943,False,False,True,2026-08-04 13:55:00+00:00,2026-08-04 13:45:00+00:00,2026-08-04 13:45:00+00:00,2026-08-04 13:45:00+00:00,2026-08-04 13:45:00+00:00,2026-08-04 13:45:00+00:00,2026-08-04 13:45:00+00:00
august,2026-08-17,2026-08-17 13:45:00+00:00,TARGET_BREAK,63753.0,63255.0,15,HIGH,2026-08-17 15:00:00+00:00,63561.3,0.6150602409638612,63569.5,0.6315261044176707,False,False,True,,,,2026-08-17 13:45:00+00:00,2026-08-17 13:45:00+00:00,2026-08-17 13:45:00+00:00,2026-08-17 13:45:00+00:00
august,2026-08-20,2026-08-20 15:05:00+00:00,TARGET_BREAK,72487.5,69771.8,20,HIGH,2026-08-20 16:45:00+00:00,71937.7,0.7975475936222692,72047.3,0.837905512390913,False,False,True,,,,,,,2026-08-20 15:20:00+00:00
development,2022-01-19,2022-01-19 14:35:00+00:00,TARGET_BREAK,42338.38,41115.64,1,HIGH,2022-01-19 14:40:00+00:00,42185.71,0.8751410765984604,42377.57,1.032050967499225,False,False,False,2022-01-19 16:10:00+00:00,2022-01-19 16:05:00+00:00,2022-01-19 15:45:00+00:00,2022-01-19 15:40:00+00:00,2022-01-19 15:35:00+00:00,2022-01-19 15:30:00+00:00,2022-01-19 15:30:00+00:00
development,2022-01-25,2022-01-25 14:25:00+00:00,TARGET_BREAK,36793.85,35993.84,3,HIGH,2022-01-25 14:40:00+00:00,36431.83,0.547480656491799,36570.07,0.7202784965187957,False,False,False,2022-01-25 14:50:00+00:00,2022-01-25 14:30:00+00:00,2022-01-25 14:30:00+00:00,2022-01-25 14:30:00+00:00,2022-01-25 14:25:00+00:00,2022-01-25 14:25:00+00:00,2022-01-25 14:25:00+00:00
development,2022-01-26,2022-01-26 13:55:00+00:00,TARGET_BREAK,38239.99,37311.81,2,HIGH,2022-01-26 14:05:00+00:00,38000.11,0.741558749380511,38170.01,0.9246051412441596,False,False,False,2022-01-26 18:00:00+00:00,2022-01-26 15:25:00+00:00,2022-01-26 15:25:00+00:00,2022-01-26 15:25:00+00:00,2022-01-26 15:25:00+00:00,2022-01-26 13:55:00+00:00,2022-01-26 13:55:00+00:00
development,2022-01-28,2022-01-28 13:40:00+00:00,TARGET_BREAK,36884.88,36149.02,4,HIGH,2022-01-28 14:00:00+00:00,36709.39,0.7615171364118204,36767.32,0.8402413502568457,False,False,True,,,,2022-01-28 14:45:00+00:00,2022-01-28 14:35:00+00:00,2022-01-28 14:35:00+00:00,2022-01-28 13:45:00+00:00
development,2022-02-01,2022-02-01 17:00:00+00:00,NO_BREAK,39100.0,37969.0,36,,,38322.0,0.3121131741821397,38356.04,0.3422104332449168,False,False,False,2022-02-01 18:55:00+00:00,2022-02-01 18:55:00+00:00,2022-02-01 17:30:00+00:00,2022-02-01 17:30:00+00:00,2022-02-01 17:30:00+00:00,2022-02-01 17:25:00+00:00,2022-02-01 17:10:00+00:00
development,2022-02-03,2022-02-03 16:15:00+00:00,NO_BREAK,37084.63,36204.3,45,,,36431.79,0.2584144582145325,36478.07,0.31098565310735576,False,False,False,2022-02-03 17:00:00+00:00,2022-02-03 16:55:00+00:00,2022-02-03 16:50:00+00:00,2022-02-03 16:50:00+00:00,2022-02-03 16:25:00+00:00,2022-02-03 16:20:00+00:00,2022-02-03 16:20:00+00:00
development,2022-02-07,2022-02-07 14:25:00+00:00,TARGET_BREAK,42913.09,42201.68,3,HIGH,2022-02-07 14:40:00+00:00,42750.96,0.7721004765184658,42829.45,0.8824306658607556,False,False,True,,,,,,,2022-02-07 14:30:00+00:00
development,2022-02-09,2022-02-09 19:10:00+00:00,TARGET_BREAK,44436.44,43164.79,4,HIGH,2022-02-09 19:30:00+00:00,44251.0,0.854173711319937,44311.28,0.9015766916997575,False,False,True,,,,,,,
development,2022-02-11,2022-02-11 13:45:00+00:00,TARGET_BREAK,43748.13,42811.42,2,HIGH,2022-02-11 13:55:00+00:00,43636.0,0.8802937942372799,43707.02,0.9561123506741674,False,False,False,2022-02-11 14:40:00+00:00,2022-02-11 14:35:00+00:00,2022-02-11 14:35:00+00:00,2022-02-11 14:15:00+00:00,2022-02-11 14:15:00+00:00,2022-02-11 14:10:00+00:00,2022-02-11 14:10:00+00:00
development,2022-02-15,2022-02-15 14:40:00+00:00,NO_BREAK,44442.3,43579.4,64,,,43850.0,0.3135936956773648,43875.6,0.3432610963031598,False,False,False,2022-02-15 16:45:00+00:00,2022-02-15 16:25:00+00:00,2022-02-15 16:20:00+00:00,2022-02-15 15:15:00+00:00,2022-02-15 15:05:00+00:00,2022-02-15 14:50:00+00:00,2022-02-15 14:45:00+00:00
development,2022-02-22,2022-02-22 14:00:00+00:00,TARGET_BREAK,37868.0,36727.1,11,HIGH,2022-02-22 14:55:00+00:00,37384.5,0.5762117626435276,37469.4,0.6506266982207046,False,False,True,,2022-02-22 17:15:00+00:00,2022-02-22 14:30:00+00:00,2022-02-22 14:15:00+00:00,2022-02-22 14:15:00+00:00,2022-02-22 14:10:00+00:00,2022-02-22 14:10:00+00:00
development,2022-02-24,2022-02-24 14:35:00+00:00,TARGET_BREAK,35870.0,34763.2,16,HIGH,2022-02-24 15:55:00+00:00,35125.6,0.3274304300686669,35235.9,0.42708709794001004,False,False,True,2022-02-24 14:40:00+00:00,2022-02-24 14:40:00+00:00,2022-02-24 14:40:00+00:00,2022-02-24 14:35:00+00:00,2022-02-24 14:35:00+00:00,2022-02-24 14:35:00+00:00,2022-02-24 14:35:00+00:00
development,2022-03-03,2022-03-03 13:40:00+00:00,TARGET_BREAK,43792.4,43056.2,4,HIGH,2022-03-03 14:00:00+00:00,43637.5,0.7895952186905725,43741.5,0.9308611790274366,False,False,True,2022-03-03 14:45:00+00:00,2022-03-03 14:45:00+00:00,2022-03-03 14:45:00+00:00,2022-03-03 14:40:00+00:00,2022-03-03 14:40:00+00:00,2022-03-03 14:40:00+00:00,2022-03-03 13:40:00+00:00
development,2022-03-16,2022-03-16 14:05:00+00:00,TARGET_BREAK,40760.0,39538.0,3,HIGH,2022-03-16 14:20:00+00:00,40375.6,0.6854337152209481,40465.0,0.7585924713584288,False,False,False,2022-03-16 16:20:00+00:00,2022-03-16 16:20:00+00:00,2022-03-16 16:20:00+00:00,2022-03-16 16:20:00+00:00,2022-03-16 14:05:00+00:00,2022-03-16 14:05:00+00:00,2022-03-16 14:05:00+00:00
development,2022-03-18,2022-03-18 14:15:00+00:00,TARGET_BREAK,40750.0,40084.2,17,HIGH,2022-03-18 15:40:00+00:00,40420.0,0.5043556623610715,40485.7,0.6030339441273629,False,False,True,,2022-03-18 14:50:00+00:00,2022-03-18 14:35:00+00:00,2022-03-18 14:35:00+00:00,2022-03-18 14:35:00+00:00,2022-03-18 14:20:00+00:00,2022-03-18 14:20:00+00:00
development,2022-03-21,2022-03-21 13:45:00+00:00,OPPOSITE_BREAK,41481.1,40890.9,8,LOW,2022-03-21 14:25:00+00:00,40727.7,-0.2765164351067522,40806.4,-0.14317180616740158,False,False,False,2022-03-21 13:50:00+00:00,2022-03-21 13:50:00+00:00,2022-03-21 13:50:00+00:00,2022-03-21 13:50:00+00:00,2022-03-21 13:45:00+00:00,2022-03-21 13:45:00+00:00,2022-03-21 13:45:00+00:00
development,2022-03-22,2022-03-22 14:35:00+00:00,NO_BREAK,43087.2,42063.3,65,,,42200.0,0.13350913175114548,42268.2,0.20011719894520494,False,False,False,2022-03-22 15:30:00+00:00,2022-03-22 15:30:00+00:00,2022-03-22 15:00:00+00:00,2022-03-22 14:55:00+00:00,2022-03-22 14:40:00+00:00,2022-03-22 14:40:00+00:00,2022-03-22 14:40:00+00:00
development,2022-03-23,2022-03-23 15:05:00+00:00,TARGET_BREAK,42435.0,41852.0,4,HIGH,2022-03-23 15:25:00+00:00,42274.1,0.7240137221269272,42355.2,0.8631217838764959,False,False,True,2022-03-23 17:45:00+00:00,2022-03-23 17:45:00+00:00,2022-03-23 17:45:00+00:00,2022-03-23 17:45:00+00:00,2022-03-23 17:25:00+00:00,2022-03-23 15:05:00+00:00,2022-03-23 15:05:00+00:00
development,2022-03-25,2022-03-25 13:35:00+00:00,TARGET_BREAK,44900.0,43575.1,4,HIGH,2022-03-25 13:55:00+00:00,44780.0,0.9094271265755907,44822.8,0.9417314514302989,False,False,True,2022-03-25 15:50:00+00:00,2022-03-25 15:30:00+00:00,2022-03-25 15:30:00+00:00,2022-03-25 15:25:00+00:00,2022-03-25 15:20:00+00:00,2022-03-25 15:20:00+00:00,2022-03-25 15:05:00+00:00
