scope,name,map_source_n,map_pass_n,map_pass_rate,map_fills_n,map_retained_fills,map_target_n,map_target_rate_fill,map_target_yield_source,map_high_failure_n,map_high_failure_rate_fill,map_unresolved_n,map_unresolved_rate_fill,base_source_n,base_pass_n,base_pass_rate,base_fills_n,base_fill_rate_pass,base_retained_fills,base_target_n,base_target_rate_fill,base_target_yield_source,base_high_failure_n,base_high_failure_rate_fill,base_unresolved_n,base_unresolved_rate_fill
PARTITION_OR_POOL,external,202,202,1.0,183,1.0,138,0.7540983606557377,0.6831683168316832,26,0.14207650273224043,19,0.10382513661202186,202,202,1.0,183,0.905940594059406,1.0,138,0.7540983606557377,0.6831683168316832,26,0.14207650273224043,19,0.10382513661202186
PARTITION_OR_POOL,development,333,333,1.0,297,1.0,221,0.7441077441077442,0.6636636636636637,40,0.13468013468013468,36,0.12121212121212122,333,333,1.0,297,0.8918918918918919,1.0,221,0.7441077441077442,0.6636636636636637,40,0.13468013468013468,36,0.12121212121212122
PARTITION_OR_POOL,reference_validation,194,194,1.0,173,1.0,126,0.7283236994219653,0.6494845360824743,20,0.11560693641618497,27,0.15606936416184972,194,194,1.0,173,0.8917525773195877,1.0,126,0.7283236994219653,0.6494845360824743,20,0.11560693641618497,27,0.15606936416184972
PARTITION_OR_POOL,POOLED_MAJOR,729,729,1.0,653,1.0,485,0.7427258805513017,0.6652949245541838,86,0.13169984686064318,82,0.12557427258805512,729,729,1.0,653,0.8957475994513031,1.0,485,0.7427258805513017,0.6652949245541838,86,0.13169984686064318,82,0.12557427258805512
CLOCK,00-04,112,112,1.0,101,1.0,76,0.7524752475247525,0.6785714285714286,13,0.12871287128712872,12,0.1188118811881188,112,112,1.0,101,0.9017857142857143,1.0,76,0.7524752475247525,0.6785714285714286,13,0.12871287128712872,12,0.1188118811881188
CLOCK,04-08,112,112,1.0,96,1.0,76,0.7916666666666666,0.6785714285714286,7,0.07291666666666667,13,0.13541666666666666,112,112,1.0,96,0.8571428571428571,1.0,76,0.7916666666666666,0.6785714285714286,7,0.07291666666666667,13,0.13541666666666666
CLOCK,08-12,127,127,1.0,114,1.0,88,0.7719298245614035,0.6929133858267716,18,0.15789473684210525,8,0.07017543859649122,127,127,1.0,114,0.8976377952755905,1.0,88,0.7719298245614035,0.6929133858267716,18,0.15789473684210525,8,0.07017543859649122
CLOCK,12-16,157,157,1.0,148,1.0,110,0.7432432432432432,0.7006369426751592,29,0.19594594594594594,9,0.060810810810810814,157,157,1.0,148,0.9426751592356688,1.0,110,0.7432432432432432,0.7006369426751592,29,0.19594594594594594,9,0.060810810810810814
CLOCK,16-20,122,122,1.0,106,1.0,74,0.6981132075471698,0.6065573770491803,8,0.07547169811320754,24,0.22641509433962265,122,122,1.0,106,0.8688524590163934,1.0,74,0.6981132075471698,0.6065573770491803,8,0.07547169811320754,24,0.22641509433962265
CLOCK,20-00,99,99,1.0,88,1.0,61,0.6931818181818182,0.6161616161616161,11,0.125,16,0.18181818181818182,99,99,1.0,88,0.8888888888888888,1.0,61,0.6931818181818182,0.6161616161616161,11,0.125,16,0.18181818181818182
REGIME,BULL,310,310,1.0,272,1.0,195,0.7169117647058824,0.6290322580645161,40,0.14705882352941177,37,0.13602941176470587,310,310,1.0,272,0.8774193548387097,1.0,195,0.7169117647058824,0.6290322580645161,40,0.14705882352941177,37,0.13602941176470587
REGIME,BEAR,312,312,1.0,284,1.0,220,0.7746478873239436,0.7051282051282052,32,0.11267605633802817,32,0.11267605633802817,312,312,1.0,284,0.9102564102564102,1.0,220,0.7746478873239436,0.7051282051282052,32,0.11267605633802817,32,0.11267605633802817
REGIME,SIDEWAYS,107,107,1.0,97,1.0,70,0.7216494845360825,0.6542056074766355,14,0.14432989690721648,13,0.13402061855670103,107,107,1.0,97,0.9065420560747663,1.0,70,0.7216494845360825,0.6542056074766355,14,0.14432989690721648,13,0.13402061855670103
