local_date,weekday,reference_start_utc,reference_end_utc,execution_start_utc,execution_end_utc,H,L,R,qualified,reason,hi_visits,lo_visits,k1_start,k1_signal,leave,leave_start,leave_ts,terminal,terminal_start,minutes_leave_to_h2
2022-01-02,Sunday,2022-01-01 22:00:00+00:00,2022-01-02 02:00:00+00:00,2022-01-02 02:00:00+00:00,2022-01-02 06:00:00+00:00,528.16,522.8,5.360000000000014,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2022-01-02 02:00:00+00:00,
2022-01-03,Monday,2022-01-02 22:00:00+00:00,2022-01-03 02:00:00+00:00,2022-01-03 02:00:00+00:00,2022-01-03 06:00:00+00:00,532.4,527.0,5.399999999999977,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2022-01-03 02:05:00+00:00,
2022-01-04,Tuesday,2022-01-03 22:00:00+00:00,2022-01-04 02:00:00+00:00,2022-01-04 02:00:00+00:00,2022-01-04 06:00:00+00:00,516.46,506.08,10.380000000000052,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-04 02:05:00+00:00,
2022-01-05,Wednesday,2022-01-04 22:00:00+00:00,2022-01-05 02:00:00+00:00,2022-01-05 02:00:00+00:00,2022-01-05 06:00:00+00:00,511.87,505.5,6.3700000000000045,True,,1,0,2022-01-05 02:30:00+00:00,2022-01-05 02:35:00+00:00,False,,,BREAK_DURING_K1,2022-01-05 02:35:00+00:00,
2022-01-06,Thursday,2022-01-05 22:00:00+00:00,2022-01-06 02:00:00+00:00,2022-01-06 02:00:00+00:00,2022-01-06 06:00:00+00:00,483.55,456.2,27.350000000000023,False,NO_K1,0,0,,,False,,,NO_K1,,
2022-01-07,Friday,2022-01-06 22:00:00+00:00,2022-01-07 02:00:00+00:00,2022-01-07 02:00:00+00:00,2022-01-07 06:00:00+00:00,476.57,467.63,8.939999999999998,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-07 02:55:00+00:00,
2022-01-08,Saturday,2022-01-07 22:00:00+00:00,2022-01-08 02:00:00+00:00,2022-01-08 02:00:00+00:00,2022-01-08 06:00:00+00:00,454.82,445.27,9.550000000000011,True,,1,0,2022-01-08 05:55:00+00:00,2022-01-08 06:00:00+00:00,False,,,NO_CAUSAL_LEAVE_BY_END,,
2022-01-09,Sunday,2022-01-08 22:00:00+00:00,2022-01-09 02:00:00+00:00,2022-01-09 02:00:00+00:00,2022-01-09 06:00:00+00:00,437.07,426.72,10.349999999999966,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-09 04:55:00+00:00,
2022-01-10,Monday,2022-01-09 22:00:00+00:00,2022-01-10 02:00:00+00:00,2022-01-10 02:00:00+00:00,2022-01-10 06:00:00+00:00,442.34,436.16,6.17999999999995,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-10 02:10:00+00:00,
2022-01-11,Tuesday,2022-01-10 22:00:00+00:00,2022-01-11 02:00:00+00:00,2022-01-11 02:00:00+00:00,2022-01-11 06:00:00+00:00,425.21,421.22,3.9899999999999523,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-11 02:00:00+00:00,
