partition,date_utc,signal_ts,regime_at_signal,regime_bar_start,regime_available_ts,source
external,2020-01-01,2020-01-01 14:25:00+00:00,SIDEWAYS,2020-01-01 08:00:00+00:00,2020-01-01 12:00:00+00:00,K1
external,2020-01-10,2020-01-10 14:45:00+00:00,SIDEWAYS,2020-01-10 08:00:00+00:00,2020-01-10 12:00:00+00:00,K1
external,2020-01-14,2020-01-14 13:55:00+00:00,BULL,2020-01-14 08:00:00+00:00,2020-01-14 12:00:00+00:00,K1
external,2020-01-21,2020-01-21 13:40:00+00:00,SIDEWAYS,2020-01-21 08:00:00+00:00,2020-01-21 12:00:00+00:00,K1
external,2020-01-24,2020-01-24 14:15:00+00:00,SIDEWAYS,2020-01-24 08:00:00+00:00,2020-01-24 12:00:00+00:00,K1
external,2020-01-27,2020-01-27 13:35:00+00:00,BULL,2020-01-27 08:00:00+00:00,2020-01-27 12:00:00+00:00,K1
external,2020-02-04,2020-02-04 15:20:00+00:00,BULL,2020-02-04 08:00:00+00:00,2020-02-04 12:00:00+00:00,K1
external,2020-02-05,2020-02-05 15:50:00+00:00,BULL,2020-02-05 08:00:00+00:00,2020-02-05 12:00:00+00:00,K1
external,2020-02-14,2020-02-14 14:15:00+00:00,BULL,2020-02-14 08:00:00+00:00,2020-02-14 12:00:00+00:00,K1
external,2020-02-17,2020-02-17 14:55:00+00:00,SIDEWAYS,2020-02-17 08:00:00+00:00,2020-02-17 12:00:00+00:00,K1
external,2020-02-18,2020-02-18 15:05:00+00:00,BULL,2020-02-18 08:00:00+00:00,2020-02-18 12:00:00+00:00,K1
external,2020-02-19,2020-02-19 16:20:00+00:00,BULL,2020-02-19 12:00:00+00:00,2020-02-19 16:00:00+00:00,K1
external,2020-03-02,2020-03-02 13:40:00+00:00,SIDEWAYS,2020-03-02 08:00:00+00:00,2020-03-02 12:00:00+00:00,K1
external,2020-03-16,2020-03-16 14:30:00+00:00,BEAR,2020-03-16 08:00:00+00:00,2020-03-16 12:00:00+00:00,K1
external,2020-03-31,2020-03-31 15:20:00+00:00,BULL,2020-03-31 08:00:00+00:00,2020-03-31 12:00:00+00:00,K1
external,2020-04-06,2020-04-06 13:35:00+00:00,BULL,2020-04-06 08:00:00+00:00,2020-04-06 12:00:00+00:00,K1
external,2020-04-08,2020-04-08 17:10:00+00:00,BULL,2020-04-08 12:00:00+00:00,2020-04-08 16:00:00+00:00,K1
external,2020-04-21,2020-04-21 14:35:00+00:00,SIDEWAYS,2020-04-21 08:00:00+00:00,2020-04-21 12:00:00+00:00,K1
external,2020-04-22,2020-04-22 13:35:00+00:00,SIDEWAYS,2020-04-22 08:00:00+00:00,2020-04-22 12:00:00+00:00,K1
external,2020-05-20,2020-05-20 13:55:00+00:00,BULL,2020-05-20 08:00:00+00:00,2020-05-20 12:00:00+00:00,K1
external,2020-05-22,2020-05-22 15:25:00+00:00,BEAR,2020-05-22 08:00:00+00:00,2020-05-22 12:00:00+00:00,K1
external,2020-06-01,2020-06-01 14:50:00+00:00,BULL,2020-06-01 08:00:00+00:00,2020-06-01 12:00:00+00:00,K1
external,2020-06-10,2020-06-10 13:40:00+00:00,SIDEWAYS,2020-06-10 08:00:00+00:00,2020-06-10 12:00:00+00:00,K1
external,2020-06-12,2020-06-12 13:45:00+00:00,SIDEWAYS,2020-06-12 08:00:00+00:00,2020-06-12 12:00:00+00:00,K1
external,2020-06-23,2020-06-23 15:40:00+00:00,BULL,2020-06-23 08:00:00+00:00,2020-06-23 12:00:00+00:00,K1
external,2020-06-29,2020-06-29 17:30:00+00:00,BEAR,2020-06-29 12:00:00+00:00,2020-06-29 16:00:00+00:00,K1
external,2020-07-01,2020-07-01 13:45:00+00:00,BULL,2020-07-01 08:00:00+00:00,2020-07-01 12:00:00+00:00,K1
external,2020-07-08,2020-07-08 13:50:00+00:00,BULL,2020-07-08 08:00:00+00:00,2020-07-08 12:00:00+00:00,K1
external,2020-07-10,2020-07-10 15:20:00+00:00,SIDEWAYS,2020-07-10 08:00:00+00:00,2020-07-10 12:00:00+00:00,K1
external,2020-07-14,2020-07-14 17:50:00+00:00,SIDEWAYS,2020-07-14 12:00:00+00:00,2020-07-14 16:00:00+00:00,K1
external,2020-07-16,2020-07-16 15:25:00+00:00,SIDEWAYS,2020-07-16 08:00:00+00:00,2020-07-16 12:00:00+00:00,K1
external,2020-07-31,2020-07-31 14:55:00+00:00,BULL,2020-07-31 08:00:00+00:00,2020-07-31 12:00:00+00:00,K1
external,2020-08-05,2020-08-05 16:25:00+00:00,BULL,2020-08-05 12:00:00+00:00,2020-08-05 16:00:00+00:00,K1
external,2020-08-17,2020-08-17 14:05:00+00:00,BULL,2020-08-17 08:00:00+00:00,2020-08-17 12:00:00+00:00,K1
external,2020-08-20,2020-08-20 13:40:00+00:00,BEAR,2020-08-20 08:00:00+00:00,2020-08-20 12:00:00+00:00,K1
external,2020-08-27,2020-08-27 13:35:00+00:00,BEAR,2020-08-27 08:00:00+00:00,2020-08-27 12:00:00+00:00,K1
external,2020-09-14,2020-09-14 13:35:00+00:00,BEAR,2020-09-14 08:00:00+00:00,2020-09-14 12:00:00+00:00,K1
external,2020-09-16,2020-09-16 15:40:00+00:00,BEAR,2020-09-16 08:00:00+00:00,2020-09-16 12:00:00+00:00,K1
external,2020-09-17,2020-09-17 18:10:00+00:00,BULL,2020-09-17 12:00:00+00:00,2020-09-17 16:00:00+00:00,K1
external,2020-09-25,2020-09-25 16:15:00+00:00,BULL,2020-09-25 12:00:00+00:00,2020-09-25 16:00:00+00:00,K1
external,2020-09-28,2020-09-28 17:35:00+00:00,BULL,2020-09-28 12:00:00+00:00,2020-09-28 16:00:00+00:00,K1
external,2020-09-29,2020-09-29 14:15:00+00:00,BULL,2020-09-29 08:00:00+00:00,2020-09-29 12:00:00+00:00,K1
external,2020-09-30,2020-09-30 13:35:00+00:00,SIDEWAYS,2020-09-30 08:00:00+00:00,2020-09-30 12:00:00+00:00,K1
external,2020-10-02,2020-10-02 13:50:00+00:00,BEAR,2020-10-02 08:00:00+00:00,2020-10-02 12:00:00+00:00,K1
external,2020-10-05,2020-10-05 14:05:00+00:00,BULL,2020-10-05 08:00:00+00:00,2020-10-05 12:00:00+00:00,K1
external,2020-10-07,2020-10-07 15:25:00+00:00,BEAR,2020-10-07 08:00:00+00:00,2020-10-07 12:00:00+00:00,K1
external,2020-10-30,2020-10-30 18:25:00+00:00,BEAR,2020-10-30 12:00:00+00:00,2020-10-30 16:00:00+00:00,K1
external,2020-11-04,2020-11-04 13:45:00+00:00,BEAR,2020-11-04 08:00:00+00:00,2020-11-04 12:00:00+00:00,K1
external,2020-11-05,2020-11-05 13:45:00+00:00,BULL,2020-11-05 08:00:00+00:00,2020-11-05 12:00:00+00:00,K1
external,2020-11-11,2020-11-11 16:10:00+00:00,BULL,2020-11-11 12:00:00+00:00,2020-11-11 16:00:00+00:00,K1
external,2020-11-13,2020-11-13 13:35:00+00:00,BULL,2020-11-13 08:00:00+00:00,2020-11-13 12:00:00+00:00,K1
external,2020-11-16,2020-11-16 13:45:00+00:00,SIDEWAYS,2020-11-16 08:00:00+00:00,2020-11-16 12:00:00+00:00,K1
external,2020-11-19,2020-11-19 13:35:00+00:00,BULL,2020-11-19 08:00:00+00:00,2020-11-19 12:00:00+00:00,K1
external,2020-11-20,2020-11-20 14:15:00+00:00,BULL,2020-11-20 08:00:00+00:00,2020-11-20 12:00:00+00:00,K1
external,2020-12-03,2020-12-03 15:50:00+00:00,BULL,2020-12-03 08:00:00+00:00,2020-12-03 12:00:00+00:00,K1
external,2020-12-15,2020-12-15 19:00:00+00:00,BULL,2020-12-15 12:00:00+00:00,2020-12-15 16:00:00+00:00,K1
external,2020-12-17,2020-12-17 16:10:00+00:00,BULL,2020-12-17 12:00:00+00:00,2020-12-17 16:00:00+00:00,K1
external,2020-12-30,2020-12-30 16:05:00+00:00,BULL,2020-12-30 12:00:00+00:00,2020-12-30 16:00:00+00:00,K1
external,2021-01-13,2021-01-13 18:40:00+00:00,SIDEWAYS,2021-01-13 12:00:00+00:00,2021-01-13 16:00:00+00:00,K1
external,2021-01-14,2021-01-14 13:35:00+00:00,BULL,2021-01-14 08:00:00+00:00,2021-01-14 12:00:00+00:00,K1
external,2021-01-18,2021-01-18 14:15:00+00:00,BULL,2021-01-18 08:00:00+00:00,2021-01-18 12:00:00+00:00,K1
external,2021-01-22,2021-01-22 13:35:00+00:00,SIDEWAYS,2021-01-22 08:00:00+00:00,2021-01-22 12:00:00+00:00,K1
external,2021-01-29,2021-01-29 14:05:00+00:00,BULL,2021-01-29 08:00:00+00:00,2021-01-29 12:00:00+00:00,K1
external,2021-02-03,2021-02-03 13:35:00+00:00,BULL,2021-02-03 08:00:00+00:00,2021-02-03 12:00:00+00:00,K1
external,2021-02-08,2021-02-08 15:45:00+00:00,SIDEWAYS,2021-02-08 08:00:00+00:00,2021-02-08 12:00:00+00:00,K1
external,2021-02-23,2021-02-23 15:50:00+00:00,SIDEWAYS,2021-02-23 08:00:00+00:00,2021-02-23 12:00:00+00:00,K1
external,2021-03-01,2021-03-01 14:35:00+00:00,SIDEWAYS,2021-03-01 08:00:00+00:00,2021-03-01 12:00:00+00:00,K1
external,2021-03-05,2021-03-05 13:35:00+00:00,BEAR,2021-03-05 08:00:00+00:00,2021-03-05 12:00:00+00:00,K1
external,2021-03-08,2021-03-08 13:35:00+00:00,BULL,2021-03-08 08:00:00+00:00,2021-03-08 12:00:00+00:00,K1
external,2021-03-09,2021-03-09 13:50:00+00:00,BULL,2021-03-09 08:00:00+00:00,2021-03-09 12:00:00+00:00,K1
external,2021-03-18,2021-03-18 15:50:00+00:00,SIDEWAYS,2021-03-18 08:00:00+00:00,2021-03-18 12:00:00+00:00,K1
external,2021-03-19,2021-03-19 16:05:00+00:00,BULL,2021-03-19 12:00:00+00:00,2021-03-19 16:00:00+00:00,K1
external,2021-03-29,2021-03-29 16:00:00+00:00,BULL,2021-03-29 12:00:00+00:00,2021-03-29 16:00:00+00:00,K1
external,2021-03-30,2021-03-30 19:35:00+00:00,BULL,2021-03-30 12:00:00+00:00,2021-03-30 16:00:00+00:00,K1
external,2021-03-31,2021-03-31 13:35:00+00:00,BULL,2021-03-31 08:00:00+00:00,2021-03-31 12:00:00+00:00,K1
external,2021-04-08,2021-04-08 13:40:00+00:00,SIDEWAYS,2021-04-08 08:00:00+00:00,2021-04-08 12:00:00+00:00,K1
external,2021-04-21,2021-04-21 13:35:00+00:00,BULL,2021-04-21 08:00:00+00:00,2021-04-21 12:00:00+00:00,K1
external,2021-04-23,2021-04-23 15:45:00+00:00,SIDEWAYS,2021-04-23 08:00:00+00:00,2021-04-23 12:00:00+00:00,K1
external,2021-04-26,2021-04-26 16:05:00+00:00,BULL,2021-04-26 12:00:00+00:00,2021-04-26 16:00:00+00:00,K1
external,2021-04-28,2021-04-28 18:15:00+00:00,BULL,2021-04-28 12:00:00+00:00,2021-04-28 16:00:00+00:00,K1
external,2021-05-04,2021-05-04 13:35:00+00:00,BULL,2021-05-04 08:00:00+00:00,2021-05-04 12:00:00+00:00,K1
external,2021-05-24,2021-05-24 14:30:00+00:00,SIDEWAYS,2021-05-24 08:00:00+00:00,2021-05-24 12:00:00+00:00,K1
external,2021-05-27,2021-05-27 14:30:00+00:00,BULL,2021-05-27 08:00:00+00:00,2021-05-27 12:00:00+00:00,K1
external,2021-06-02,2021-06-02 13:35:00+00:00,BULL,2021-06-02 08:00:00+00:00,2021-06-02 12:00:00+00:00,K1
external,2021-06-28,2021-06-28 15:10:00+00:00,BULL,2021-06-28 08:00:00+00:00,2021-06-28 12:00:00+00:00,K1
external,2021-06-29,2021-06-29 13:35:00+00:00,BULL,2021-06-29 08:00:00+00:00,2021-06-29 12:00:00+00:00,K1
external,2021-07-02,2021-07-02 14:25:00+00:00,BEAR,2021-07-02 08:00:00+00:00,2021-07-02 12:00:00+00:00,K1
external,2021-07-09,2021-07-09 13:35:00+00:00,BEAR,2021-07-09 08:00:00+00:00,2021-07-09 12:00:00+00:00,K1
external,2021-07-14,2021-07-14 13:35:00+00:00,BEAR,2021-07-14 08:00:00+00:00,2021-07-14 12:00:00+00:00,K1
external,2021-07-16,2021-07-16 13:35:00+00:00,BEAR,2021-07-16 08:00:00+00:00,2021-07-16 12:00:00+00:00,K1
external,2021-07-20,2021-07-20 14:10:00+00:00,BEAR,2021-07-20 08:00:00+00:00,2021-07-20 12:00:00+00:00,K1
external,2021-07-21,2021-07-21 14:15:00+00:00,SIDEWAYS,2021-07-21 08:00:00+00:00,2021-07-21 12:00:00+00:00,K1
external,2021-07-22,2021-07-22 15:30:00+00:00,BULL,2021-07-22 08:00:00+00:00,2021-07-22 12:00:00+00:00,K1
external,2021-07-23,2021-07-23 13:50:00+00:00,BULL,2021-07-23 08:00:00+00:00,2021-07-23 12:00:00+00:00,K1
external,2021-07-27,2021-07-27 13:40:00+00:00,BULL,2021-07-27 08:00:00+00:00,2021-07-27 12:00:00+00:00,K1
external,2021-07-29,2021-07-29 15:15:00+00:00,BULL,2021-07-29 08:00:00+00:00,2021-07-29 12:00:00+00:00,K1
external,2021-08-02,2021-08-02 14:00:00+00:00,BULL,2021-08-02 08:00:00+00:00,2021-08-02 12:00:00+00:00,K1
external,2021-08-04,2021-08-04 13:35:00+00:00,BEAR,2021-08-04 08:00:00+00:00,2021-08-04 12:00:00+00:00,K1
external,2021-08-09,2021-08-09 14:10:00+00:00,BULL,2021-08-09 08:00:00+00:00,2021-08-09 12:00:00+00:00,K1
external,2021-08-25,2021-08-25 14:55:00+00:00,BEAR,2021-08-25 08:00:00+00:00,2021-08-25 12:00:00+00:00,K1
external,2021-09-01,2021-09-01 14:35:00+00:00,BULL,2021-09-01 08:00:00+00:00,2021-09-01 12:00:00+00:00,K1
external,2021-09-02,2021-09-02 13:50:00+00:00,BULL,2021-09-02 08:00:00+00:00,2021-09-02 12:00:00+00:00,K1
