partition,date_utc,signal_ts,variant,H,L,range,F75,F15,E10,touch_bar_start,frozen_h2_bar_start,confirmation_status,confirmation_kind,confirmation_bar_start,confirmation_ts,entry_executed,entry_ts,entry_px,entry_fraction,exit_ts,exit_px,exit_reason,net_pnl_usd,hold_minutes,h2_before_exit
august,2026-08-13,2026-08-13 14:40:00+00:00,EARLY_RECLAIM,1896.19,1874.43,21.75999999999999,1890.75,1877.694,1898.366,2026-08-13 15:05:00+00:00,,CONFIRMED,SAME_BAR,2026-08-13 15:05:00+00:00,2026-08-13 15:10:00+00:00,True,2026-08-13 15:10:00+00:00,1890.85,0.7545955882352873,2026-08-13 16:40:00+00:00,1869.17,CLOSE_INVALIDATION_F15,-6.132871459925404,90.0,False
august,2026-08-13,2026-08-13 14:40:00+00:00,SAME_BAR_REJECTION,1896.19,1874.43,21.75999999999999,1890.75,1877.694,1898.366,2026-08-13 15:05:00+00:00,,CONFIRMED,SAME_BAR,2026-08-13 15:05:00+00:00,2026-08-13 15:10:00+00:00,True,2026-08-13 15:10:00+00:00,1890.85,0.7545955882352873,2026-08-13 16:40:00+00:00,1869.17,CLOSE_INVALIDATION_F15,-6.132871459925404,90.0,False
august,2026-08-20,2026-08-20 15:35:00+00:00,EARLY_RECLAIM,2318.78,2248.84,69.94000000000005,2301.295,2259.331,2325.7740000000003,2026-08-20 15:40:00+00:00,2026-08-20 15:45:00+00:00,CONFIRMED,SAME_BAR,2026-08-20 15:40:00+00:00,2026-08-20 15:45:00+00:00,True,2026-08-20 15:45:00+00:00,2302.46,0.7666571346868724,2026-08-20 15:50:00+00:00,2325.7740000000003,TP_E10,4.662845825768991,5.0,True
august,2026-08-20,2026-08-20 15:35:00+00:00,SAME_BAR_REJECTION,2318.78,2248.84,69.94000000000005,2301.295,2259.331,2325.7740000000003,2026-08-20 15:40:00+00:00,2026-08-20 15:45:00+00:00,CONFIRMED,SAME_BAR,2026-08-20 15:40:00+00:00,2026-08-20 15:45:00+00:00,True,2026-08-20 15:45:00+00:00,2302.46,0.7666571346868724,2026-08-20 15:50:00+00:00,2325.7740000000003,TP_E10,4.662845825768991,5.0,True
development,2022-01-03,2022-01-03 14:40:00+00:00,EARLY_RECLAIM,3844.67,3790.01,54.659999999999854,3831.005,3798.2090000000003,3850.136,2022-01-03 14:45:00+00:00,,LOW_BREAK_BEFORE_CONFIRMATION,,,,False,,,,,,LOW_BREAK_BEFORE_CONFIRMATION,,,False
development,2022-01-03,2022-01-03 14:40:00+00:00,SAME_BAR_REJECTION,3844.67,3790.01,54.659999999999854,3831.005,3798.2090000000003,3850.136,2022-01-03 14:45:00+00:00,,NO_CONFIRMATION,,,,False,,,,,,NO_CONFIRMATION,,,False
development,2022-01-25,2022-01-25 14:40:00+00:00,EARLY_RECLAIM,2460.7,2371.63,89.06999999999971,2438.4325,2384.9905,2469.607,2022-01-25 15:45:00+00:00,2022-01-25 17:20:00+00:00,CONFIRMED,LATER_RECLAIM,2022-01-25 16:15:00+00:00,2022-01-25 16:20:00+00:00,True,2022-01-25 16:20:00+00:00,2445.37,0.827888177837656,2022-01-25 17:20:00+00:00,2469.607,TP_E10,4.555691776704518,60.0,True
development,2022-01-25,2022-01-25 14:40:00+00:00,SAME_BAR_REJECTION,2460.7,2371.63,89.06999999999971,2438.4325,2384.9905,2469.607,2022-01-25 15:45:00+00:00,2022-01-25 17:20:00+00:00,NO_CONFIRMATION,,,,False,,,,,,NO_CONFIRMATION,,,False
development,2022-02-09,2022-02-09 14:45:00+00:00,EARLY_RECLAIM,3208.26,3066.48,141.7800000000002,3172.815,3087.747,3222.438,2022-02-09 15:15:00+00:00,2022-02-09 16:45:00+00:00,CONFIRMED,LATER_RECLAIM,2022-02-09 15:25:00+00:00,2022-02-09 15:30:00+00:00,True,2022-02-09 15:30:00+00:00,3176.01,0.7725349132458742,2022-02-09 19:00:00+00:00,3222.438,TP_E10,6.909170940897558,210.0,True
development,2022-02-09,2022-02-09 14:45:00+00:00,SAME_BAR_REJECTION,3208.26,3066.48,141.7800000000002,3172.815,3087.747,3222.438,2022-02-09 15:15:00+00:00,2022-02-09 16:45:00+00:00,NO_CONFIRMATION,,,,False,,,,,,NO_CONFIRMATION,,,False
