partition,date_utc,signal_bar_start,signal_ts,session_end,H,L,range,k1_episode_bars,window_status,leave_bar_start,leave_ts,eligible_start,h2_bar_start,h2_ts,opposite_break_bar_start,opposite_break_ts,terminal_bar_start
august,2026-08-03,2026-08-03 13:45:00+00:00,2026-08-03 13:50:00+00:00,2026-08-03 20:00:00+00:00,62979.5,62268.2,711.3000000000029,1,NO_WINDOW_HIGH_BREAK_DURING_K1,,,,,,,,
august,2026-08-04,2026-08-04 13:35:00+00:00,2026-08-04 13:40:00+00:00,2026-08-04 20:00:00+00:00,64034.3,63428.8,605.5,2,H2_ARRIVAL,2026-08-04 13:45:00+00:00,2026-08-04 13:50:00+00:00,2026-08-04 13:50:00+00:00,2026-08-04 14:40:00+00:00,2026-08-04 14:45:00+00:00,,,2026-08-04 14:40:00+00:00
august,2026-08-17,2026-08-17 13:40:00+00:00,2026-08-17 13:45:00+00:00,2026-08-17 20:00:00+00:00,63753.0,63255.0,498.0,1,H2_ARRIVAL,2026-08-17 13:45:00+00:00,2026-08-17 13:50:00+00:00,2026-08-17 13:50:00+00:00,2026-08-17 14:50:00+00:00,2026-08-17 14:55:00+00:00,,,2026-08-17 14:50:00+00:00
august,2026-08-20,2026-08-20 15:00:00+00:00,2026-08-20 15:05:00+00:00,2026-08-20 20:00:00+00:00,72487.5,69771.8,2715.699999999997,1,H2_ARRIVAL,2026-08-20 15:05:00+00:00,2026-08-20 15:10:00+00:00,2026-08-20 15:10:00+00:00,2026-08-20 15:30:00+00:00,2026-08-20 15:35:00+00:00,,,2026-08-20 15:30:00+00:00
development,2022-01-19,2022-01-19 14:30:00+00:00,2022-01-19 14:35:00+00:00,2022-01-19 20:00:00+00:00,42338.38,41115.64,1222.739999999998,1,NO_WINDOW_HIGH_BREAK_DURING_K1,,,,,,,,
development,2022-01-25,2022-01-25 14:20:00+00:00,2022-01-25 14:25:00+00:00,2022-01-25 20:00:00+00:00,36793.85,35993.84,800.010000000002,1,H2_ARRIVAL,2022-01-25 14:25:00+00:00,2022-01-25 14:30:00+00:00,2022-01-25 14:30:00+00:00,2022-01-25 14:35:00+00:00,2022-01-25 14:40:00+00:00,,,2022-01-25 14:35:00+00:00
development,2022-01-26,2022-01-26 13:50:00+00:00,2022-01-26 13:55:00+00:00,2022-01-26 20:00:00+00:00,38239.99,37311.81,928.1800000000003,1,H2_ARRIVAL,2022-01-26 13:55:00+00:00,2022-01-26 14:00:00+00:00,2022-01-26 14:00:00+00:00,2022-01-26 14:00:00+00:00,2022-01-26 14:05:00+00:00,,,2022-01-26 14:00:00+00:00
development,2022-01-28,2022-01-28 13:35:00+00:00,2022-01-28 13:40:00+00:00,2022-01-28 20:00:00+00:00,36884.88,36149.02,735.8600000000006,2,H2_ARRIVAL,2022-01-28 13:45:00+00:00,2022-01-28 13:50:00+00:00,2022-01-28 13:50:00+00:00,2022-01-28 13:55:00+00:00,2022-01-28 14:00:00+00:00,,,2022-01-28 13:55:00+00:00
development,2022-02-01,2022-02-01 16:55:00+00:00,2022-02-01 17:00:00+00:00,2022-02-01 20:00:00+00:00,39100.0,37969.0,1131.0,2,NO_H2_BY_SESSION_END,2022-02-01 17:05:00+00:00,2022-02-01 17:10:00+00:00,2022-02-01 17:10:00+00:00,,,,,
development,2022-02-03,2022-02-03 16:10:00+00:00,2022-02-03 16:15:00+00:00,2022-02-03 20:00:00+00:00,37084.63,36204.3,880.3299999999945,1,NO_H2_BY_SESSION_END,2022-02-03 16:15:00+00:00,2022-02-03 16:20:00+00:00,2022-02-03 16:20:00+00:00,,,,,
development,2022-02-07,2022-02-07 14:20:00+00:00,2022-02-07 14:25:00+00:00,2022-02-07 20:00:00+00:00,42913.09,42201.68,711.4099999999962,3,NO_WINDOW_HIGH_BREAK_DURING_K1,,,,,,,,
development,2022-02-09,2022-02-09 19:05:00+00:00,2022-02-09 19:10:00+00:00,2022-02-09 20:00:00+00:00,44436.44,43164.79,1271.6500000000015,1,H2_ARRIVAL,2022-02-09 19:10:00+00:00,2022-02-09 19:15:00+00:00,2022-02-09 19:15:00+00:00,2022-02-09 19:20:00+00:00,2022-02-09 19:25:00+00:00,,,2022-02-09 19:20:00+00:00
development,2022-02-11,2022-02-11 13:40:00+00:00,2022-02-11 13:45:00+00:00,2022-02-11 20:00:00+00:00,43748.13,42811.42,936.7099999999991,1,H2_ARRIVAL,2022-02-11 13:45:00+00:00,2022-02-11 13:50:00+00:00,2022-02-11 13:50:00+00:00,2022-02-11 13:50:00+00:00,2022-02-11 13:55:00+00:00,,,2022-02-11 13:50:00+00:00
development,2022-02-15,2022-02-15 14:35:00+00:00,2022-02-15 14:40:00+00:00,2022-02-15 20:00:00+00:00,44442.3,43579.4,862.9000000000015,2,NO_H2_BY_SESSION_END,2022-02-15 14:45:00+00:00,2022-02-15 14:50:00+00:00,2022-02-15 14:50:00+00:00,,,,,
development,2022-02-22,2022-02-22 13:55:00+00:00,2022-02-22 14:00:00+00:00,2022-02-22 20:00:00+00:00,37868.0,36727.1,1140.9000000000015,2,H2_ARRIVAL,2022-02-22 14:05:00+00:00,2022-02-22 14:10:00+00:00,2022-02-22 14:10:00+00:00,2022-02-22 14:45:00+00:00,2022-02-22 14:50:00+00:00,,,2022-02-22 14:45:00+00:00
development,2022-02-24,2022-02-24 14:30:00+00:00,2022-02-24 14:35:00+00:00,2022-02-24 20:00:00+00:00,35870.0,34763.2,1106.800000000003,1,H2_ARRIVAL,2022-02-24 14:35:00+00:00,2022-02-24 14:40:00+00:00,2022-02-24 14:40:00+00:00,2022-02-24 15:20:00+00:00,2022-02-24 15:25:00+00:00,,,2022-02-24 15:20:00+00:00
development,2022-03-03,2022-03-03 13:35:00+00:00,2022-03-03 13:40:00+00:00,2022-03-03 20:00:00+00:00,43792.4,43056.2,736.2000000000044,2,H2_ARRIVAL,2022-03-03 13:45:00+00:00,2022-03-03 13:50:00+00:00,2022-03-03 13:50:00+00:00,2022-03-03 13:50:00+00:00,2022-03-03 13:55:00+00:00,,,2022-03-03 13:50:00+00:00
development,2022-03-16,2022-03-16 14:00:00+00:00,2022-03-16 14:05:00+00:00,2022-03-16 20:00:00+00:00,40760.0,39538.0,1222.0,1,H2_ARRIVAL,2022-03-16 14:05:00+00:00,2022-03-16 14:10:00+00:00,2022-03-16 14:10:00+00:00,2022-03-16 14:15:00+00:00,2022-03-16 14:20:00+00:00,,,2022-03-16 14:15:00+00:00
development,2022-03-18,2022-03-18 14:10:00+00:00,2022-03-18 14:15:00+00:00,2022-03-18 20:00:00+00:00,40750.0,40084.2,665.8000000000029,1,H2_ARRIVAL,2022-03-18 14:15:00+00:00,2022-03-18 14:20:00+00:00,2022-03-18 14:20:00+00:00,2022-03-18 14:25:00+00:00,2022-03-18 14:30:00+00:00,,,2022-03-18 14:25:00+00:00
development,2022-03-21,2022-03-21 13:40:00+00:00,2022-03-21 13:45:00+00:00,2022-03-21 20:00:00+00:00,41481.1,40890.9,590.1999999999971,1,OPPOSITE_BREAK_BEFORE_H2,2022-03-21 13:45:00+00:00,2022-03-21 13:50:00+00:00,2022-03-21 13:50:00+00:00,,,2022-03-21 14:20:00+00:00,2022-03-21 14:25:00+00:00,2022-03-21 14:20:00+00:00
development,2022-03-22,2022-03-22 14:30:00+00:00,2022-03-22 14:35:00+00:00,2022-03-22 20:00:00+00:00,43087.2,42063.3,1023.8999999999942,2,NO_H2_BY_SESSION_END,2022-03-22 14:40:00+00:00,2022-03-22 14:45:00+00:00,2022-03-22 14:45:00+00:00,,,,,
development,2022-03-23,2022-03-23 15:00:00+00:00,2022-03-23 15:05:00+00:00,2022-03-23 20:00:00+00:00,42435.0,41852.0,583.0,1,H2_ARRIVAL,2022-03-23 15:05:00+00:00,2022-03-23 15:10:00+00:00,2022-03-23 15:10:00+00:00,2022-03-23 15:10:00+00:00,2022-03-23 15:15:00+00:00,,,2022-03-23 15:10:00+00:00
development,2022-03-25,2022-03-25 13:30:00+00:00,2022-03-25 13:35:00+00:00,2022-03-25 20:00:00+00:00,44900.0,43575.1,1324.9000000000015,2,H2_ARRIVAL,2022-03-25 13:40:00+00:00,2022-03-25 13:45:00+00:00,2022-03-25 13:45:00+00:00,2022-03-25 13:45:00+00:00,2022-03-25 13:50:00+00:00,,,2022-03-25 13:45:00+00:00
development,2022-03-28,2022-03-28 13:30:00+00:00,2022-03-28 13:35:00+00:00,2022-03-28 20:00:00+00:00,47417.0,46834.8,582.1999999999971,1,NO_WINDOW_HIGH_BREAK_DURING_K1,,,,,,,,
development,2022-04-04,2022-04-04 14:10:00+00:00,2022-04-04 14:15:00+00:00,2022-04-04 20:00:00+00:00,46280.0,45780.0,500.0,1,OPPOSITE_BREAK_BEFORE_H2,2022-04-04 14:15:00+00:00,2022-04-04 14:20:00+00:00,2022-04-04 14:20:00+00:00,,,2022-04-04 15:05:00+00:00,2022-04-04 15:10:00+00:00,2022-04-04 15:05:00+00:00
development,2022-04-18,2022-04-18 13:30:00+00:00,2022-04-18 13:35:00+00:00,2022-04-18 20:00:00+00:00,39489.0,38780.0,709.0,2,H2_ARRIVAL,2022-04-18 13:40:00+00:00,2022-04-18 13:45:00+00:00,2022-04-18 13:45:00+00:00,2022-04-18 14:20:00+00:00,2022-04-18 14:25:00+00:00,,,2022-04-18 14:20:00+00:00
development,2022-04-27,2022-04-27 13:30:00+00:00,2022-04-27 13:35:00+00:00,2022-04-27 20:00:00+00:00,39215.7,38614.3,601.3999999999942,2,NO_WINDOW_HIGH_BREAK_DURING_K1,,,,,,,,
development,2022-05-10,2022-05-10 13:30:00+00:00,2022-05-10 13:35:00+00:00,2022-05-10 20:00:00+00:00,32337.2,31231.0,1106.2000000000007,1,OPPOSITE_BREAK_BEFORE_H2,2022-05-10 13:35:00+00:00,2022-05-10 13:40:00+00:00,2022-05-10 13:40:00+00:00,,,2022-05-10 14:45:00+00:00,2022-05-10 14:50:00+00:00,2022-05-10 14:45:00+00:00
development,2022-05-13,2022-05-13 13:50:00+00:00,2022-05-13 13:55:00+00:00,2022-05-13 20:00:00+00:00,30846.3,30160.6,685.7000000000007,1,H2_ARRIVAL,2022-05-13 13:55:00+00:00,2022-05-13 14:00:00+00:00,2022-05-13 14:00:00+00:00,2022-05-13 14:00:00+00:00,2022-05-13 14:05:00+00:00,,,2022-05-13 14:00:00+00:00
development,2022-05-19,2022-05-19 13:35:00+00:00,2022-05-19 13:40:00+00:00,2022-05-19 20:00:00+00:00,29737.2,28838.8,898.4000000000015,1,H2_ARRIVAL,2022-05-19 13:40:00+00:00,2022-05-19 13:45:00+00:00,2022-05-19 13:45:00+00:00,2022-05-19 14:00:00+00:00,2022-05-19 14:05:00+00:00,,,2022-05-19 14:00:00+00:00
development,2022-05-25,2022-05-25 18:00:00+00:00,2022-05-25 18:05:00+00:00,2022-05-25 20:00:00+00:00,29949.2,29330.0,619.2000000000007,1,H2_ARRIVAL,2022-05-25 18:05:00+00:00,2022-05-25 18:10:00+00:00,2022-05-25 18:10:00+00:00,2022-05-25 18:30:00+00:00,2022-05-25 18:35:00+00:00,,,2022-05-25 18:30:00+00:00
development,2022-05-26,2022-05-26 16:15:00+00:00,2022-05-26 16:20:00+00:00,2022-05-26 20:00:00+00:00,29729.8,27952.1,1777.7000000000007,2,H2_ARRIVAL,2022-05-26 16:25:00+00:00,2022-05-26 16:30:00+00:00,2022-05-26 16:30:00+00:00,2022-05-26 16:30:00+00:00,2022-05-26 16:35:00+00:00,,,2022-05-26 16:30:00+00:00
development,2022-06-01,2022-06-01 13:30:00+00:00,2022-06-01 13:35:00+00:00,2022-06-01 20:00:00+00:00,31868.5,31427.5,441.0,2,OPPOSITE_BREAK_BEFORE_H2,2022-06-01 13:40:00+00:00,2022-06-01 13:45:00+00:00,2022-06-01 13:45:00+00:00,,,2022-06-01 14:15:00+00:00,2022-06-01 14:20:00+00:00,2022-06-01 14:15:00+00:00
development,2022-06-15,2022-06-15 13:50:00+00:00,2022-06-15 13:55:00+00:00,2022-06-15 20:00:00+00:00,21700.0,20100.2,1599.7999999999993,2,H2_ARRIVAL,2022-06-15 14:00:00+00:00,2022-06-15 14:05:00+00:00,2022-06-15 14:05:00+00:00,2022-06-15 14:05:00+00:00,2022-06-15 14:10:00+00:00,,,2022-06-15 14:05:00+00:00
development,2022-06-20,2022-06-20 15:05:00+00:00,2022-06-20 15:10:00+00:00,2022-06-20 20:00:00+00:00,21050.0,20010.0,1040.0,1,OPPOSITE_BREAK_BEFORE_H2,2022-06-20 15:10:00+00:00,2022-06-20 15:15:00+00:00,2022-06-20 15:15:00+00:00,,,2022-06-20 17:55:00+00:00,2022-06-20 18:00:00+00:00,2022-06-20 17:55:00+00:00
development,2022-06-29,2022-06-29 19:50:00+00:00,2022-06-29 19:55:00+00:00,2022-06-29 20:00:00+00:00,20235.6,19817.2,418.3999999999978,2,NO_CAUSAL_LEAVE_BY_SESSION_END,,,,,,,,
development,2022-07-06,2022-07-06 13:30:00+00:00,2022-07-06 13:35:00+00:00,2022-07-06 20:00:00+00:00,20295.0,19950.0,345.0,1,H2_ARRIVAL,2022-07-06 13:35:00+00:00,2022-07-06 13:40:00+00:00,2022-07-06 13:40:00+00:00,2022-07-06 16:45:00+00:00,2022-07-06 16:50:00+00:00,,,2022-07-06 16:45:00+00:00
development,2022-07-08,2022-07-08 14:45:00+00:00,2022-07-08 14:50:00+00:00,2022-07-08 20:00:00+00:00,21814.1,21175.2,638.8999999999978,1,H2_ARRIVAL,2022-07-08 14:50:00+00:00,2022-07-08 14:55:00+00:00,2022-07-08 14:55:00+00:00,2022-07-08 15:00:00+00:00,2022-07-08 15:05:00+00:00,,,2022-07-08 15:00:00+00:00
development,2022-07-11,2022-07-11 13:30:00+00:00,2022-07-11 13:35:00+00:00,2022-07-11 20:00:00+00:00,20625.0,20405.8,219.20000000000073,1,OPPOSITE_BREAK_BEFORE_H2,2022-07-11 13:35:00+00:00,2022-07-11 13:40:00+00:00,2022-07-11 13:40:00+00:00,,,2022-07-11 13:45:00+00:00,2022-07-11 13:50:00+00:00,2022-07-11 13:45:00+00:00
development,2022-07-12,2022-07-12 13:30:00+00:00,2022-07-12 13:35:00+00:00,2022-07-12 20:00:00+00:00,19959.4,19552.4,407.0,3,H2_ARRIVAL,2022-07-12 13:45:00+00:00,2022-07-12 13:50:00+00:00,2022-07-12 13:50:00+00:00,2022-07-12 15:10:00+00:00,2022-07-12 15:15:00+00:00,,,2022-07-12 15:10:00+00:00
development,2022-07-14,2022-07-14 15:05:00+00:00,2022-07-14 15:10:00+00:00,2022-07-14 20:00:00+00:00,20047.0,19600.0,447.0,2,NO_WINDOW_HIGH_BREAK_DURING_K1,,,,,,,,
