partition,date_utc,signal_ts,cohort,entry_ts,entry_px,H,L,range,h2_bar_start,session_end,fixed_exit_ts,fixed_exit_px,fixed_exit_reason,fixed_net_pnl_usd,hybrid_exit_ts,hybrid_exit_px,hybrid_exit_reason,hybrid_net_pnl_usd,e10_reached,e10_activation_bar_start,e10_activation_ts,final_floor,final_floor_extension,floor_updates,realized_exit_extension,hybrid_hold_minutes,regime_at_signal,regime_available_ts
august,2026-08-13,2026-08-13 14:40:00+00:00,SAME_BAR_REJECTION,2026-08-13 15:10:00+00:00,1890.85,1896.19,1874.43,21.75999999999999,,2026-08-13 20:00:00+00:00,2026-08-13 16:40:00+00:00,1869.17,CLOSE_INVALIDATION_F15,-6.132871459925404,2026-08-13 16:40:00+00:00,1869.17,PRE_E10_CLOSE_INVALIDATION_F15,-6.132871459925404,False,,,,,0,-1.2417279411764703,90.0,BEAR,2026-08-13 12:00:00+00:00
august,2026-08-20,2026-08-20 15:35:00+00:00,SAME_BAR_REJECTION,2026-08-20 15:45:00+00:00,2302.46,2318.78,2248.84,69.94000000000005,2026-08-20 15:45:00+00:00,2026-08-20 20:00:00+00:00,2026-08-20 15:50:00+00:00,2325.7740000000003,TP_E10,4.662845825768991,2026-08-20 16:00:00+00:00,2325.7740000000003,ACTIVE_FLOOR_TOUCH,4.662845825768991,True,2026-08-20 15:50:00+00:00,2026-08-20 15:55:00+00:00,2325.7740000000003,0.1000000000000019,0,0.1000000000000019,15.0,BULL,2026-08-20 12:00:00+00:00
development,2022-03-03,2022-03-03 14:05:00+00:00,SAME_BAR_REJECTION,2022-03-03 14:15:00+00:00,2922.69,2934.48,2877.35,57.13000000000011,,2022-03-03 20:00:00+00:00,2022-03-03 14:50:00+00:00,2883.28,CLOSE_INVALIDATION_F15,-7.142076648566853,2022-03-03 14:50:00+00:00,2883.28,PRE_E10_CLOSE_INVALIDATION_F15,-7.142076648566853,False,,,,,0,-0.8962016453702034,35.0,BULL,2022-03-03 12:00:00+00:00
development,2022-03-22,2022-03-22 14:40:00+00:00,SAME_BAR_REJECTION,2022-03-22 15:20:00+00:00,3017.13,3027.92,2984.71,43.21000000000004,,2022-03-22 20:00:00+00:00,2022-03-22 20:00:00+00:00,2982.71,CLOSE_INVALIDATION_F15,-6.10409627692542,2022-03-22 20:00:00+00:00,2982.71,PRE_E10_CLOSE_INVALIDATION_F15,-6.10409627692542,False,,,,,0,-1.046285582041194,280.0,BULL,2022-03-22 12:00:00+00:00
development,2022-06-28,2022-06-28 13:35:00+00:00,SAME_BAR_REJECTION,2022-06-28 13:50:00+00:00,1228.94,1234.0,1203.32,30.680000000000064,,2022-06-28 20:00:00+00:00,2022-06-28 14:35:00+00:00,1200.87,CLOSE_INVALIDATION_F15,-11.82041108597658,2022-06-28 14:35:00+00:00,1200.87,PRE_E10_CLOSE_INVALIDATION_F15,-11.82041108597658,False,,,,,0,-1.0798565840938736,45.0,BULL,2022-06-28 12:00:00+00:00
development,2022-07-28,2022-07-28 13:35:00+00:00,SAME_BAR_REJECTION,2022-07-28 14:50:00+00:00,1647.84,1659.0,1595.0,64.0,2022-07-28 15:15:00+00:00,2022-07-28 20:00:00+00:00,2022-07-28 15:20:00+00:00,1665.4,TP_E10,4.928187202641055,2022-07-28 18:05:00+00:00,1737.0,ACTIVE_FLOOR_TOUCH,26.65359743664437,True,2022-07-28 15:20:00+00:00,2022-07-28 15:25:00+00:00,1737.0,1.21875,6,1.21875,195.0,BULL,2022-07-28 12:00:00+00:00
development,2022-09-02,2022-09-02 14:40:00+00:00,SAME_BAR_REJECTION,2022-09-02 15:45:00+00:00,1630.65,1644.8,1581.33,63.47000000000003,,2022-09-02 20:00:00+00:00,2022-09-02 17:50:00+00:00,1586.18,CLOSE_INVALIDATION_F15,-14.03566675865452,2022-09-02 17:50:00+00:00,1586.18,PRE_E10_CLOSE_INVALIDATION_F15,-14.03566675865452,False,,,,,0,-0.9235859461162732,125.0,BULL,2022-09-02 12:00:00+00:00
development,2022-09-08,2022-09-08 13:45:00+00:00,SAME_BAR_REJECTION,2022-09-08 14:00:00+00:00,1634.26,1646.6,1597.0,49.59999999999991,2022-09-08 15:05:00+00:00,2022-09-08 20:00:00+00:00,2022-09-08 15:05:00+00:00,1651.56,TP_E10,4.892915447970281,2022-09-08 15:10:00+00:00,1645.91,ACTIVE_FLOOR_GAP_OPEN,3.164304333459778,True,2022-09-08 15:05:00+00:00,2022-09-08 15:10:00+00:00,1651.56,0.1000000000000009,0,-0.0139112903225771,70.0,BULL,2022-09-08 12:00:00+00:00
development,2022-10-06,2022-10-06 13:45:00+00:00,SAME_BAR_REJECTION,2022-10-06 13:55:00+00:00,1372.1,1378.0,1354.0,24.0,,2022-10-06 20:00:00+00:00,2022-10-06 14:05:00+00:00,1355.29,CLOSE_INVALIDATION_F15,-6.525646818744946,2022-10-06 14:05:00+00:00,1355.29,PRE_E10_CLOSE_INVALIDATION_F15,-6.525646818744946,False,,,,,0,-0.9462500000000016,10.0,BULL,2022-10-06 12:00:00+00:00
development,2022-11-30,2022-11-30 16:45:00+00:00,SAME_BAR_REJECTION,2022-11-30 16:55:00+00:00,1272.01,1276.93,1253.37,23.560000000000173,2022-11-30 18:30:00+00:00,2022-11-30 20:00:00+00:00,2022-11-30 18:35:00+00:00,1279.286,TP_E10,2.460040408487419,2022-11-30 18:45:00+00:00,1279.286,ACTIVE_FLOOR_TOUCH,2.460040408487419,True,2022-11-30 18:35:00+00:00,2022-11-30 18:40:00+00:00,1279.286,0.099999999999999,0,0.099999999999999,110.0,BULL,2022-11-30 16:00:00+00:00
development,2022-12-29,2022-12-29 13:35:00+00:00,SAME_BAR_REJECTION,2022-12-29 13:55:00+00:00,1200.52,1203.85,1189.58,14.269999999999982,2022-12-29 14:30:00+00:00,2022-12-29 20:00:00+00:00,2022-12-29 15:05:00+00:00,1205.2769999999998,TP_E10,1.5812248025854465,2022-12-29 15:10:00+00:00,1205.05,ACTIVE_FLOOR_GAP_OPEN,1.4866824376103651,True,2022-12-29 15:05:00+00:00,2022-12-29 15:10:00+00:00,1205.2769999999998,0.0999999999999936,0,0.0840925017519304,75.0,BEAR,2022-12-29 12:00:00+00:00
