partition,date_utc,source_start,source_end,obs_start,obs_end,H,L,range,off_return_bp,close_break_high,close_break_low,first_close_break,first_close_break_ts
external,2020-01-01,2020-01-01 13:30:00+00:00,2020-01-01 20:00:00+00:00,2020-01-01 20:00:00+00:00,2020-01-02 00:00:00+00:00,7260.43,7204.0,56.43000000000029,-40.115905769827485,False,True,LOW,2020-01-01 22:40:00+00:00
external,2020-01-02,2020-01-02 13:30:00+00:00,2020-01-02 20:00:00+00:00,2020-01-02 20:00:00+00:00,2020-01-03 00:00:00+00:00,7154.06,6922.0,232.0600000000004,-24.94465896309861,False,False,NO_BREAK,
external,2020-01-03,2020-01-03 13:30:00+00:00,2020-01-03 20:00:00+00:00,2020-01-03 20:00:00+00:00,2020-01-04 00:00:00+00:00,7407.28,7229.0,178.27999999999975,3.828906472487237,False,False,NO_BREAK,
external,2020-01-06,2020-01-06 13:30:00+00:00,2020-01-06 20:00:00+00:00,2020-01-06 20:00:00+00:00,2020-01-07 00:00:00+00:00,7611.81,7481.74,130.07000000000062,292.7931513974258,True,False,HIGH,2020-01-06 22:15:00+00:00
external,2020-01-07,2020-01-07 13:30:00+00:00,2020-01-07 20:00:00+00:00,2020-01-07 20:00:00+00:00,2020-01-08 00:00:00+00:00,8133.0,7733.0,400.0,92.5757423824325,True,False,HIGH,2020-01-07 20:45:00+00:00
external,2020-01-08,2020-01-08 13:30:00+00:00,2020-01-08 20:00:00+00:00,2020-01-08 20:00:00+00:00,2020-01-09 00:00:00+00:00,8427.97,7964.41,463.5599999999995,116.56878336431475,False,True,LOW,2020-01-08 20:05:00+00:00
external,2020-01-09,2020-01-09 13:30:00+00:00,2020-01-09 20:00:00+00:00,2020-01-09 20:00:00+00:00,2020-01-10 00:00:00+00:00,7963.0,7776.0,187.0,-130.03686124015368,True,True,HIGH,2020-01-09 20:05:00+00:00
external,2020-01-10,2020-01-10 13:30:00+00:00,2020-01-10 20:00:00+00:00,2020-01-10 20:00:00+00:00,2020-01-11 00:00:00+00:00,8145.41,7851.0,294.40999999999985,179.10917957800532,True,False,HIGH,2020-01-10 23:50:00+00:00
external,2020-01-13,2020-01-13 13:30:00+00:00,2020-01-13 20:00:00+00:00,2020-01-13 20:00:00+00:00,2020-01-14 00:00:00+00:00,8132.0,8070.56,61.4399999999996,1.4546673866044912,True,False,HIGH,2020-01-13 20:40:00+00:00
external,2020-01-14,2020-01-14 13:30:00+00:00,2020-01-14 20:00:00+00:00,2020-01-14 20:00:00+00:00,2020-01-15 00:00:00+00:00,8864.99,8520.0,344.9899999999998,55.13518317436849,True,False,HIGH,2020-01-14 23:35:00+00:00
external,2020-01-15,2020-01-15 13:30:00+00:00,2020-01-15 20:00:00+00:00,2020-01-15 20:00:00+00:00,2020-01-16 00:00:00+00:00,8921.2,8680.42,240.78000000000065,67.0735185079563,False,False,NO_BREAK,
external,2020-01-16,2020-01-16 13:30:00+00:00,2020-01-16 20:00:00+00:00,2020-01-16 20:00:00+00:00,2020-01-17 00:00:00+00:00,8732.86,8634.0,98.86000000000058,17.76198934280604,True,False,HIGH,2020-01-16 20:55:00+00:00
external,2020-01-17,2020-01-17 13:30:00+00:00,2020-01-17 20:00:00+00:00,2020-01-17 20:00:00+00:00,2020-01-18 00:00:00+00:00,8959.22,8785.0,174.21999999999935,37.861223534283454,True,False,HIGH,2020-01-17 23:05:00+00:00
external,2020-01-20,2020-01-20 13:30:00+00:00,2020-01-20 20:00:00+00:00,2020-01-20 20:00:00+00:00,2020-01-21 00:00:00+00:00,8710.65,8559.21,151.4400000000005,-32.98907776918658,True,False,HIGH,2020-01-20 22:05:00+00:00
external,2020-01-21,2020-01-21 13:30:00+00:00,2020-01-21 20:00:00+00:00,2020-01-21 20:00:00+00:00,2020-01-22 00:00:00+00:00,8682.7,8448.6,234.10000000000036,241.70260223919325,True,False,HIGH,2020-01-21 20:15:00+00:00
external,2020-01-22,2020-01-22 13:30:00+00:00,2020-01-22 20:00:00+00:00,2020-01-22 20:00:00+00:00,2020-01-23 00:00:00+00:00,8720.59,8585.85,134.73999999999978,14.887576311801709,False,False,NO_BREAK,
external,2020-01-23,2020-01-23 13:30:00+00:00,2020-01-23 20:00:00+00:00,2020-01-23 20:00:00+00:00,2020-01-24 00:00:00+00:00,8411.0,8326.0,85.0,36.340201571758435,True,False,HIGH,2020-01-23 21:10:00+00:00
external,2020-01-24,2020-01-24 13:30:00+00:00,2020-01-24 20:00:00+00:00,2020-01-24 20:00:00+00:00,2020-01-25 00:00:00+00:00,8528.0,8422.45,105.54999999999927,-72.95390404515656,False,False,NO_BREAK,
external,2020-01-27,2020-01-27 13:30:00+00:00,2020-01-27 20:00:00+00:00,2020-01-27 20:00:00+00:00,2020-01-28 00:00:00+00:00,8989.37,8715.0,274.3700000000008,-22.867594055993035,True,False,HIGH,2020-01-27 21:00:00+00:00
external,2020-01-28,2020-01-28 13:30:00+00:00,2020-01-28 20:00:00+00:00,2020-01-28 20:00:00+00:00,2020-01-29 00:00:00+00:00,9207.81,8905.0,302.8099999999995,421.98079042670366,True,False,HIGH,2020-01-28 23:40:00+00:00
external,2020-01-29,2020-01-29 13:30:00+00:00,2020-01-29 20:00:00+00:00,2020-01-29 20:00:00+00:00,2020-01-30 00:00:00+00:00,9422.16,9268.14,154.02000000000044,-94.68085106382973,True,False,HIGH,2020-01-29 21:20:00+00:00
external,2020-01-30,2020-01-30 13:30:00+00:00,2020-01-30 20:00:00+00:00,2020-01-30 20:00:00+00:00,2020-01-31 00:00:00+00:00,9545.08,9223.0,322.0799999999999,11.192829862680664,True,False,HIGH,2020-01-30 20:25:00+00:00
external,2020-01-31,2020-01-31 13:30:00+00:00,2020-01-31 20:00:00+00:00,2020-01-31 20:00:00+00:00,2020-02-01 00:00:00+00:00,9377.78,9248.0,129.78000000000065,51.25172270188383,True,False,HIGH,2020-01-31 21:45:00+00:00
external,2020-02-03,2020-02-03 13:30:00+00:00,2020-02-03 20:00:00+00:00,2020-02-03 20:00:00+00:00,2020-02-04 00:00:00+00:00,9372.0,9250.0,122.0,-33.775674656243424,False,False,NO_BREAK,
external,2020-02-04,2020-02-04 13:30:00+00:00,2020-02-04 20:00:00+00:00,2020-02-04 20:00:00+00:00,2020-02-05 00:00:00+00:00,9242.93,9124.0,118.93000000000029,12.64867912739387,False,False,NO_BREAK,
external,2020-02-05,2020-02-05 13:30:00+00:00,2020-02-05 20:00:00+00:00,2020-02-05 20:00:00+00:00,2020-02-06 00:00:00+00:00,9799.08,9425.45,373.6299999999992,-53.05039787798505,False,False,NO_BREAK,
external,2020-02-06,2020-02-06 13:30:00+00:00,2020-02-06 20:00:00+00:00,2020-02-06 20:00:00+00:00,2020-02-07 00:00:00+00:00,9870.64,9651.0,219.63999999999942,24.615264744809462,False,False,NO_BREAK,
external,2020-02-07,2020-02-07 13:30:00+00:00,2020-02-07 20:00:00+00:00,2020-02-07 20:00:00+00:00,2020-02-08 00:00:00+00:00,9855.35,9773.0,82.35000000000036,38.615089934932456,False,True,LOW,2020-02-07 20:50:00+00:00
external,2020-02-10,2020-02-10 13:30:00+00:00,2020-02-10 20:00:00+00:00,2020-02-10 20:00:00+00:00,2020-02-11 00:00:00+00:00,9931.89,9808.35,123.53999999999905,24.366006271350216,False,False,NO_BREAK,
external,2020-02-11,2020-02-11 13:30:00+00:00,2020-02-11 20:00:00+00:00,2020-02-11 20:00:00+00:00,2020-02-12 00:00:00+00:00,10409.96,9855.6,554.3599999999988,-56.75847756246854,False,False,NO_BREAK,
external,2020-02-12,2020-02-12 13:30:00+00:00,2020-02-12 20:00:00+00:00,2020-02-12 20:00:00+00:00,2020-02-13 00:00:00+00:00,10437.0,10259.64,177.36000000000058,11.541362519813525,False,False,NO_BREAK,
external,2020-02-13,2020-02-13 13:30:00+00:00,2020-02-13 20:00:00+00:00,2020-02-13 20:00:00+00:00,2020-02-14 00:00:00+00:00,10540.0,10132.0,408.0,-22.77111955568678,False,False,NO_BREAK,
external,2020-02-14,2020-02-14 13:30:00+00:00,2020-02-14 20:00:00+00:00,2020-02-14 20:00:00+00:00,2020-02-15 00:00:00+00:00,10388.99,10233.0,155.98999999999978,4.5691256548185955,False,False,NO_BREAK,
external,2020-02-17,2020-02-17 13:30:00+00:00,2020-02-17 20:00:00+00:00,2020-02-17 20:00:00+00:00,2020-02-18 00:00:00+00:00,9730.0,9461.89,268.1100000000006,42.75094473799701,False,False,NO_BREAK,
external,2020-02-18,2020-02-18 13:30:00+00:00,2020-02-18 20:00:00+00:00,2020-02-18 20:00:00+00:00,2020-02-19 00:00:00+00:00,10060.0,9608.68,451.3199999999997,120.17705276769152,True,False,HIGH,2020-02-18 20:05:00+00:00
external,2020-02-19,2020-02-19 13:30:00+00:00,2020-02-19 20:00:00+00:00,2020-02-19 20:00:00+00:00,2020-02-20 00:00:00+00:00,10286.0,10100.0,186.0,-548.6960882153891,False,True,LOW,2020-02-19 20:40:00+00:00
external,2020-02-20,2020-02-20 13:30:00+00:00,2020-02-20 20:00:00+00:00,2020-02-20 20:00:00+00:00,2020-02-21 00:00:00+00:00,9700.0,9382.59,317.40999999999985,46.58136515207411,False,False,NO_BREAK,
external,2020-02-21,2020-02-21 13:30:00+00:00,2020-02-21 20:00:00+00:00,2020-02-21 20:00:00+00:00,2020-02-22 00:00:00+00:00,9750.0,9662.86,87.13999999999942,-6.3999405424886024,False,True,LOW,2020-02-21 20:05:00+00:00
external,2020-02-24,2020-02-24 13:30:00+00:00,2020-02-24 20:00:00+00:00,2020-02-24 20:00:00+00:00,2020-02-25 00:00:00+00:00,9829.99,9487.38,342.6100000000006,56.27086611551091,False,False,NO_BREAK,
external,2020-02-25,2020-02-25 13:30:00+00:00,2020-02-25 20:00:00+00:00,2020-02-25 20:00:00+00:00,2020-02-26 00:00:00+00:00,9602.82,9285.66,317.15999999999985,-45.46041613519236,False,False,NO_BREAK,
