partition,side,signal_ts,net_pnl_usd,swing_high,swing_low,swing_high_ts,swing_low_ts,range_known_ts,upper_test_candles,lower_test_candles,total_test_candles,ambiguous_both_candles,side_visits,side_switches,visit_sequence,true_swing_breakout
external,SHORT,2020-01-01 20:00:00+00:00,5.772916692717189,7260.43,7174.0,2020-01-01 12:00:00+00:00,2020-01-01 08:00:00+00:00,2020-01-01 20:00:00+00:00,0,0,0,0,0,0,,False
external,SHORT,2020-01-02 04:00:00+00:00,-4.041912169206507,7260.43,7174.0,2020-01-01 12:00:00+00:00,2020-01-01 08:00:00+00:00,2020-01-01 20:00:00+00:00,0,1,1,0,1,0,L,True
external,SHORT,2020-01-02 16:00:00+00:00,-12.137314544842392,7175.0,7101.0,2020-01-02 08:00:00+00:00,2020-01-02 04:00:00+00:00,2020-01-02 16:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-01-03 04:00:00+00:00,34.634634524494295,7175.0,6922.0,2020-01-02 08:00:00+00:00,2020-01-02 16:00:00+00:00,2020-01-03 00:00:00+00:00,0,1,1,0,1,0,L,True
external,LONG,2020-01-06 20:00:00+00:00,28.56977728049666,7611.81,7481.74,2020-01-06 12:00:00+00:00,2020-01-06 12:00:00+00:00,2020-01-06 20:00:00+00:00,0,0,0,0,0,0,,True
external,LONG,2020-01-07 20:00:00+00:00,-12.601106626262116,7969.0,7481.74,2020-01-07 08:00:00+00:00,2020-01-06 12:00:00+00:00,2020-01-07 16:00:00+00:00,0,0,0,0,0,0,,True
external,SHORT,2020-01-09 08:00:00+00:00,-5.378735066332396,8427.97,7870.11,2020-01-08 12:00:00+00:00,2020-01-08 20:00:00+00:00,2020-01-09 04:00:00+00:00,0,0,0,0,0,0,,False
external,SHORT,2020-01-10 04:00:00+00:00,-4.65615074732566,8006.83,7750.01,2020-01-09 20:00:00+00:00,2020-01-09 20:00:00+00:00,2020-01-10 04:00:00+00:00,0,0,0,0,0,0,,False
external,LONG,2020-01-10 08:00:00+00:00,21.408442800663188,8006.83,7750.01,2020-01-09 20:00:00+00:00,2020-01-09 20:00:00+00:00,2020-01-10 04:00:00+00:00,0,1,1,0,1,0,L,False
external,LONG,2020-01-10 20:00:00+00:00,-13.91374402963257,8006.83,7670.0,2020-01-09 20:00:00+00:00,2020-01-10 08:00:00+00:00,2020-01-10 16:00:00+00:00,0,0,0,0,0,0,,True
