partition,clock_block,wib,regime,gate,source_n,pass_n,pass_rate,fills_n,fill_rate_pass,retained_fills,target_n,target_rate_fill,target_yield_source,high_failure_n,high_failure_rate_fill,unresolved_n,unresolved_rate_fill
external,00-04,07-11,BULL,BASE,14,14,1.0,13,0.9285714285714286,1.0,12,0.9230769230769231,0.8571428571428571,0,0.0,1,0.07692307692307693
external,00-04,07-11,BULL,EMA50_DOWN,14,0,0.0,0,,0.0,0,,0.0,0,,0,
external,00-04,07-11,BULL,EMA20_50_DOWN,14,0,0.0,0,,0.0,0,,0.0,0,,0,
external,00-04,07-11,BEAR,BASE,7,7,1.0,7,1.0,1.0,4,0.5714285714285714,0.5714285714285714,2,0.2857142857142857,1,0.14285714285714285
external,00-04,07-11,BEAR,EMA50_DOWN,7,5,0.7142857142857143,5,1.0,0.7142857142857143,3,0.6,0.42857142857142855,2,0.4,0,0.0
external,00-04,07-11,BEAR,EMA20_50_DOWN,7,5,0.7142857142857143,5,1.0,0.7142857142857143,3,0.6,0.42857142857142855,2,0.4,0,0.0
external,00-04,07-11,SIDEWAYS,BASE,8,8,1.0,7,0.875,1.0,7,1.0,0.875,0,0.0,0,0.0
external,00-04,07-11,SIDEWAYS,EMA50_DOWN,8,8,1.0,7,0.875,1.0,7,1.0,0.875,0,0.0,0,0.0
external,00-04,07-11,SIDEWAYS,EMA20_50_DOWN,8,7,0.875,7,1.0,1.0,7,1.0,0.875,0,0.0,0,0.0
external,04-08,11-15,BULL,BASE,19,19,1.0,16,0.8421052631578947,1.0,13,0.8125,0.6842105263157895,2,0.125,1,0.0625
external,04-08,11-15,BULL,EMA50_DOWN,19,2,0.10526315789473684,2,1.0,0.125,2,1.0,0.10526315789473684,0,0.0,0,0.0
external,04-08,11-15,BULL,EMA20_50_DOWN,19,0,0.0,0,,0.0,0,,0.0,0,,0,
external,04-08,11-15,BEAR,BASE,13,13,1.0,12,0.9230769230769231,1.0,10,0.8333333333333334,0.7692307692307693,1,0.08333333333333333,1,0.08333333333333333
external,04-08,11-15,BEAR,EMA50_DOWN,13,12,0.9230769230769231,11,0.9166666666666666,0.9166666666666666,9,0.8181818181818182,0.6923076923076923,1,0.09090909090909091,1,0.09090909090909091
external,04-08,11-15,BEAR,EMA20_50_DOWN,13,12,0.9230769230769231,11,0.9166666666666666,0.9166666666666666,9,0.8181818181818182,0.6923076923076923,1,0.09090909090909091,1,0.09090909090909091
external,04-08,11-15,SIDEWAYS,BASE,11,11,1.0,10,0.9090909090909091,1.0,9,0.9,0.8181818181818182,0,0.0,1,0.1
external,04-08,11-15,SIDEWAYS,EMA50_DOWN,11,11,1.0,10,0.9090909090909091,1.0,9,0.9,0.8181818181818182,0,0.0,1,0.1
external,04-08,11-15,SIDEWAYS,EMA20_50_DOWN,11,9,0.8181818181818182,8,0.8888888888888888,0.8,7,0.875,0.6363636363636364,0,0.0,1,0.125
external,08-12,15-19,BULL,BASE,22,22,1.0,22,1.0,1.0,13,0.5909090909090909,0.5909090909090909,6,0.2727272727272727,3,0.13636363636363635
external,08-12,15-19,BULL,EMA50_DOWN,22,6,0.2727272727272727,6,1.0,0.2727272727272727,4,0.6666666666666666,0.18181818181818182,0,0.0,2,0.3333333333333333
external,08-12,15-19,BULL,EMA20_50_DOWN,22,0,0.0,0,,0.0,0,,0.0,0,,0,
external,08-12,15-19,BEAR,BASE,6,6,1.0,6,1.0,1.0,5,0.8333333333333334,0.8333333333333334,0,0.0,1,0.16666666666666666
external,08-12,15-19,BEAR,EMA50_DOWN,6,6,1.0,6,1.0,1.0,5,0.8333333333333334,0.8333333333333334,0,0.0,1,0.16666666666666666
external,08-12,15-19,BEAR,EMA20_50_DOWN,6,6,1.0,6,1.0,1.0,5,0.8333333333333334,0.8333333333333334,0,0.0,1,0.16666666666666666
external,08-12,15-19,SIDEWAYS,BASE,12,12,1.0,12,1.0,1.0,11,0.9166666666666666,0.9166666666666666,1,0.08333333333333333,0,0.0
external,08-12,15-19,SIDEWAYS,EMA50_DOWN,12,9,0.75,9,1.0,0.75,8,0.8888888888888888,0.6666666666666666,1,0.1111111111111111,0,0.0
external,08-12,15-19,SIDEWAYS,EMA20_50_DOWN,12,7,0.5833333333333334,7,1.0,0.5833333333333334,6,0.8571428571428571,0.5,1,0.14285714285714285,0,0.0
external,12-16,19-23,BULL,BASE,18,18,1.0,17,0.9444444444444444,1.0,13,0.7647058823529411,0.7222222222222222,2,0.11764705882352941,2,0.11764705882352941
external,12-16,19-23,BULL,EMA50_DOWN,18,3,0.16666666666666666,3,1.0,0.17647058823529413,2,0.6666666666666666,0.1111111111111111,0,0.0,1,0.3333333333333333
external,12-16,19-23,BULL,EMA20_50_DOWN,18,0,0.0,0,,0.0,0,,0.0,0,,0,
external,12-16,19-23,BEAR,BASE,5,5,1.0,5,1.0,1.0,3,0.6,0.6,1,0.2,1,0.2
external,12-16,19-23,BEAR,EMA50_DOWN,5,5,1.0,5,1.0,1.0,3,0.6,0.6,1,0.2,1,0.2
external,12-16,19-23,BEAR,EMA20_50_DOWN,5,5,1.0,5,1.0,1.0,3,0.6,0.6,1,0.2,1,0.2
external,12-16,19-23,SIDEWAYS,BASE,9,9,1.0,9,1.0,1.0,7,0.7777777777777778,0.7777777777777778,1,0.1111111111111111,1,0.1111111111111111
external,12-16,19-23,SIDEWAYS,EMA50_DOWN,9,9,1.0,9,1.0,1.0,7,0.7777777777777778,0.7777777777777778,1,0.1111111111111111,1,0.1111111111111111
external,12-16,19-23,SIDEWAYS,EMA20_50_DOWN,9,9,1.0,9,1.0,1.0,7,0.7777777777777778,0.7777777777777778,1,0.1111111111111111,1,0.1111111111111111
external,16-20,23-03,BULL,BASE,10,10,1.0,9,0.9,1.0,6,0.6666666666666666,0.6,1,0.1111111111111111,2,0.2222222222222222
external,16-20,23-03,BULL,EMA50_DOWN,10,1,0.1,1,1.0,0.1111111111111111,1,1.0,0.1,0,0.0,0,0.0
external,16-20,23-03,BULL,EMA20_50_DOWN,10,0,0.0,0,,0.0,0,,0.0,0,,0,
external,16-20,23-03,BEAR,BASE,16,16,1.0,13,0.8125,1.0,9,0.6923076923076923,0.5625,3,0.23076923076923078,1,0.07692307692307693
external,16-20,23-03,BEAR,EMA50_DOWN,16,16,1.0,13,0.8125,1.0,9,0.6923076923076923,0.5625,3,0.23076923076923078,1,0.07692307692307693
