partition,regime,clock_block,obs_start,obs_end,reclaim_complete_ts,source_terminal_type,H,L,R4,F05,T5,T7p5,T10,filled,cancel_reason,fill_ts,entry_px,rebreak_confirmed,rebreak_complete_ts,t5_reached,t75_reached,t10_reached,extension_used,ratchets,exit_ts,exit_px,exit_reason,exit_kind,gross_return,net_pnl_usd,hold_minutes,exit_ext_from_L_r4,peak_favorable_from_L_r4
external,BULL,08-12,2020-01-08 08:00:00+00:00,2020-01-08 12:00:00+00:00,2020-01-08 08:20:00+00:00,NO_BOUNDARY_BY_BLOCK_END,8381.87,8280.0,101.8700000000008,8285.0935,8274.9065,8272.35975,8269.813,True,,2020-01-08 08:20:00+00:00,8304.29,True,2020-01-08 13:10:00+00:00,True,True,True,True,0,2020-01-08 13:15:00+00:00,8270.0,CEILING_OPEN_EXIT,T10,0.004129191056670814,1.6645955283354068,295.0,0.09816432708353708,0.48090703838224597
external,BULL,04-08,2020-01-09 04:00:00+00:00,2020-01-09 08:00:00+00:00,2020-01-09 06:20:00+00:00,REBREAK_LOW,8060.0,7932.0,128.0,7938.4,7925.6,7922.4,7919.2,True,,2020-01-09 06:20:00+00:00,7938.4,True,2020-01-09 06:40:00+00:00,True,True,True,False,0,2020-01-09 06:50:00+00:00,7919.2,CEILING_STOP,T10,0.002418623400181374,0.809311700090687,30.0,0.10000000000000142,0.265625
external,BULL,08-12,2020-01-09 08:00:00+00:00,2020-01-09 12:00:00+00:00,2020-01-09 09:15:00+00:00,REBREAK_LOW,7980.73,7898.0,82.72999999999956,7902.1365,7893.8635,7891.79525,7889.727,True,,2020-01-09 09:15:00+00:00,7905.68,True,2020-01-09 09:20:00+00:00,True,True,True,False,0,2020-01-09 09:25:00+00:00,7896.15,CEILING_OPEN_EXIT,T10,0.0012054624017163171,0.20273120085815854,10.0,0.022361900157142192,0.19340021757524578
external,BULL,04-08,2020-01-11 04:00:00+00:00,2020-01-11 08:00:00+00:00,2020-01-11 04:35:00+00:00,REBREAK_LOW,8261.33,8131.93,129.39999999999964,8138.400000000001,8125.46,8122.225,8118.990000000001,False,REBREAK_BEFORE_FILL,,,False,,False,False,False,False,0,,,NO_TRADE,NONE,,,,,
external,SIDEWAYS,12-16,2020-01-20 12:00:00+00:00,2020-01-20 16:00:00+00:00,2020-01-20 12:45:00+00:00,REBREAK_LOW,8686.0,8601.0,85.0,8605.25,8596.75,8594.625,8592.5,True,,2020-01-20 12:45:00+00:00,8613.37,True,2020-01-20 12:55:00+00:00,True,True,True,False,0,2020-01-20 13:35:00+00:00,8592.5,CEILING_STOP,T10,0.0024229773015673074,0.8114886507836537,50.0,0.1,0.8816470588235354
external,BULL,08-12,2020-01-28 08:00:00+00:00,2020-01-28 12:00:00+00:00,2020-01-28 10:10:00+00:00,NO_BOUNDARY_BY_BLOCK_END,9149.09,8977.61,171.47999999999956,8986.184000000001,8969.036,8964.749,8960.462000000001,True,,2020-01-28 10:10:00+00:00,8986.184000000001,False,,False,False,False,True,0,2020-01-28 14:15:00+00:00,9160.64,FULL_SL_HIGH_BREAK,HIGH,-0.019413802343686518,-10.106901171843258,245.0,-1.0673547935619274,0.0030324236062540116
external,BULL,00-04,2020-01-31 00:00:00+00:00,2020-01-31 04:00:00+00:00,2020-01-31 01:45:00+00:00,REBREAK_LOW,9599.0,9481.58,117.42000000000009,9487.451,9475.709,9472.7735,9469.838,True,,2020-01-31 01:45:00+00:00,9488.54,True,2020-01-31 02:05:00+00:00,True,True,True,False,0,2020-01-31 02:10:00+00:00,9470.01,CEILING_OPEN_EXIT,T10,0.0019528821083117797,0.5764410541558898,25.0,0.09853517288366292,0.12416964741951896
external,BULL,00-04,2020-02-02 00:00:00+00:00,2020-02-02 04:00:00+00:00,2020-02-02 00:45:00+00:00,REBREAK_LOW,9421.4,9354.52,66.8799999999992,9357.864,9351.176000000001,9349.504,9347.832,True,,2020-02-02 00:45:00+00:00,9367.98,True,2020-02-02 00:55:00+00:00,True,True,True,False,0,2020-02-02 01:05:00+00:00,9347.832,CEILING_STOP,T10,0.002150730466973588,0.675365233486794,20.0,0.10000000000000273,0.4264354066985762
external,SIDEWAYS,04-08,2020-02-04 04:00:00+00:00,2020-02-04 08:00:00+00:00,2020-02-04 05:15:00+00:00,REBREAK_LOW,9368.0,9271.18,96.81999999999972,9276.021,9266.339,9263.9185,9261.498,True,,2020-02-04 05:15:00+00:00,9279.39,True,2020-02-04 05:30:00+00:00,True,True,True,False,0,2020-02-04 05:50:00+00:00,9261.498,CEILING_STOP,T10,0.0019281439836023517,0.5640719918011758,35.0,0.1000000000000075,0.4625077463334103
external,BULL,04-08,2020-02-07 04:00:00+00:00,2020-02-07 08:00:00+00:00,2020-02-07 04:30:00+00:00,REBREAK_LOW,9867.3,9762.0,105.29999999999929,9767.265,9756.735,9754.1025,9751.47,True,,2020-02-07 04:30:00+00:00,9780.12,True,2020-02-07 06:00:00+00:00,True,True,True,False,0,2020-02-07 06:30:00+00:00,9769.99,CEILING_OPEN_EXIT,T10,0.001035774612172552,0.11788730608627596,120.0,-0.07587844254510766,0.17844254510922128
external,SIDEWAYS,00-04,2020-02-11 00:00:00+00:00,2020-02-11 04:00:00+00:00,2020-02-11 00:40:00+00:00,REBREAK_LOW,9908.0,9825.88,82.1200000000008,9829.985999999999,9821.774,9819.721,9817.668,True,,2020-02-11 00:40:00+00:00,9834.2,True,2020-02-11 00:45:00+00:00,True,True,True,False,0,2020-02-11 00:50:00+00:00,9827.74,CEILING_OPEN_EXIT,T10,0.0006568912570418484,-0.07155437147907584,10.0,-0.022649780808579687,0.20847540185093538
external,SIDEWAYS,08-12,2020-02-16 08:00:00+00:00,2020-02-16 12:00:00+00:00,2020-02-16 11:15:00+00:00,REBREAK_LOW,10042.06,9942.0,100.05999999999948,9947.003,9936.997,9934.4955,9931.994,True,,2020-02-16 11:15:00+00:00,9947.003,True,2020-02-16 12:00:00+00:00,True,True,False,True,0,2020-02-16 12:05:00+00:00,9945.19,CEILING_OPEN_EXIT,T5,0.0001822659548810935,-0.3088670225594533,50.0,-0.03188087147711899,0.11293224065559995
external,BEAR,12-16,2020-02-18 12:00:00+00:00,2020-02-18 16:00:00+00:00,2020-02-18 13:50:00+00:00,REBREAK_LOW,9802.59,9645.23,157.36000000000058,9653.098,9637.362,9633.428,9629.493999999999,True,,2020-02-18 13:50:00+00:00,9654.01,True,2020-02-18 14:00:00+00:00,True,False,False,False,0,2020-02-18 14:05:00+00:00,9663.7,CEILING_OPEN_EXIT,L,-0.0010037279845370483,-0.9018639922685242,15.0,-0.11737417386884276,0.06558210472801011
external,BULL,20-00,2020-02-23 20:00:00+00:00,2020-02-24 00:00:00+00:00,2020-02-23 21:00:00+00:00,HIGH_BREAK,9905.0,9860.0,45.0,9862.25,9857.75,9856.625,9855.5,True,,2020-02-23 21:00:00+00:00,9875.86,False,,False,False,False,False,0,2020-02-23 22:55:00+00:00,9910.25,FULL_SL_HIGH_BREAK,HIGH,-0.003482228383148345,-2.1411141915741725,115.0,-1.1166666666666667,-0.022222222222222223
external,SIDEWAYS,00-04,2020-03-08 00:00:00+00:00,2020-03-08 04:00:00+00:00,2020-03-08 00:15:00+00:00,REBREAK_LOW,8932.31,8865.0,67.30999999999949,8868.3655,8861.6345,8859.95175,8858.269,True,,2020-03-08 00:15:00+00:00,8868.3655,True,2020-03-08 00:20:00+00:00,True,True,True,False,2,2020-03-08 01:30:00+00:00,8798.0,CEILING_STOP,STRUCTURAL,0.007934438426111315,3.5672192130556577,75.0,0.9953944436190835,2.154063289258667
external,SIDEWAYS,12-16,2020-03-09 12:00:00+00:00,2020-03-09 16:00:00+00:00,2020-03-09 13:55:00+00:00,REBREAK_LOW,7996.28,7762.06,234.21999999999932,7773.771000000001,7750.349,7744.4935000000005,7738.638000000001,True,,2020-03-09 13:55:00+00:00,7814.35,True,2020-03-09 14:40:00+00:00,True,False,False,False,0,2020-03-09 14:50:00+00:00,7762.06,CEILING_STOP,L,0.00669153544440676,2.9457677222033802,55.0,0.0,0.08432243190163119
external,SIDEWAYS,12-16,2020-03-11 12:00:00+00:00,2020-03-11 16:00:00+00:00,2020-03-11 15:55:00+00:00,NO_BOUNDARY_BY_BLOCK_END,7930.0,7758.18,171.8199999999997,7766.771000000001,7749.589,7745.293500000001,7740.9980000000005,True,,2020-03-11 15:55:00+00:00,7773.41,True,2020-03-11 17:05:00+00:00,True,True,True,True,4,2020-03-11 18:35:00+00:00,7689.16,CEILING_STOP,STRUCTURAL,0.010838229297052387,5.019114648526194,160.0,0.40169945291584536,0.9596670934699139
