partition,date_utc,signal_ts,window_status,entry_name,entry_fraction,planned_entry_px,H,L,eligible_start,h2_bar_start,opposite_break_bar_start,filled,entry_ts,entry_px,target_hit,terminal,minutes_to_h2,reward_range_frac,min_post_entry_frac,adverse_excursion_range_frac,window_id
august,2026-08-13,2026-08-13 14:40:00+00:00,OPPOSITE_BREAK_BEFORE_H2,F95,0.95,1895.102,1896.19,1874.43,2026-08-13 14:45:00+00:00,,2026-08-13 16:35:00+00:00,True,2026-08-13 14:45:00+00:00,1895.102,False,OPPOSITE_BREAK_BEFORE_H2,,0.050000000000000044,0.11810661764705595,0.831893382352944,august|2026-08-13|2026-08-13T14:40:00+00:00
august,2026-08-13,2026-08-13 14:40:00+00:00,OPPOSITE_BREAK_BEFORE_H2,F90,0.9,1894.0140000000001,1896.19,1874.43,2026-08-13 14:45:00+00:00,,2026-08-13 16:35:00+00:00,True,2026-08-13 14:45:00+00:00,1894.0140000000001,False,OPPOSITE_BREAK_BEFORE_H2,,0.09999999999999998,0.11810661764705595,0.781893382352944,august|2026-08-13|2026-08-13T14:40:00+00:00
august,2026-08-13,2026-08-13 14:40:00+00:00,OPPOSITE_BREAK_BEFORE_H2,F85,0.85,1892.9260000000002,1896.19,1874.43,2026-08-13 14:45:00+00:00,,2026-08-13 16:35:00+00:00,True,2026-08-13 14:55:00+00:00,1892.9260000000002,False,OPPOSITE_BREAK_BEFORE_H2,,0.15000000000000002,0.11810661764705595,0.731893382352944,august|2026-08-13|2026-08-13T14:40:00+00:00
august,2026-08-13,2026-08-13 14:40:00+00:00,OPPOSITE_BREAK_BEFORE_H2,F80,0.8,1891.838,1896.19,1874.43,2026-08-13 14:45:00+00:00,,2026-08-13 16:35:00+00:00,True,2026-08-13 15:05:00+00:00,1891.838,False,OPPOSITE_BREAK_BEFORE_H2,,0.19999999999999996,0.11810661764705595,0.681893382352944,august|2026-08-13|2026-08-13T14:40:00+00:00
august,2026-08-13,2026-08-13 14:40:00+00:00,OPPOSITE_BREAK_BEFORE_H2,F75,0.75,1890.75,1896.19,1874.43,2026-08-13 14:45:00+00:00,,2026-08-13 16:35:00+00:00,True,2026-08-13 15:05:00+00:00,1890.75,False,OPPOSITE_BREAK_BEFORE_H2,,0.25,0.11810661764705595,0.631893382352944,august|2026-08-13|2026-08-13T14:40:00+00:00
august,2026-08-17,2026-08-17 14:55:00+00:00,NO_WINDOW_HIGH_BREAK_DURING_K1,F95,0.95,1907.8425,1908.75,1890.6,,,,False,,,False,NO_CLEAN_WINDOW,,0.050000000000000044,,,august|2026-08-17|2026-08-17T14:55:00+00:00
august,2026-08-17,2026-08-17 14:55:00+00:00,NO_WINDOW_HIGH_BREAK_DURING_K1,F90,0.9,1906.935,1908.75,1890.6,,,,False,,,False,NO_CLEAN_WINDOW,,0.09999999999999998,,,august|2026-08-17|2026-08-17T14:55:00+00:00
august,2026-08-17,2026-08-17 14:55:00+00:00,NO_WINDOW_HIGH_BREAK_DURING_K1,F85,0.85,1906.0275,1908.75,1890.6,,,,False,,,False,NO_CLEAN_WINDOW,,0.15000000000000002,,,august|2026-08-17|2026-08-17T14:55:00+00:00
august,2026-08-17,2026-08-17 14:55:00+00:00,NO_WINDOW_HIGH_BREAK_DURING_K1,F80,0.8,1905.12,1908.75,1890.6,,,,False,,,False,NO_CLEAN_WINDOW,,0.19999999999999996,,,august|2026-08-17|2026-08-17T14:55:00+00:00
august,2026-08-17,2026-08-17 14:55:00+00:00,NO_WINDOW_HIGH_BREAK_DURING_K1,F75,0.75,1904.2125,1908.75,1890.6,,,,False,,,False,NO_CLEAN_WINDOW,,0.25,,,august|2026-08-17|2026-08-17T14:55:00+00:00
august,2026-08-20,2026-08-20 15:35:00+00:00,H2_ARRIVAL,F95,0.95,2315.2830000000004,2318.78,2248.84,2026-08-20 15:40:00+00:00,2026-08-20 15:45:00+00:00,,False,,,False,H2_ARRIVAL,,0.050000000000000044,,,august|2026-08-20|2026-08-20T15:35:00+00:00
august,2026-08-20,2026-08-20 15:35:00+00:00,H2_ARRIVAL,F90,0.9,2311.786,2318.78,2248.84,2026-08-20 15:40:00+00:00,2026-08-20 15:45:00+00:00,,False,,,False,H2_ARRIVAL,,0.09999999999999998,,,august|2026-08-20|2026-08-20T15:35:00+00:00
