partition,date_utc,signal_ts,cohort,entry_ts,entry_px,H,L,range,h2_bar_start,session_end,fixed_exit_ts,fixed_exit_px,fixed_exit_reason,fixed_net_pnl_usd,hybrid_exit_ts,hybrid_exit_px,hybrid_exit_reason,hybrid_net_pnl_usd,e10_reached,e10_activation_bar_start,e10_activation_ts,final_floor,final_floor_extension,floor_updates,realized_exit_extension,hybrid_hold_minutes
august,2026-08-13,2026-08-13 14:40:00+00:00,BLIND_F75,2026-08-13 15:05:00+00:00,1890.75,1896.19,1874.43,21.75999999999999,,2026-08-13 20:00:00+00:00,2026-08-13 16:40:00+00:00,1869.17,CLOSE_INVALIDATION_D60,-6.106730133544891,2026-08-13 16:40:00+00:00,1869.17,PRE_E10_CLOSE_INVALIDATION_F15,-6.106730133544891,False,,,,,0,-1.2417279411764703,95.0
august,2026-08-20,2026-08-20 15:35:00+00:00,BLIND_F75,2026-08-20 15:40:00+00:00,2301.295,2318.78,2248.84,69.94000000000005,2026-08-20 15:45:00+00:00,2026-08-20 20:00:00+00:00,2026-08-20 15:50:00+00:00,2325.7740000000003,TP_E10,4.918527177089471,2026-08-20 16:00:00+00:00,2325.7740000000003,ACTIVE_FLOOR_TOUCH,4.918527177089471,True,2026-08-20 15:50:00+00:00,2026-08-20 15:55:00+00:00,2325.7740000000003,0.10000000000000195,0,0.10000000000000195,20.0
development,2022-01-03,2022-01-03 14:40:00+00:00,BLIND_F75,2022-01-03 14:45:00+00:00,3831.005,3844.67,3790.01,54.659999999999854,,2022-01-03 20:00:00+00:00,2022-01-03 15:10:00+00:00,3788.98,CLOSE_INVALIDATION_D60,-5.884853191264461,2022-01-03 15:10:00+00:00,3788.98,PRE_E10_CLOSE_INVALIDATION_F15,-5.884853191264461,False,,,,,0,-1.0188437614343249,25.0
development,2022-01-25,2022-01-25 14:40:00+00:00,BLIND_F75,2022-01-25 15:45:00+00:00,2438.4325,2460.7,2371.63,89.06999999999971,2022-01-25 17:20:00+00:00,2022-01-25 20:00:00+00:00,2022-01-25 17:20:00+00:00,2469.607,TP_E10,5.992323757167806,2022-01-25 17:25:00+00:00,2467.47,ACTIVE_FLOOR_GAP_OPEN,5.554132419084823,True,2022-01-25 17:20:00+00:00,2022-01-25 17:25:00+00:00,2469.607,0.10000000000000205,0,0.07600763444481873,100.0
development,2022-02-09,2022-02-09 14:45:00+00:00,BLIND_F75,2022-02-09 15:15:00+00:00,3172.815,3208.26,3066.48,141.7800000000002,2022-02-09 16:45:00+00:00,2022-02-09 20:00:00+00:00,2022-02-09 19:00:00+00:00,3222.438,TP_E10,7.420027325892042,2022-02-09 19:05:00+00:00,3214.11,ACTIVE_FLOOR_GAP_OPEN,6.107628084209127,True,2022-02-09 19:00:00+00:00,2022-02-09 19:05:00+00:00,3222.438,0.09999999999999903,0,0.04126110876005008,230.0
development,2022-02-22,2022-02-22 14:00:00+00:00,BLIND_F75,2022-02-22 14:10:00+00:00,2595.1325,2622.62,2512.67,109.94999999999982,2022-02-22 14:45:00+00:00,2022-02-22 20:00:00+00:00,2022-02-22 14:50:00+00:00,2633.615,TP_E10,7.014361309104555,2022-02-22 15:05:00+00:00,2633.615,ACTIVE_FLOOR_TOUCH,7.014361309104555,True,2022-02-22 14:50:00+00:00,2022-02-22 14:55:00+00:00,2633.615,0.09999999999999917,0,0.09999999999999917,55.0
development,2022-03-03,2022-03-03 14:05:00+00:00,BLIND_F75,2022-03-03 14:10:00+00:00,2920.1975,2934.48,2877.35,57.13000000000011,,2022-03-03 20:00:00+00:00,2022-03-03 14:50:00+00:00,2883.28,CLOSE_INVALIDATION_D60,-6.72106218843076,2022-03-03 14:50:00+00:00,2883.28,PRE_E10_CLOSE_INVALIDATION_F15,-6.72106218843076,False,,,,,0,-0.8962016453702034,40.0
development,2022-03-21,2022-03-21 13:45:00+00:00,BLIND_F75,2022-03-21 13:50:00+00:00,2922.125,2938.5,2873.0,65.5,2022-03-21 15:15:00+00:00,2022-03-21 20:00:00+00:00,2022-03-21 15:15:00+00:00,2945.05,TP_E10,3.5226590238268245,2022-03-21 15:20:00+00:00,2938.43,ACTIVE_FLOOR_GAP_OPEN,2.3899217179278014,True,2022-03-21 15:15:00+00:00,2022-03-21 15:20:00+00:00,2945.05,0.10000000000000278,0,-0.0010687022900788352,90.0
development,2022-03-22,2022-03-22 14:40:00+00:00,BLIND_F75,2022-03-22 15:15:00+00:00,3017.1175000000003,3027.92,2984.71,43.21000000000004,,2022-03-22 20:00:00+00:00,2022-03-22 20:00:00+00:00,2982.71,CLOSE_INVALIDATION_D60,-6.102048395529902,2022-03-22 20:00:00+00:00,2982.71,PRE_E10_CLOSE_INVALIDATION_F15,-6.102048395529902,False,,,,,0,-1.046285582041194,285.0
development,2022-04-18,2022-04-18 13:35:00+00:00,BLIND_F75,2022-04-18 13:40:00+00:00,2932.0,2947.0,2887.0,60.0,2022-04-18 17:10:00+00:00,2022-04-18 20:00:00+00:00,2022-04-18 17:10:00+00:00,2953.0,TP_E10,3.181173260572945,2022-04-18 17:25:00+00:00,2953.0,ACTIVE_FLOOR_TOUCH,3.1811732605729452,True,2022-04-18 17:10:00+00:00,2022-04-18 17:15:00+00:00,2953.0,0.1,0,0.1,225.0
development,2022-05-19,2022-05-19 13:40:00+00:00,BLIND_F75,2022-05-19 13:45:00+00:00,1967.59,1985.99,1912.39,73.59999999999991,2022-05-19 14:20:00+00:00,2022-05-19 20:00:00+00:00,2022-05-19 15:15:00+00:00,1993.35,TP_E10,6.146079213657352,2022-05-19 15:25:00+00:00,1993.35,ACTIVE_FLOOR_TOUCH,6.146079213657352,True,2022-05-19 15:15:00+00:00,2022-05-19 15:20:00+00:00,1993.35,0.09999999999999877,0,0.09999999999999877,100.0
