partition,timeframe,onset_ts,entry_reference_ts,reversal_ts,censored,compressed_path,direct_strong_to_reversal,reversal_preceded_by_transition,final_pre_reversal_state,bars_to_reversal,bars_to_first_weakening,bars_first_nonstrong_to_reversal,strong_bars,healthy_bars,weakening_bars,entry_px,return_exit_first_weakening,return_exit_reversal,mfe_to_reversal,mae_to_reversal
external,5m,2020-01-01 06:05:00+00:00,2020-01-01 06:10:00+00:00,2020-01-01 06:50:00+00:00,False,STRONG>HEALTHY>REVERSAL,False,True,HEALTHY,9.0,,2.0,7,2,0,7223.92,,-0.0006423105460747758,0.0008416483017530396,-0.0007419794239138522
external,5m,2020-01-01 07:20:00+00:00,2020-01-01 07:25:00+00:00,2020-01-01 07:30:00+00:00,False,STRONG>REVERSAL,True,False,STRONG,2.0,,,2,0,0,7226.2,,-0.0012731449447842547,0.0001383853200851437,-0.0012731449447842547
external,5m,2020-01-01 11:25:00+00:00,2020-01-01 11:30:00+00:00,2020-01-01 11:50:00+00:00,False,STRONG>REVERSAL,True,False,STRONG,5.0,,,5,0,0,7217.75,,-0.003837761075127233,0.0016099199889161309,-0.004536039624536747
external,5m,2020-01-01 12:15:00+00:00,2020-01-01 12:20:00+00:00,2020-01-01 13:15:00+00:00,False,STRONG>REVERSAL,True,False,STRONG,12.0,,,12,0,0,7209.54,,0.00012622164520892376,0.0020417391400837648,-0.0011859286445460304
external,5m,2020-01-01 13:20:00+00:00,2020-01-01 13:25:00+00:00,2020-01-01 13:55:00+00:00,False,STRONG>REVERSAL,True,False,STRONG,7.0,,,7,0,0,7218.0,,-0.00034774175671936636,0.0012330285397617047,-0.000716264893322216
external,5m,2020-01-01 14:25:00+00:00,2020-01-01 14:30:00+00:00,2020-01-01 14:45:00+00:00,False,STRONG>REVERSAL,True,False,STRONG,4.0,,,4,0,0,7226.74,,-0.0013463885514076734,0.00023938871469031398,-0.0015539510207921436
external,5m,2020-01-01 15:30:00+00:00,2020-01-01 15:35:00+00:00,2020-01-01 15:45:00+00:00,False,STRONG>REVERSAL,True,False,STRONG,3.0,,,3,0,0,7227.31,,-0.0006406256269622101,0.004582617875807271,-0.00079282609989062
external,5m,2020-01-01 16:50:00+00:00,2020-01-01 16:55:00+00:00,2020-01-01 18:00:00+00:00,False,STRONG>HEALTHY>REVERSAL,False,True,HEALTHY,14.0,,4.0,10,4,0,7233.0,,-0.0005239872805198331,0.0020738282870178537,-0.0015373980367758833
external,5m,2020-01-01 18:10:00+00:00,2020-01-01 18:15:00+00:00,2020-01-01 18:25:00+00:00,False,STRONG>REVERSAL,True,False,STRONG,3.0,,,3,0,0,7239.69,,-0.000924072715820623,0.0003121680624447176,-0.0009226914412080456
external,5m,2020-01-01 19:00:00+00:00,2020-01-01 19:05:00+00:00,2020-01-01 19:05:00+00:00,False,STRONG>REVERSAL,True,False,STRONG,1.0,,,1,0,0,7235.49,,-0.0007186797300527958,1.3820764039884637e-06,-0.0008983496625660781
external,5m,2020-01-01 20:30:00+00:00,2020-01-01 20:35:00+00:00,2020-01-01 20:45:00+00:00,False,STRONG>REVERSAL,True,False,STRONG,3.0,,,3,0,0,7232.01,,-0.0003360061725579122,0.0003830193818867844,-0.0007231737787973813
external,5m,2020-01-01 20:55:00+00:00,2020-01-01 21:00:00+00:00,2020-01-01 21:10:00+00:00,False,STRONG>REVERSAL,True,False,STRONG,3.0,,,3,0,0,7233.32,,-0.0005682038123572264,0.0007562225921153853,-0.0011502325349908027
external,5m,2020-01-01 21:50:00+00:00,2020-01-01 21:55:00+00:00,2020-01-01 21:55:00+00:00,False,STRONG>REVERSAL,True,False,STRONG,1.0,,,1,0,0,7230.52,,-0.00011202513788777235,0.0003291602816946071,-0.0001645801408475256
external,5m,2020-01-02 09:10:00+00:00,2020-01-02 09:15:00+00:00,2020-01-02 09:30:00+00:00,False,STRONG>REVERSAL,True,False,STRONG,4.0,,,4,0,0,7144.44,,-0.0009699850513125163,0.001058165510522846,-0.0015956464047566232
external,5m,2020-01-02 09:35:00+00:00,2020-01-02 09:40:00+00:00,2020-01-02 10:45:00+00:00,False,STRONG>REVERSAL,True,False,STRONG,14.0,,,14,0,0,7143.15,,0.0016099339927062584,0.00445881718849539,-0.00011339535079057939
external,5m,2020-01-02 12:10:00+00:00,2020-01-02 12:15:00+00:00,2020-01-02 12:20:00+00:00,False,STRONG>REVERSAL,True,False,STRONG,2.0,,,2,0,0,7157.7,,-0.0012629755368344098,0.0,-0.0017100465233245155
external,5m,2020-01-02 12:55:00+00:00,2020-01-02 13:00:00+00:00,2020-01-02 13:10:00+00:00,False,STRONG>REVERSAL,True,False,STRONG,3.0,,,3,0,0,7155.1,,-0.0010496009839136011,0.0005450657572918516,-0.001228494360665855
external,5m,2020-01-03 03:40:00+00:00,2020-01-03 03:45:00+00:00,2020-01-03 03:45:00+00:00,False,STRONG>REVERSAL,True,False,STRONG,1.0,,,1,0,0,6946.45,,-0.0014669363487823661,0.0,-0.0015417947296820778
external,5m,2020-01-03 04:00:00+00:00,2020-01-03 04:05:00+00:00,2020-01-03 07:45:00+00:00,False,STRONG>HEALTHY>REVERSAL,False,True,HEALTHY,45.0,,19.0,26,19,0,6954.99,,0.03419415412531146,0.049606110145377746,-1.437816589233698e-06
external,5m,2020-01-03 08:40:00+00:00,2020-01-03 08:45:00+00:00,2020-01-03 10:30:00+00:00,False,STRONG>HEALTHY>REVERSAL,False,True,HEALTHY,22.0,,1.0,21,1,0,7285.0,,0.0019698009608786204,0.011438572409059766,-0.007765271105010241
external,5m,2020-01-03 13:50:00+00:00,2020-01-03 13:55:00+00:00,2020-01-03 14:00:00+00:00,False,STRONG>REVERSAL,True,False,STRONG,2.0,,,2,0,0,7349.99,,-0.009250352721568267,0.003946944145502229,-0.0112911718247235
