symbol,clock,side,partition,sessions,k1_opp0,k1_rate,causal_leave,leave_rate,h2,opposite,ambiguous,no_h2,h2_rate,resolved_h2_wr,median_min_to_h2,m1_replication
BTCUSDT,ALT_0330,LONG,external,523,117,0.2237093690248566,76,0.6495726495726496,63,7,0,6,0.8289473684210527,0.9,25.0,
BTCUSDT,ALT_0330,LONG,development,782,214,0.27365728900255754,159,0.7429906542056075,126,15,0,18,0.7924528301886793,0.8936170212765957,25.0,
BTCUSDT,ALT_0330,LONG,reference_validation,411,96,0.23357664233576642,71,0.7395833333333334,60,9,0,2,0.8450704225352113,0.8695652173913043,20.0,
BTCUSDT,ALT_0330,LONG,august,17,4,0.23529411764705882,3,0.75,2,1,0,0,0.6666666666666666,0.6666666666666666,5.0,
BTCUSDT,ALT_0330,LONG,POOLED_MAJOR,1716,427,0.24883449883449885,306,0.7166276346604216,249,31,0,26,0.8137254901960784,0.8892857142857142,25.0,
BTCUSDT,RAW_0530,LONG,external,523,120,0.2294455066921606,83,0.6916666666666667,62,13,0,8,0.7469879518072289,0.8266666666666667,20.0,
BTCUSDT,RAW_0530,LONG,development,782,221,0.2826086956521739,165,0.746606334841629,123,33,0,9,0.7454545454545455,0.7884615384615384,25.0,
BTCUSDT,RAW_0530,LONG,reference_validation,411,103,0.25060827250608275,67,0.6504854368932039,54,10,1,2,0.8059701492537313,0.84375,25.0,
BTCUSDT,RAW_0530,LONG,august,17,5,0.29411764705882354,4,0.8,4,0,0,0,1.0,1.0,12.5,
BTCUSDT,RAW_0530,LONG,POOLED_MAJOR,1716,444,0.25874125874125875,315,0.7094594594594594,239,56,1,19,0.7587301587301587,0.8101694915254237,25.0,
BTCUSDT,LONDON,LONG,external,523,101,0.1931166347992352,63,0.6237623762376238,54,2,0,7,0.8571428571428571,0.9642857142857143,25.0,
BTCUSDT,LONDON,LONG,development,782,164,0.20971867007672634,119,0.725609756097561,83,27,0,9,0.6974789915966386,0.7545454545454545,15.0,
BTCUSDT,LONDON,LONG,reference_validation,411,82,0.19951338199513383,53,0.6463414634146342,41,9,0,3,0.7735849056603774,0.82,10.0,
BTCUSDT,LONDON,LONG,august,17,5,0.29411764705882354,4,0.8,4,0,0,0,1.0,1.0,40.0,
BTCUSDT,LONDON,LONG,POOLED_MAJOR,1716,347,0.20221445221445222,235,0.6772334293948127,178,38,0,19,0.7574468085106383,0.8240740740740741,20.0,
BTCUSDT,RAW_2330,LONG,external,522,91,0.1743295019157088,70,0.7692307692307693,57,3,0,10,0.8142857142857143,0.95,15.0,
