side,partition,date_utc,signal_ts,entry_start,entry_px,H,L,R,h2_success,terminal_type,terminal_bar_start,minutes_to_terminal,preterminal_completed_closes,fill_close_progress_r,fill_close_wrong,next_bar_eligible,next_bar_close_progress_r,next_bar_close_wrong,wrong_close_rate,ever_wrong_close,max_wrong_close_streak,wrong_close_episodes,max_adverse_close_r,max_favorable_close_r,max_adverse_wick_r_post_fillbar,max_favorable_wick_r_post_fillbar,stop_distance_consumed
LONG,august,2026-08-04,2026-08-04 13:40:00+00:00,2026-08-04 14:30:00+00:00,63943.475000000006,64034.3,63428.8,605.5,True,H2_SUCCESS,2026-08-04 14:40:00+00:00,10.0,2,-0.043559042113967425,True,True,0.03885218827414398,False,0.5,True,1,1,0.043559042113967425,0.03885218827414398,0.10928984310487681,0.14289843104871044,0.21857968620975363
LONG,august,2026-08-17,2026-08-17 13:45:00+00:00,2026-08-17 13:50:00+00:00,63678.3,63753.0,63255.0,498.0,True,H2_SUCCESS,2026-08-17 14:50:00+00:00,60.0,12,-0.11485943775101279,True,True,-0.0628514056224958,True,0.9166666666666666,True,11,1,0.21847389558233515,0.0975903614457802,0.23493975903614459,0.0977911646586287,0.46987951807228917
LONG,august,2026-08-20,2026-08-20 15:05:00+00:00,2026-08-20 15:15:00+00:00,72080.145,72487.5,69771.8,2715.699999999997,True,H2_SUCCESS,2026-08-20 15:30:00+00:00,15.0,3,0.04741134882350416,False,True,-0.012094487609088338,True,0.3333333333333333,True,1,1,0.012094487609088338,0.11155687299775456,0.05245240637773213,0.11560739404205254,0.10490481275546426
LONG,development,2022-01-28,2022-01-28 13:40:00+00:00,2022-01-28 13:50:00+00:00,36774.501,36884.88,36149.02,735.8600000000006,True,H2_SUCCESS,2022-01-28 13:55:00+00:00,5.0,1,0.023440600114156798,False,False,,False,0.0,False,0,0,0.0,0.023440600114156798,0.0,0.0,0.0
LONG,development,2022-02-01,2022-02-01 17:00:00+00:00,2022-02-01 17:10:00+00:00,38930.35,39100.0,37969.0,1131.0,False,NO_H2_SESSION_END,2022-02-01 20:00:00+00:00,170.0,34,0.0005216622458035221,False,True,-0.002475685234302064,True,0.9705882352941176,True,33,1,0.5077895667550819,0.0005216622458035221,0.537886825817859,0.08198938992042723,1.075773651635718
LONG,development,2022-02-03,2022-02-03 16:15:00+00:00,2022-02-03 16:20:00+00:00,36952.5805,37084.63,36204.3,880.3299999999945,False,NO_H2_SESSION_END,2022-02-03 20:00:00+00:00,220.0,44,-0.12788442970249464,True,True,-0.1026666136562424,True,1.0,True,44,1,0.5390143468926422,0.0,0.5915855417854654,0.0,1.1831710835709308
LONG,development,2022-02-22,2022-02-22 14:00:00+00:00,2022-02-22 14:10:00+00:00,37696.865,37868.0,36727.1,1140.9000000000015,True,H2_SUCCESS,2022-02-22 14:45:00+00:00,35.0,7,-0.10576299412744387,True,True,-0.12872732053641667,True,0.8571428571428571,True,6,1,0.19937330177929374,0.008795687615043808,0.27378823735647084,0.1495617494960135,0.5475764747129417
LONG,development,2022-02-24,2022-02-24 14:35:00+00:00,2022-02-24 14:50:00+00:00,35703.98,35870.0,34763.2,1106.800000000003,True,H2_SUCCESS,2022-02-24 15:20:00+00:00,30.0,6,-0.1300867365377691,True,True,-0.07623780267438059,True,0.6666666666666666,True,4,1,0.20787856884712788,0.09172388868810673,0.30654138055656416,0.12434044091072911,0.6130827611131283
LONG,development,2022-03-16,2022-03-16 14:05:00+00:00,2022-03-16 14:10:00+00:00,40576.7,40760.0,39538.0,1222.0,True,H2_SUCCESS,2022-03-16 14:15:00+00:00,5.0,1,0.08052373158756257,False,False,,False,0.0,False,0,0,0.0,0.08052373158756257,0.0,0.0,0.0
LONG,development,2022-03-18,2022-03-18 14:15:00+00:00,2022-03-18 14:20:00+00:00,40650.13,40750.0,40084.2,665.8000000000029,True,H2_SUCCESS,2022-03-18 14:25:00+00:00,5.0,1,-0.07619405226794188,True,False,,False,1.0,True,1,1,0.07619405226794188,0.0,0.0,0.0,0.0
LONG,development,2022-04-18,2022-04-18 13:35:00+00:00,2022-04-18 14:00:00+00:00,39382.65,39489.0,38780.0,709.0,True,H2_SUCCESS,2022-04-18 14:20:00+00:00,20.0,4,0.02813822284907911,False,True,-0.03194640338505142,True,0.25,True,1,1,0.03194640338505142,0.07820874471085626,0.0460507757404816,0.10782792665725964,0.0921015514809632
LONG,development,2022-05-10,2022-05-10 13:35:00+00:00,2022-05-10 14:05:00+00:00,32171.27,32337.2,31231.0,1106.2000000000007,False,OPPOSITE_BREAK,2022-05-10 14:45:00+00:00,40.0,8,-0.18972156933646614,True,True,-0.35415838003977596,True,1.0,True,8,1,0.8120321822455251,0.0,0.8554239739649248,0.0,1.7108479479298495
LONG,development,2022-05-19,2022-05-19 13:40:00+00:00,2022-05-19 13:55:00+00:00,29602.44,29737.2,28838.8,898.4000000000015,True,H2_SUCCESS,2022-05-19 14:00:00+00:00,5.0,1,-0.10556544968833481,True,False,,False,1.0,True,1,1,0.10556544968833481,0.0,0.0,0.0,0.0
LONG,development,2022-05-25,2022-05-25 18:05:00+00:00,2022-05-25 18:10:00+00:00,29856.32,29949.2,29330.0,619.2000000000007,True,H2_SUCCESS,2022-05-25 18:30:00+00:00,20.0,4,-0.06059431524547867,True,True,-0.09660852713178236,True,0.75,True,3,1,0.09660852713178236,0.10138888888888689,0.13811369509043983,0.12690568475452463,0.27622739018087966
LONG,development,2022-06-01,2022-06-01 13:35:00+00:00,2022-06-01 14:00:00+00:00,31802.35,31868.5,31427.5,441.0,False,OPPOSITE_BREAK,2022-06-01 14:15:00+00:00,15.0,3,-0.141156462585034,True,True,-0.5277777777777778,True,1.0,True,3,1,0.624603174603168,0.0,0.6248299319727875,0.0,1.249659863945575
LONG,development,2022-07-06,2022-07-06 13:35:00+00:00,2022-07-06 14:05:00+00:00,20243.25,20295.0,19950.0,345.0,True,H2_SUCCESS,2022-07-06 16:45:00+00:00,160.0,32,0.031159420289855074,False,True,-0.2610144927536211,True,0.96875,True,31,1,0.4668115942028964,0.031159420289855074,0.5581159420289834,0.04855072463768116,1.1162318840579668
LONG,development,2022-07-08,2022-07-08 14:50:00+00:00,2022-07-08 14:55:00+00:00,21718.265,21814.1,21175.2,638.8999999999978,True,H2_SUCCESS,2022-07-08 15:00:00+00:00,5.0,1,0.05734074190014425,False,False,,False,0.0,False,0,0,0.0,0.05734074190014425,0.0,0.0,0.0
LONG,development,2022-07-12,2022-07-12 13:35:00+00:00,2022-07-12 14:45:00+00:00,19898.35,19959.4,19552.4,407.0,True,H2_SUCCESS,2022-07-12 15:10:00+00:00,25.0,5,-0.0573710073710038,True,True,-0.06154791154790976,True,0.4,True,2,1,0.06154791154790976,0.0733415233415287,0.15786240786240785,0.1200245700245754,0.3157248157248157
LONG,development,2022-07-19,2022-07-19 13:35:00+00:00,2022-07-19 13:40:00+00:00,22277.39,22381.7,21686.3,695.4000000000015,True,H2_SUCCESS,2022-07-19 14:45:00+00:00,65.0,13,-0.11991659476560144,True,True,-0.27551049755536344,True,0.8461538461538461,True,8,2,0.27551049755536344,0.08126258268622652,0.35834052343974426,0.10441472533793562,0.7166810468794885
LONG,development,2022-07-20,2022-07-20 13:40:00+00:00,2022-07-20 13:55:00+00:00,23874.12,23975.7,23298.5,677.2000000000007,True,H2_SUCCESS,2022-07-20 14:25:00+00:00,30.0,6,-0.15316007088009068,True,True,-0.15936207914943612,True,0.8333333333333334,True,5,1,0.15936207914943612,0.059627879503840776,0.29108092144122677,0.07528056704075532,0.5821618428824535
LONG,development,2022-07-22,2022-07-22 13:55:00+00:00,2022-07-22 14:45:00+00:00,23595.5,23690.0,23060.0,630.0,False,OPPOSITE_BREAK,2022-07-22 17:15:00+00:00,150.0,30,0.0066666666666678216,False,True,0.08380952380952265,False,0.9,True,27,1,0.8041269841269818,0.09571428571428456,0.8896825396825396,0.11825396825396825,1.7793650793650793
