role,partition,ref_min,hour,dev_block,execution_start,entry_ts,exit_ts,H,L,R,pnl,pnl_5bps,loss_class,mfe_R,mae_R,hold_min,entry_to_break_min,break_to_fail_min,latent_class,latent_target_recovered,latent_recovery_min,latent_target_visit,latent_target_visit_entry_eligible,post_exit_reclaim,reclaim_min,target_after_reclaim,reclaim_to_target_min,visit_count
CENTRAL,development,360,15,0.0,2022-03-10 15:00:00+00:00,2022-03-10 22:35:00+00:00,2022-03-11 02:55:00+00:00,83.94,80.56,3.3799999999999955,-15.546819156540382,-15.796819156540382,L1_NEVER_BREAK_TIME,0.008875739644970763,0.9674556213017753,260.0,,,TRUE_FAILURE_PROXY,False,,,False,False,,False,,2
CENTRAL,development,360,15,0.0,2022-03-15 15:00:00+00:00,2022-03-15 15:15:00+00:00,2022-03-15 15:25:00+00:00,80.84,78.94,1.9000000000000057,-0.5566551212271564,-0.8066551212271564,L2_BREAK_FAST_FAIL_5M,0.042105263157893716,0.13157894736842066,10.0,0.0,5.0,LATENT_RECOVERABLE,True,50.0,1.0,False,True,0.0,True,50.0,1
CENTRAL,development,360,15,0.0,2022-03-17 15:00:00+00:00,2022-03-17 19:45:00+00:00,2022-03-17 20:05:00+00:00,90.76,86.54,4.219999999999999,-1.7078007933010175,-1.9578007933010177,L2_BREAK_FAST_FAIL_5M,0.06635071090047422,0.09952606635071133,20.0,10.0,5.0,TRUE_FAILURE_PROXY,False,,,False,False,,False,,1
CENTRAL,development,360,15,0.0,2022-03-19 15:00:00+00:00,2022-03-19 15:20:00+00:00,2022-03-20 02:55:00+00:00,93.71,89.64,4.069999999999993,-16.220253975029298,-16.470253975029298,L1_NEVER_BREAK_TIME,0.21621621621621895,0.828009828009827,695.0,,,TRUE_FAILURE_PROXY,False,,,False,False,,False,,2
CENTRAL,development,360,15,0.0,2022-03-23 15:00:00+00:00,2022-03-23 15:00:00+00:00,2022-03-23 16:35:00+00:00,94.95,90.57,4.38000000000001,-0.5792522380200227,-0.8292522380200227,L5_BREAK_FAIL_LATE,0.3196347031963444,0.1666666666666672,95.0,10.0,80.0,TRUE_FAILURE_PROXY,False,,,False,True,430.0,False,,9
CENTRAL,development,360,15,0.0,2022-03-24 15:00:00+00:00,2022-03-24 15:40:00+00:00,2022-03-24 15:50:00+00:00,101.85,97.27,4.579999999999998,-3.190967108492815,-3.4409671084928153,L2_BREAK_FAST_FAIL_5M,0.07641921397380101,0.2139737991266354,10.0,0.0,5.0,LATENT_RECOVERABLE,True,225.0,5.0,True,True,30.0,True,195.0,8
CENTRAL,development,360,15,0.0,2022-03-26 15:00:00+00:00,2022-03-26 15:30:00+00:00,2022-03-26 15:50:00+00:00,101.14,99.61,1.5300000000000011,-0.44492782281985166,-0.6949278228198517,L4_BREAK_FAIL_30M,0.5424836601307175,0.39215686274509404,20.0,0.0,15.0,LATENT_RECOVERABLE,True,10.0,2.0,True,True,5.0,True,5.0,2
CENTRAL,development,360,15,0.0,2022-03-30 15:00:00+00:00,2022-03-30 15:15:00+00:00,2022-03-30 15:30:00+00:00,120.11,110.7,9.409999999999997,-0.5411705936225197,-0.7911705936225197,L3_BREAK_FAST_FAIL_10M,0.09351753453772538,0.08926673751328414,15.0,0.0,10.0,LATENT_RECOVERABLE,True,10.0,1.0,False,True,0.0,True,10.0,2
CENTRAL,development,360,15,0.0,2022-04-10 15:00:00+00:00,2022-04-10 15:05:00+00:00,2022-04-10 15:15:00+00:00,112.18,109.61,2.5700000000000074,0.0,-0.25,L2_BREAK_FAST_FAIL_5M,0.17120622568093247,0.1517509727626457,10.0,0.0,5.0,LATENT_RECOVERABLE,True,120.0,3.0,True,True,15.0,True,105.0,4
CENTRAL,development,360,15,0.0,2022-04-13 15:00:00+00:00,2022-04-13 15:20:00+00:00,2022-04-13 16:35:00+00:00,104.86,100.02,4.840000000000003,-0.6198741178713996,-0.8698741178713996,L5_BREAK_FAIL_LATE,0.22933884297520632,0.13223140495867772,75.0,0.0,70.0,LATENT_RECOVERABLE,True,555.0,10.0,True,True,105.0,True,450.0,10
CENTRAL,development,360,15,0.0,2022-04-15 15:00:00+00:00,2022-04-15 15:40:00+00:00,2022-04-15 15:55:00+00:00,102.4,99.74,2.660000000000011,-0.6835937499999889,-0.9335937499999889,L3_BREAK_FAST_FAIL_10M,0.1842105263157868,0.1654135338345903,15.0,0.0,10.0,TRUE_FAILURE_PROXY,False,,,False,True,70.0,False,,6
CENTRAL,development,360,15,0.0,2022-04-16 15:00:00+00:00,2022-04-16 15:00:00+00:00,2022-04-16 15:10:00+00:00,102.98,101.19,1.7900000000000063,-0.24276558555058614,-0.49276558555058614,L2_BREAK_FAST_FAIL_5M,0.2681564245809989,0.6871508379888266,10.0,0.0,5.0,TRUE_FAILURE_PROXY,False,,,False,False,,False,,1
CENTRAL,development,360,15,0.0,2022-04-17 15:00:00+00:00,2022-04-17 15:15:00+00:00,2022-04-17 15:30:00+00:00,104.61,101.8,2.8100000000000023,-0.2867794665902257,-0.5367794665902257,L3_BREAK_FAST_FAIL_10M,0.12811387900355842,0.12455516014234663,15.0,0.0,10.0,TRUE_FAILURE_PROXY,False,,,False,True,0.0,False,,3
CENTRAL,development,360,15,0.0,2022-04-19 15:00:00+00:00,2022-04-19 15:10:00+00:00,2022-04-19 15:20:00+00:00,107.46,101.43,6.029999999999987,-0.651405174018238,-0.901405174018238,L2_BREAK_FAST_FAIL_5M,0.1824212271973484,0.12271973466003258,10.0,0.0,5.0,TRUE_FAILURE_PROXY,False,,,False,True,335.0,False,,3
CENTRAL,development,360,15,0.0,2022-04-23 15:00:00+00:00,2022-04-23 16:35:00+00:00,2022-04-23 17:00:00+00:00,102.5,100.7,1.7999999999999972,-0.4878048780487254,-0.7378048780487254,L4_BREAK_FAIL_30M,0.2055555555555584,0.3222222222222218,25.0,0.0,20.0,TRUE_FAILURE_PROXY,False,,,False,True,70.0,False,,4
CENTRAL,development,360,15,0.0,2022-05-01 15:00:00+00:00,2022-05-01 15:25:00+00:00,2022-05-01 15:35:00+00:00,89.76,87.01,2.75,-1.336898395721986,-1.586898395721986,L2_BREAK_FAST_FAIL_5M,0.2109090909090903,0.2727272727272727,10.0,0.0,5.0,LATENT_RECOVERABLE,True,35.0,2.0,True,True,15.0,True,20.0,7
CENTRAL,development,360,15,0.0,2022-05-12 15:00:00+00:00,2022-05-12 15:00:00+00:00,2022-05-12 15:15:00+00:00,47.92,41.42,6.5,-5.321368948247141,-5.571368948247141,L3_BREAK_FAST_FAIL_10M,0.22153846153846118,0.25538461538461593,15.0,0.0,10.0,LATENT_RECOVERABLE,True,715.0,5.0,True,True,705.0,True,10.0,5
CENTRAL,development,360,15,0.0,2022-05-14 15:00:00+00:00,2022-05-14 21:40:00+00:00,2022-05-14 22:00:00+00:00,51.24,46.05,5.190000000000005,-2.4395003903200374,-2.6895003903200374,L4_BREAK_FAIL_30M,0.20423892100192567,0.14836223506743784,20.0,0.0,15.0,TRUE_FAILURE_PROXY,False,,,False,True,10.0,False,,10
CENTRAL,development,360,15,0.0,2022-05-15 15:00:00+00:00,2022-05-15 15:05:00+00:00,2022-05-15 15:20:00+00:00,54.05,50.75,3.299999999999997,-2.3126734505087843,-2.5626734505087843,L3_BREAK_FAST_FAIL_10M,0.2212121212121226,0.19393939393939427,15.0,0.0,10.0,LATENT_RECOVERABLE,True,175.0,2.0,True,True,80.0,True,95.0,2
CENTRAL,development,360,15,0.0,2022-05-16 15:00:00+00:00,2022-05-16 21:05:00+00:00,2022-05-17 02:55:00+00:00,55.53,52.13,3.3999999999999986,-5.492526562218602,-5.742526562218603,L1_NEVER_BREAK_TIME,0.07647058823529357,0.7117647058823537,350.0,,,LATENT_RECOVERABLE,True,120.0,4.0,True,True,35.0,True,85.0,4
CENTRAL,development,360,15,0.0,2022-05-19 15:00:00+00:00,2022-05-19 15:20:00+00:00,2022-05-19 16:40:00+00:00,52.81,48.2,4.609999999999999,-1.3255065328536264,-1.5755065328536264,L5_BREAK_FAIL_LATE,0.27114967462039047,0.07375271149674695,80.0,0.0,75.0,TRUE_FAILURE_PROXY,False,,,False,True,0.0,False,,5
CENTRAL,development,360,15,0.0,2022-05-21 15:00:00+00:00,2022-05-21 15:00:00+00:00,2022-05-21 15:10:00+00:00,50.7,48.92,1.7800000000000011,-0.9861932938856066,-1.2361932938856066,L2_BREAK_FAST_FAIL_5M,0.07303370786516594,0.3033707865168572,10.0,0.0,5.0,TRUE_FAILURE_PROXY,False,,,False,True,50.0,False,,5
CENTRAL,development,360,15,0.0,2022-05-22 15:00:00+00:00,2022-05-22 22:20:00+00:00,2022-05-23 02:55:00+00:00,52.88,50.44,2.440000000000005,-8.131618759455339,-8.381618759455339,L1_NEVER_BREAK_TIME,0.12295081967212974,0.4549180327868841,275.0,,,LATENT_RECOVERABLE,True,265.0,9.0,True,True,225.0,True,40.0,11
CENTRAL,development,360,15,0.0,2022-05-24 15:00:00+00:00,2022-05-24 15:45:00+00:00,2022-05-24 16:30:00+00:00,49.88,47.04,2.8400000000000034,-1.8043303929430876,-2.054330392943088,L5_BREAK_FAIL_LATE,0.33450704225351924,0.10563380281690278,45.0,0.0,40.0,TRUE_FAILURE_PROXY,False,,,False,True,395.0,False,,5
CENTRAL,development,360,15,0.0,2022-05-26 15:00:00+00:00,2022-05-26 15:00:00+00:00,2022-05-26 15:10:00+00:00,45.43,41.56,3.8699999999999974,-0.9905348888399335,-1.2405348888399335,L2_BREAK_FAST_FAIL_5M,0.11627906976744268,0.11627906976744268,10.0,0.0,5.0,TRUE_FAILURE_PROXY,False,,,False,True,55.0,False,,3
CENTRAL,development,360,15,0.0,2022-06-02 15:00:00+00:00,2022-06-02 15:20:00+00:00,2022-06-03 02:55:00+00:00,41.24,39.53,1.7100000000000009,-0.8486905916585963,-1.0986905916585963,L1_NEVER_BREAK_TIME,0.26900584795321675,0.7894736842105268,695.0,,,TRUE_FAILURE_PROXY,False,,,False,True,40.0,False,,6
CENTRAL,development,360,15,0.0,2022-06-05 15:00:00+00:00,2022-06-05 16:05:00+00:00,2022-06-05 23:30:00+00:00,39.98,38.72,1.259999999999998,-17.508754377188573,-17.758754377188573,L0_NEVER_BREAK_REFERENCE_INVALIDATION,0.19047619047619235,1.1507936507936491,445.0,,,LATENT_RECOVERABLE,True,115.0,5.0,True,True,95.0,True,20.0,5
CENTRAL,development,360,15,0.0,2022-06-07 15:00:00+00:00,2022-06-07 18:10:00+00:00,2022-06-07 18:20:00+00:00,39.64,37.06,2.5799999999999983,-0.6306760847628046,-0.8806760847628046,L2_BREAK_FAST_FAIL_5M,0.06976744186046505,0.1434108527131774,10.0,0.0,5.0,LATENT_RECOVERABLE,True,85.0,2.0,True,True,0.0,True,85.0,8
CENTRAL,development,360,15,0.0,2022-06-12 15:00:00+00:00,2022-06-12 15:05:00+00:00,2022-06-12 15:25:00+00:00,34.04,31.36,2.6799999999999997,-3.378378378378344,-3.6283783783783443,L2_BREAK_FAST_FAIL_5M,0.17164179104477645,0.1641791044776111,20.0,10.0,5.0,TRUE_FAILURE_PROXY,False,,,False,True,5.0,False,,3
CENTRAL,development,360,15,0.0,2022-06-13 15:00:00+00:00,2022-06-13 16:10:00+00:00,2022-06-13 16:45:00+00:00,28.5,26.0,2.5,-5.7894736842105115,-6.0394736842105115,L4_BREAK_FAIL_30M,0.4,0.1480000000000004,35.0,0.0,30.0,LATENT_RECOVERABLE,True,210.0,4.0,True,True,95.0,True,115.0,9
CENTRAL,development,360,15,0.0,2022-06-19 15:00:00+00:00,2022-06-19 15:50:00+00:00,2022-06-19 16:10:00+00:00,33.08,29.3,3.7799999999999976,-0.30229746070126184,-0.5522974607012618,L4_BREAK_FAIL_30M,0.15079365079365095,0.10052910052909939,20.0,0.0,15.0,LATENT_RECOVERABLE,True,260.0,2.0,True,True,0.0,True,260.0,3
CENTRAL,development,360,15,0.0,2022-06-23 15:00:00+00:00,2022-06-23 15:10:00+00:00,2022-06-23 15:20:00+00:00,37.49,35.7,1.7899999999999991,-4.6679114430515085,-4.917911443051509,L2_BREAK_FAST_FAIL_5M,0.16201117318435715,0.3687150837988849,10.0,0.0,5.0,LATENT_RECOVERABLE,True,150.0,3.0,True,True,150.0,True,340.0,6
CENTRAL,development,360,15,0.0,2022-06-24 15:00:00+00:00,2022-06-24 20:00:00+00:00,2022-06-24 20:30:00+00:00,41.38,38.04,3.3400000000000034,-1.8124697921702015,-2.0624697921702015,L4_BREAK_FAIL_30M,0.32934131736526745,0.09281437125748562,30.0,0.0,25.0,LATENT_RECOVERABLE,True,105.0,2.0,True,True,45.0,True,60.0,7
CENTRAL,development,360,15,1.0,2022-07-02 15:00:00+00:00,2022-07-02 18:50:00+00:00,2022-07-02 19:00:00+00:00,33.38,31.83,1.5500000000000043,-2.2468544038347082,-2.4968544038347087,L2_BREAK_FAST_FAIL_5M,0.0709677419354833,0.13548387096774211,10.0,0.0,5.0,LATENT_RECOVERABLE,True,175.0,2.0,True,True,170.0,True,5.0,5
CENTRAL,development,360,15,1.0,2022-07-04 15:00:00+00:00,2022-07-04 15:05:00+00:00,2022-07-04 15:15:00+00:00,34.58,32.85,1.7299999999999969,-1.5905147484094884,-1.8405147484094884,L2_BREAK_FAST_FAIL_5M,0.20809248554913298,0.20231213872832488,10.0,0.0,5.0,LATENT_RECOVERABLE,True,335.0,2.0,True,True,115.0,True,220.0,2
CENTRAL,development,360,15,1.0,2022-07-05 15:00:00+00:00,2022-07-05 19:10:00+00:00,2022-07-05 19:20:00+00:00,35.06,33.13,1.9299999999999997,-0.7130633200228553,-0.9630633200228553,L2_BREAK_FAST_FAIL_5M,0.09844559585492112,0.10880829015544087,10.0,0.0,5.0,LATENT_RECOVERABLE,True,15.0,1.0,False,True,0.0,True,15.0,8
CENTRAL,development,360,15,1.0,2022-07-09 15:00:00+00:00,2022-07-09 18:30:00+00:00,2022-07-10 00:50:00+00:00,38.81,37.74,1.0700000000000003,-15.717598557072886,-15.967598557072888,L0_NEVER_BREAK_REFERENCE_INVALIDATION,0.16822429906542025,1.205607476635513,380.0,,,TRUE_FAILURE_PROXY,False,,,False,False,,False,,1
CENTRAL,development,360,15,1.0,2022-07-10 15:00:00+00:00,2022-07-10 20:25:00+00:00,2022-07-11 00:20:00+00:00,37.3,36.24,1.0599999999999952,-16.353887399463808,-16.603887399463808,L0_NEVER_BREAK_REFERENCE_INVALIDATION,0.10377358490566031,1.2075471698113207,235.0,,,TRUE_FAILURE_PROXY,False,,,False,False,,False,,2
CENTRAL,development,360,15,1.0,2022-07-12 15:00:00+00:00,2022-07-12 15:10:00+00:00,2022-07-12 15:20:00+00:00,34.32,33.11,1.2100000000000009,-0.7284382284382107,-0.9784382284382107,L2_BREAK_FAST_FAIL_5M,0.14876033057851207,0.09917355371900607,10.0,0.0,5.0,TRUE_FAILURE_PROXY,False,,,False,True,0.0,False,,2
CENTRAL,development,360,15,1.0,2022-07-26 15:00:00+00:00,2022-07-26 23:55:00+00:00,2022-07-27 02:55:00+00:00,36.27,35.03,1.240000000000002,-3.9977943203750588,-4.247794320375059,L1_NEVER_BREAK_TIME,0.06451612903225659,0.45161290322580755,180.0,,,LATENT_RECOVERABLE,True,155.0,3.0,True,True,135.0,True,20.0,3
CENTRAL,development,360,15,1.0,2022-07-27 15:00:00+00:00,2022-07-27 16:20:00+00:00,2022-07-27 16:30:00+00:00,37.44,36.16,1.2800000000000011,-1.869658119658113,-2.119658119658113,L2_BREAK_FAST_FAIL_5M,0.054687500000000173,0.11718749999999879,10.0,0.0,5.0,LATENT_RECOVERABLE,True,90.0,2.0,True,True,90.0,True,5.0,2
CENTRAL,development,360,15,1.0,2022-07-31 15:00:00+00:00,2022-07-31 18:10:00+00:00,2022-07-31 18:30:00+00:00,44.76,43.26,1.5,-9.271671134941872,-9.521671134941872,L4_BREAK_FAIL_30M,0.28000000000000114,1.293333333333332,20.0,0.0,15.0,TRUE_FAILURE_PROXY,False,,,False,False,,False,,1
CENTRAL,development,360,15,1.0,2022-08-02 15:00:00+00:00,2022-08-02 15:00:00+00:00,2022-08-02 15:10:00+00:00,41.53,39.77,1.759999999999998,-1.565133638333771,-1.815133638333771,L2_BREAK_FAST_FAIL_5M,0.07386363636363387,0.2954545454545476,10.0,0.0,5.0,LATENT_RECOVERABLE,True,75.0,3.0,True,True,50.0,True,25.0,3
CENTRAL,development,360,15,1.0,2022-08-07 15:00:00+00:00,2022-08-07 16:30:00+00:00,2022-08-07 16:40:00+00:00,40.62,39.66,0.9600000000000009,-0.6154603643525047,-0.8654603643525047,L2_BREAK_FAST_FAIL_5M,0.0729166666666669,0.0729166666666669,10.0,0.0,5.0,LATENT_RECOVERABLE,True,235.0,2.0,True,True,30.0,True,205.0,3
CENTRAL,development,360,15,1.0,2022-08-15 15:00:00+00:00,2022-08-15 15:55:00+00:00,2022-08-15 16:10:00+00:00,44.48,43.25,1.2299999999999969,-0.7868705035971035,-1.0368705035971035,L3_BREAK_FAST_FAIL_10M,0.06504065040650862,0.1626016260162571,15.0,0.0,10.0,TRUE_FAILURE_PROXY,False,,,False,True,45.0,False,,3
CENTRAL,development,360,15,1.0,2022-08-19 15:00:00+00:00,2022-08-19 16:25:00+00:00,2022-08-19 18:15:00+00:00,37.2,35.5,1.7000000000000028,-0.5376344086022167,-0.7876344086022167,L5_BREAK_FAIL_LATE,0.32941176470587896,0.05882352941176544,110.0,0.0,105.0,TRUE_FAILURE_PROXY,False,,,False,True,25.0,False,,4
CENTRAL,development,360,15,1.0,2022-08-21 15:00:00+00:00,2022-08-21 16:45:00+00:00,2022-08-21 17:00:00+00:00,36.27,35.48,0.7900000000000063,0.0,-0.25,L2_BREAK_FAST_FAIL_5M,0.34177215189872645,0.15189873417721975,15.0,5.0,5.0,LATENT_RECOVERABLE,True,230.0,4.0,True,True,0.0,True,230.0,11
CENTRAL,development,360,15,1.0,2022-08-28 15:00:00+00:00,2022-08-28 16:15:00+00:00,2022-08-28 16:30:00+00:00,32.02,31.17,0.8500000000000014,-0.9369144284822606,-1.1869144284822606,L3_BREAK_FAST_FAIL_10M,0.18823529411764273,0.16470588235294575,15.0,0.0,10.0,TRUE_FAILURE_PROXY,False,,,False,False,,False,,1
CENTRAL,development,360,15,1.0,2022-08-29 15:00:00+00:00,2022-08-29 23:25:00+00:00,2022-08-30 00:20:00+00:00,32.29,30.32,1.9699999999999989,-0.7742335088262164,-1.0242335088262164,L5_BREAK_FAIL_LATE,0.16751269035532917,0.0507614213197977,55.0,5.0,45.0,LATENT_RECOVERABLE,True,605.0,3.0,True,True,45.0,True,560.0,3
CENTRAL,development,360,15,1.0,2022-09-01 15:00:00+00:00,2022-09-01 22:00:00+00:00,2022-09-01 22:25:00+00:00,31.57,30.37,1.1999999999999993,-0.950269242952162,-1.200269242952162,L4_BREAK_FAIL_30M,0.17500000000000082,0.16666666666666619,25.0,0.0,20.0,TRUE_FAILURE_PROXY,False,,,False,True,85.0,False,,9
CENTRAL,development,360,15,1.0,2022-09-02 15:00:00+00:00,2022-09-02 15:00:00+00:00,2022-09-02 15:10:00+00:00,32.35,31.24,1.110000000000003,-0.7727975270479526,-1.0227975270479526,L2_BREAK_FAST_FAIL_5M,0.018018018018014385,0.1261261261261263,10.0,0.0,5.0,TRUE_FAILURE_PROXY,False,,,False,False,,False,,1
CENTRAL,development,360,15,1.0,2022-09-04 15:00:00+00:00,2022-09-04 21:25:00+00:00,2022-09-04 21:45:00+00:00,32.01,31.28,0.7299999999999969,0.0,-0.25,L4_BREAK_FAIL_30M,0.28767123287671476,0.09589041095890004,20.0,0.0,15.0,LATENT_RECOVERABLE,True,135.0,3.0,True,True,105.0,True,30.0,3
