partition,date_utc,signal_bar_start,signal_ts,session_end,H,L,range,k1_episode_bars,window_status,leave_bar_start,leave_ts,eligible_start,h2_bar_start,h2_ts,opposite_break_bar_start,opposite_break_ts,terminal_bar_start,window_id
august,2026-08-13,2026-08-13 14:35:00+00:00,2026-08-13 14:40:00+00:00,2026-08-13 20:00:00+00:00,1896.19,1874.43,21.75999999999999,1,OPPOSITE_BREAK_BEFORE_H2,2026-08-13 14:40:00+00:00,2026-08-13 14:45:00+00:00,2026-08-13 14:45:00+00:00,,,2026-08-13 16:35:00+00:00,2026-08-13 16:40:00+00:00,2026-08-13 16:35:00+00:00,august|2026-08-13|2026-08-13T14:40:00+00:00
august,2026-08-17,2026-08-17 14:50:00+00:00,2026-08-17 14:55:00+00:00,2026-08-17 20:00:00+00:00,1908.75,1890.6,18.15000000000009,1,NO_WINDOW_HIGH_BREAK_DURING_K1,,,,,,,,,august|2026-08-17|2026-08-17T14:55:00+00:00
august,2026-08-20,2026-08-20 15:30:00+00:00,2026-08-20 15:35:00+00:00,2026-08-20 20:00:00+00:00,2318.78,2248.84,69.94000000000005,1,H2_ARRIVAL,2026-08-20 15:35:00+00:00,2026-08-20 15:40:00+00:00,2026-08-20 15:40:00+00:00,2026-08-20 15:45:00+00:00,2026-08-20 15:50:00+00:00,,,2026-08-20 15:45:00+00:00,august|2026-08-20|2026-08-20T15:35:00+00:00
august,2026-08-24,2026-08-24 14:20:00+00:00,2026-08-24 14:25:00+00:00,2026-08-24 20:00:00+00:00,2520.0,2435.01,84.98999999999978,1,H2_ARRIVAL,2026-08-24 14:25:00+00:00,2026-08-24 14:30:00+00:00,2026-08-24 14:30:00+00:00,2026-08-24 14:30:00+00:00,2026-08-24 14:35:00+00:00,,,2026-08-24 14:30:00+00:00,august|2026-08-24|2026-08-24T14:25:00+00:00
development,2022-01-03,2022-01-03 14:35:00+00:00,2022-01-03 14:40:00+00:00,2022-01-03 20:00:00+00:00,3844.67,3790.01,54.659999999999854,1,OPPOSITE_BREAK_BEFORE_H2,2022-01-03 14:40:00+00:00,2022-01-03 14:45:00+00:00,2022-01-03 14:45:00+00:00,,,2022-01-03 15:05:00+00:00,2022-01-03 15:10:00+00:00,2022-01-03 15:05:00+00:00,development|2022-01-03|2022-01-03T14:40:00+00:00
development,2022-01-06,2022-01-06 18:45:00+00:00,2022-01-06 18:50:00+00:00,2022-01-06 20:00:00+00:00,3454.95,3292.31,162.63999999999987,1,H2_ARRIVAL,2022-01-06 18:50:00+00:00,2022-01-06 18:55:00+00:00,2022-01-06 18:55:00+00:00,2022-01-06 18:55:00+00:00,2022-01-06 19:00:00+00:00,,,2022-01-06 18:55:00+00:00,development|2022-01-06|2022-01-06T18:50:00+00:00
development,2022-01-19,2022-01-19 14:30:00+00:00,2022-01-19 14:35:00+00:00,2022-01-19 20:00:00+00:00,3142.84,3045.0,97.84000000000015,1,NO_WINDOW_HIGH_BREAK_DURING_K1,,,,,,,,,development|2022-01-19|2022-01-19T14:35:00+00:00
development,2022-01-25,2022-01-25 14:35:00+00:00,2022-01-25 14:40:00+00:00,2022-01-25 20:00:00+00:00,2460.7,2371.63,89.06999999999971,2,H2_ARRIVAL,2022-01-25 14:45:00+00:00,2022-01-25 14:50:00+00:00,2022-01-25 14:50:00+00:00,2022-01-25 17:20:00+00:00,2022-01-25 17:25:00+00:00,,,2022-01-25 17:20:00+00:00,development|2022-01-25|2022-01-25T14:40:00+00:00
development,2022-01-26,2022-01-26 13:30:00+00:00,2022-01-26 13:35:00+00:00,2022-01-26 20:00:00+00:00,2592.36,2459.01,133.3499999999999,2,NO_WINDOW_HIGH_BREAK_DURING_K1,,,,,,,,,development|2022-01-26|2022-01-26T13:35:00+00:00
development,2022-02-01,2022-02-01 13:40:00+00:00,2022-02-01 13:45:00+00:00,2022-02-01 20:00:00+00:00,2795.0,2716.59,78.40999999999985,1,H2_ARRIVAL,2022-02-01 13:45:00+00:00,2022-02-01 13:50:00+00:00,2022-02-01 13:50:00+00:00,2022-02-01 13:50:00+00:00,2022-02-01 13:55:00+00:00,,,2022-02-01 13:50:00+00:00,development|2022-02-01|2022-02-01T13:45:00+00:00
development,2022-02-09,2022-02-09 14:40:00+00:00,2022-02-09 14:45:00+00:00,2022-02-09 20:00:00+00:00,3208.26,3066.48,141.7800000000002,2,H2_ARRIVAL,2022-02-09 14:50:00+00:00,2022-02-09 14:55:00+00:00,2022-02-09 14:55:00+00:00,2022-02-09 16:45:00+00:00,2022-02-09 16:50:00+00:00,,,2022-02-09 16:45:00+00:00,development|2022-02-09|2022-02-09T14:45:00+00:00
development,2022-02-14,2022-02-14 13:30:00+00:00,2022-02-14 13:35:00+00:00,2022-02-14 20:00:00+00:00,2943.33,2845.07,98.25999999999976,1,H2_ARRIVAL,2022-02-14 13:35:00+00:00,2022-02-14 13:40:00+00:00,2022-02-14 13:40:00+00:00,2022-02-14 14:05:00+00:00,2022-02-14 14:10:00+00:00,,,2022-02-14 14:05:00+00:00,development|2022-02-14|2022-02-14T13:35:00+00:00
development,2022-02-22,2022-02-22 13:55:00+00:00,2022-02-22 14:00:00+00:00,2022-02-22 20:00:00+00:00,2622.62,2512.67,109.94999999999982,1,H2_ARRIVAL,2022-02-22 14:00:00+00:00,2022-02-22 14:05:00+00:00,2022-02-22 14:05:00+00:00,2022-02-22 14:45:00+00:00,2022-02-22 14:50:00+00:00,,,2022-02-22 14:45:00+00:00,development|2022-02-22|2022-02-22T14:00:00+00:00
development,2022-02-24,2022-02-24 14:30:00+00:00,2022-02-24 14:35:00+00:00,2022-02-24 20:00:00+00:00,2422.0,2329.05,92.94999999999982,1,NO_WINDOW_HIGH_BREAK_DURING_K1,,,,,,,,,development|2022-02-24|2022-02-24T14:35:00+00:00
development,2022-03-03,2022-03-03 14:00:00+00:00,2022-03-03 14:05:00+00:00,2022-03-03 20:00:00+00:00,2934.48,2877.35,57.13000000000011,1,OPPOSITE_BREAK_BEFORE_H2,2022-03-03 14:05:00+00:00,2022-03-03 14:10:00+00:00,2022-03-03 14:10:00+00:00,,,2022-03-03 15:05:00+00:00,2022-03-03 15:10:00+00:00,2022-03-03 15:05:00+00:00,development|2022-03-03|2022-03-03T14:05:00+00:00
development,2022-03-16,2022-03-16 14:15:00+00:00,2022-03-16 14:20:00+00:00,2022-03-16 20:00:00+00:00,2703.25,2642.94,60.309999999999945,1,NO_WINDOW_HIGH_BREAK_DURING_K1,,,,,,,,,development|2022-03-16|2022-03-16T14:20:00+00:00
