partition,timeframe,bull_cross_ts,signal_ts,entry_ts,exit_trigger_ts,exit_ts,red_bars_before_signal,bars_cross_to_signal,entry_px,exit_px,return,mfe,mae,bars_held,hold_minutes,gross_pnl_usd,fee_sensitive_pnl_usd,exit_reason
external,5m,2020-01-01 11:25:00+00:00,2020-01-01 11:30:00+00:00,2020-01-01 11:35:00+00:00,2020-01-01 11:50:00+00:00,2020-01-01 11:55:00+00:00,0,1,7218.51,7190.05,-0.003942641902553334,0.0007965632796795852,-0.004640846933785525,4,20,-1.9713209512766672,-2.371320951276667,CLOSE_BELOW_EMA50
external,5m,2020-01-02 09:10:00+00:00,2020-01-02 09:15:00+00:00,2020-01-02 09:20:00+00:00,2020-01-02 09:30:00+00:00,2020-01-02 09:35:00+00:00,0,1,7147.03,7137.51,-0.0013320218328451983,0.0006953937509706076,-0.001957456453939632,3,15,-0.6660109164225991,-1.066010916422599,CLOSE_BELOW_EMA50
external,5m,2020-01-03 03:55:00+00:00,2020-01-03 04:00:00+00:00,2020-01-03 04:05:00+00:00,2020-01-03 14:00:00+00:00,2020-01-03 14:05:00+00:00,0,1,6954.99,7282.0,0.04701804028474532,0.0609648612003757,-1.437816589233698e-06,120,600,23.509020142372663,23.109020142372664,CLOSE_BELOW_EMA50
external,5m,2020-01-03 16:10:00+00:00,2020-01-03 16:25:00+00:00,2020-01-03 16:30:00+00:00,2020-01-03 19:00:00+00:00,2020-01-03 19:05:00+00:00,2,3,7364.99,7319.4,-0.006190096660009026,0.004801092737396928,-0.00651867823310015,31,155,-3.095048330004513,-3.4950483300045128,CLOSE_BELOW_EMA50
external,5m,2020-01-03 23:55:00+00:00,2020-01-04 00:20:00+00:00,2020-01-04 00:25:00+00:00,2020-01-04 00:30:00+00:00,2020-01-04 00:35:00+00:00,4,5,7319.22,7292.49,-0.0036520284948396986,3.6889176715515504e-05,-0.004919923161211148,2,10,-1.8260142474198493,-2.226014247419849,CLOSE_BELOW_EMA50
external,5m,2020-01-04 02:55:00+00:00,2020-01-04 03:05:00+00:00,2020-01-04 03:10:00+00:00,2020-01-04 04:20:00+00:00,2020-01-04 04:25:00+00:00,1,2,7332.29,7310.94,-0.0029117779029471658,0.0005741725981924795,-0.003039977960500706,15,75,-1.4558889514735829,-1.8558889514735828,CLOSE_BELOW_EMA50
external,5m,2020-01-04 17:35:00+00:00,2020-01-04 17:45:00+00:00,2020-01-04 17:50:00+00:00,2020-01-04 18:40:00+00:00,2020-01-04 18:45:00+00:00,1,2,7338.95,7306.97,-0.004357571587216058,0.008318628686664997,-0.00436165936544064,11,55,-2.178785793608029,-2.578785793608029,CLOSE_BELOW_EMA50
external,5m,2020-01-04 19:45:00+00:00,2020-01-04 20:00:00+00:00,2020-01-04 20:05:00+00:00,2020-01-04 20:10:00+00:00,2020-01-04 20:15:00+00:00,2,3,7339.98,7319.5,-0.002790198338414984,0.0012288861822511432,-0.0044932002539516125,2,10,-1.395099169207492,-1.795099169207492,CLOSE_BELOW_EMA50
external,5m,2020-01-05 12:35:00+00:00,2020-01-05 12:45:00+00:00,2020-01-05 12:50:00+00:00,2020-01-05 13:25:00+00:00,2020-01-05 13:30:00+00:00,1,2,7448.03,7419.03,-0.003893647044923343,0.0009358179276937051,-0.004551539131824045,8,40,-1.9468235224616715,-2.3468235224616714,CLOSE_BELOW_EMA50
external,5m,2020-01-05 15:05:00+00:00,2020-01-05 15:10:00+00:00,2020-01-05 15:15:00+00:00,2020-01-05 17:00:00+00:00,2020-01-05 17:05:00+00:00,0,1,7441.9,7445.0,0.0004165602870234153,0.0048509117295314486,-0.0007901208024830852,22,110,0.20828014351170765,-0.19171985648829237,CLOSE_BELOW_EMA50
external,5m,2020-01-06 01:55:00+00:00,2020-01-06 02:00:00+00:00,2020-01-06 02:05:00+00:00,2020-01-06 05:30:00+00:00,2020-01-06 05:35:00+00:00,0,1,7477.73,7494.7,0.002269405287433468,0.013687308849075874,-0.003297792244437825,42,210,1.134702643716734,0.734702643716734,CLOSE_BELOW_EMA50
external,5m,2020-01-06 17:20:00+00:00,2020-01-06 17:35:00+00:00,2020-01-06 17:40:00+00:00,2020-01-06 18:25:00+00:00,2020-01-06 18:30:00+00:00,2,3,7545.4,7538.31,-0.0009396453468337729,0.001456516553131726,-0.001304105812813039,10,50,-0.46982267341688644,-0.8698226734168865,CLOSE_BELOW_EMA50
external,5m,2020-01-06 20:15:00+00:00,2020-01-06 20:20:00+00:00,2020-01-06 20:25:00+00:00,2020-01-06 20:40:00+00:00,2020-01-06 20:45:00+00:00,0,1,7548.41,7536.95,-0.0015182005216992644,0.00020931560421333373,-0.0020414895322325988,4,20,-0.7591002608496322,-1.1591002608496321,CLOSE_BELOW_EMA50
external,5m,2020-01-07 06:50:00+00:00,2020-01-07 07:00:00+00:00,2020-01-07 07:05:00+00:00,2020-01-07 07:15:00+00:00,2020-01-07 07:20:00+00:00,1,2,7892.52,7867.44,-0.003177692295996848,0.0006943283007201373,-0.0038314758784268044,3,15,-1.588846147998424,-1.9888461479984239,CLOSE_BELOW_EMA50
external,5m,2020-01-07 10:55:00+00:00,2020-01-07 11:00:00+00:00,2020-01-07 11:05:00+00:00,2020-01-07 12:15:00+00:00,2020-01-07 12:20:00+00:00,0,1,7895.26,7888.41,-0.0008676091730988045,0.00933978108384026,-0.001932805252771952,15,75,-0.43380458654940224,-0.8338045865494023,CLOSE_BELOW_EMA50
external,5m,2020-01-07 16:40:00+00:00,2020-01-07 16:45:00+00:00,2020-01-07 16:50:00+00:00,2020-01-07 21:45:00+00:00,2020-01-07 21:50:00+00:00,0,1,7932.46,8059.84,0.016058070258154533,0.032844792157792124,-0.006192278309628985,60,300,8.029035129077267,7.629035129077266,CLOSE_BELOW_EMA50
external,5m,2020-01-07 23:15:00+00:00,2020-01-07 23:20:00+00:00,2020-01-07 23:25:00+00:00,2020-01-08 02:55:00+00:00,2020-01-08 03:00:00+00:00,0,1,8082.12,8282.0,0.02473113490024903,0.04779686517893822,-0.0013016386789603818,43,215,12.365567450124516,11.965567450124516,CLOSE_BELOW_EMA50
external,5m,2020-01-08 10:15:00+00:00,2020-01-08 10:20:00+00:00,2020-01-08 10:25:00+00:00,2020-01-08 12:05:00+00:00,2020-01-08 12:10:00+00:00,0,1,8341.17,8322.85,-0.0021963345669732126,0.004596477472584848,-0.002298238736292424,21,105,-1.0981672834866063,-1.4981672834866062,CLOSE_BELOW_EMA50
external,5m,2020-01-08 13:45:00+00:00,2020-01-08 13:50:00+00:00,2020-01-08 13:55:00+00:00,2020-01-08 14:10:00+00:00,2020-01-08 14:15:00+00:00,0,1,8407.68,8267.95,-0.016619328994443072,0.0005138159397122255,-0.024570392783740624,4,20,-8.309664497221537,-8.709664497221537,CLOSE_BELOW_EMA50
