role,partition,dev_block,execution_start,parent_entry_ts,parent_exit_ts,parent_pnl,parent_pnl_5bps,loss_class,latent_target_recovered,latent_recovery_min,latent_target_visit,latent_target_visit_start,latent_target_visit_entry_eligible,visit_count_through_watch
CENTRAL,development,0.0,2022-01-06 18:00:00+00:00,2022-01-06 18:05:00+00:00,2022-01-06 20:20:00+00:00,-2.783235101506188,-3.033235101506188,L5_BREAK_FAIL_LATE,False,,,,False,1
CENTRAL,development,0.0,2022-01-07 18:00:00+00:00,2022-01-07 20:00:00+00:00,2022-01-07 20:10:00+00:00,-0.8531816565944261,-1.103181656594426,L2_BREAK_FAST_FAIL_5M,True,645.0,3.0,2022-01-08 04:35:00+00:00,True,3
CENTRAL,development,0.0,2022-01-08 18:00:00+00:00,2022-01-08 22:00:00+00:00,2022-01-08 22:35:00+00:00,-3.284296955183064,-3.534296955183064,L4_BREAK_FAIL_30M,False,,,,False,2
CENTRAL,development,0.0,2022-01-09 18:00:00+00:00,2022-01-09 18:00:00+00:00,2022-01-09 18:25:00+00:00,-0.0691037246908221,-0.3191037246908221,L2_BREAK_FAST_FAIL_5M,False,,,,False,2
CENTRAL,development,0.0,2022-01-10 18:00:00+00:00,2022-01-11 04:00:00+00:00,2022-01-11 04:10:00+00:00,-1.5999999999999903,-1.8499999999999903,L2_BREAK_FAST_FAIL_5M,False,,,,False,6
CENTRAL,development,0.0,2022-01-11 18:00:00+00:00,2022-01-11 18:35:00+00:00,2022-01-12 05:55:00+00:00,-9.683960285274797,-9.933960285274797,L1_NEVER_BREAK_TIME,True,470.0,4.0,2022-01-12 12:35:00+00:00,True,4
CENTRAL,development,0.0,2022-01-12 18:00:00+00:00,2022-01-12 19:50:00+00:00,2022-01-12 20:05:00+00:00,-0.3943995267206013,-0.6443995267206013,L2_BREAK_FAST_FAIL_5M,False,,,,False,6
CENTRAL,development,0.0,2022-01-14 18:00:00+00:00,2022-01-14 19:35:00+00:00,2022-01-14 20:00:00+00:00,-1.0770784247728926,-1.3270784247728926,L4_BREAK_FAIL_30M,False,,,,False,1
CENTRAL,development,0.0,2022-01-15 18:00:00+00:00,2022-01-15 20:10:00+00:00,2022-01-15 20:25:00+00:00,-0.4367399045892006,-0.6867399045892006,L2_BREAK_FAST_FAIL_5M,True,700.0,3.0,2022-01-16 07:25:00+00:00,True,3
CENTRAL,development,0.0,2022-01-24 18:00:00+00:00,2022-01-24 18:05:00+00:00,2022-01-24 18:25:00+00:00,-4.714887952074531,-4.964887952074531,L3_BREAK_FAST_FAIL_10M,True,120.0,3.0,2022-01-24 20:00:00+00:00,True,8
CENTRAL,development,0.0,2022-01-25 18:00:00+00:00,2022-01-25 18:30:00+00:00,2022-01-25 18:45:00+00:00,-1.4808006535947935,-1.7308006535947935,L3_BREAK_FAST_FAIL_10M,False,,,,False,1
CENTRAL,development,0.0,2022-01-28 18:00:00+00:00,2022-01-28 18:30:00+00:00,2022-01-28 18:40:00+00:00,-3.721682847896424,-3.971682847896424,L2_BREAK_FAST_FAIL_5M,True,670.0,5.0,2022-01-29 04:10:00+00:00,True,5
CENTRAL,development,0.0,2022-01-31 18:00:00+00:00,2022-01-31 20:00:00+00:00,2022-01-31 20:10:00+00:00,-4.45479396577908,-4.70479396577908,L2_BREAK_FAST_FAIL_5M,True,315.0,2.0,2022-01-31 21:05:00+00:00,True,2
CENTRAL,development,0.0,2022-02-02 18:00:00+00:00,2022-02-02 18:55:00+00:00,2022-02-02 20:05:00+00:00,-3.146948827875584,-3.396948827875584,L5_BREAK_FAIL_LATE,False,,,,False,1
CENTRAL,development,0.0,2022-02-09 18:00:00+00:00,2022-02-09 19:45:00+00:00,2022-02-09 20:00:00+00:00,-0.5211952744961779,-0.7711952744961779,L3_BREAK_FAST_FAIL_10M,True,35.0,1.0,2022-02-09 19:45:00+00:00,False,1
CENTRAL,development,0.0,2022-02-22 18:00:00+00:00,2022-02-23 00:15:00+00:00,2022-02-23 00:25:00+00:00,-0.5136986301369495,-0.7636986301369495,L2_BREAK_FAST_FAIL_5M,True,275.0,5.0,2022-02-23 04:40:00+00:00,True,5
CENTRAL,development,0.0,2022-03-08 18:00:00+00:00,2022-03-08 18:05:00+00:00,2022-03-08 18:25:00+00:00,-1.185255422543552,-1.435255422543552,L4_BREAK_FAIL_30M,True,535.0,3.0,2022-03-09 02:55:00+00:00,True,3
