partition,signal_ts,entry_start,entry_px,baseline_activated,baseline_win,baseline_pnl,baseline_exit_ts,baseline_exit_px,baseline_exit_reason,horizon_end,adverse_close_r,candidate,family,horizon_minutes,threshold,feature_value,at_risk,early_cut,exit_px,exit_ts,exit_reason,net_pnl_usd,pnl_delta_vs_baseline,win,wick_imbalance_r
development,2022-01-03 15:10:00+00:00,2022-01-03 15:15:00+00:00,46896.733,True,True,1.804236700240947,2022-01-03 16:00:00+00:00,46689.99,PROFIT_CEILING_GAP_OPEN,2022-01-03 15:25:00+00:00,0.0,AC_H05_T05,adverse_close_r,5,0.05,0.0,True,False,46689.99,2022-01-03 16:00:00+00:00,PROFIT_CEILING_GAP_OPEN,1.804236700240947,0.0,True,
development,2022-01-17 15:15:00+00:00,2022-01-17 15:30:00+00:00,42490.1445,True,True,1.0268544085558888,2022-01-17 16:10:00+00:00,42368.89,PROFIT_CEILING_GAP_OPEN,2022-01-17 15:40:00+00:00,0.2518347839103607,AC_H05_T05,adverse_close_r,5,0.05,0.2518347839103607,True,True,42607.91,2022-01-17 15:40:00+00:00,EARLY_DAMAGE_adverse_close_r_5m_0.05,-1.7857978289529837,-2.8126522375088725,False,
development,2022-03-14 13:35:00+00:00,2022-03-14 14:50:00+00:00,38728.61,False,False,-5.207686100792186,2022-03-14 15:00:00+00:00,39101.0,PRE_ACT_CLOSE_INVALIDATION_F65,,,AC_H05_T05,adverse_close_r,5,0.05,,False,False,39101.0,2022-03-14 15:00:00+00:00,PRE_ACT_CLOSE_INVALIDATION_F65,-5.207686100792186,0.0,False,
development,2022-03-24 13:35:00+00:00,2022-03-24 13:50:00+00:00,42793.855,False,False,-3.5481739609577896,2022-03-24 14:05:00+00:00,43063.3,PRE_ACT_CLOSE_INVALIDATION_F65,2022-03-24 14:00:00+00:00,0.3603973646283699,AC_H05_T05,adverse_close_r,5,0.05,0.3603973646283699,True,True,42968.9,2022-03-24 14:00:00+00:00,EARLY_DAMAGE_adverse_close_r_5m_0.05,-2.4452118651147488,1.1029620958430408,False,
development,2022-04-15 14:00:00+00:00,2022-04-15 14:10:00+00:00,40064.76,True,True,0.7114505615409387,2022-04-15 14:30:00+00:00,39975.7,PROFIT_CEILING_GAP_OPEN,2022-04-15 14:20:00+00:00,0.0411764705882299,AC_H05_T05,adverse_close_r,5,0.05,0.0411764705882299,True,False,39975.7,2022-04-15 14:30:00+00:00,PROFIT_CEILING_GAP_OPEN,0.7114505615409387,0.0,True,
development,2022-05-03 13:35:00+00:00,2022-05-03 13:40:00+00:00,38311.455,True,True,1.0350146711995527,2022-05-03 13:50:00+00:00,38201.5,PROFIT_CEILING_GAP_OPEN,,,AC_H05_T05,adverse_close_r,5,0.05,,False,False,38201.5,2022-05-03 13:50:00+00:00,PROFIT_CEILING_GAP_OPEN,1.0350146711995527,0.0,True,
development,2022-05-16 13:55:00+00:00,2022-05-16 14:00:00+00:00,29547.905,True,True,4.75679538024777,2022-05-16 16:45:00+00:00,29243.16,PROFIT_CEILING_HIT,2022-05-16 14:10:00+00:00,0.1550419202940192,AC_H05_T05,adverse_close_r,5,0.05,0.1550419202940192,True,True,29682.9,2022-05-16 14:10:00+00:00,EARLY_DAMAGE_adverse_close_r_5m_0.05,-2.684341309476967,-7.441136689724736,False,
development,2022-06-10 13:35:00+00:00,2022-06-10 13:45:00+00:00,29418.01,True,True,4.914601497518056,2022-06-10 16:30:00+00:00,29105.32,PROFIT_CEILING_HIT,2022-06-10 13:55:00+00:00,0.0,AC_H05_T05,adverse_close_r,5,0.05,0.0,True,False,29105.32,2022-06-10 16:30:00+00:00,PROFIT_CEILING_HIT,4.914601497518056,0.0,True,
development,2022-06-13 13:45:00+00:00,2022-06-13 13:50:00+00:00,23579.06,True,True,10.865504222814693,2022-06-13 14:45:00+00:00,23047.8,PROFIT_CEILING_GAP_OPEN,2022-06-13 14:00:00+00:00,0.0399147014550925,AC_H05_T05,adverse_close_r,5,0.05,0.0399147014550925,True,False,23047.8,2022-06-13 14:45:00+00:00,PROFIT_CEILING_GAP_OPEN,10.865504222814693,0.0,True,
development,2022-07-05 13:35:00+00:00,2022-07-05 13:40:00+00:00,19436.38,False,False,-12.802515283195692,2022-07-05 18:40:00+00:00,19918.5,PRE_ACT_CLOSE_INVALIDATION_F65,2022-07-05 13:50:00+00:00,0.047096348438187,AC_H05_T05,adverse_close_r,5,0.05,0.047096348438187,True,False,19918.5,2022-07-05 18:40:00+00:00,PRE_ACT_CLOSE_INVALIDATION_F65,-12.802515283195692,0.0,False,
development,2022-07-15 16:05:00+00:00,2022-07-15 16:10:00+00:00,20768.105,True,True,1.290211986120016,2022-07-15 16:30:00+00:00,20697.9,PROFIT_CEILING_GAP_OPEN,2022-07-15 16:20:00+00:00,0.0,AC_H05_T05,adverse_close_r,5,0.05,0.0,True,False,20697.9,2022-07-15 16:30:00+00:00,PROFIT_CEILING_GAP_OPEN,1.290211986120016,0.0,True,
development,2022-07-25 13:40:00+00:00,2022-07-25 13:45:00+00:00,21841.19,True,True,1.458644148968136,2022-07-25 14:30:00+00:00,21760.0,PROFIT_CEILING_GAP_OPEN,2022-07-25 13:55:00+00:00,0.2036503683858057,AC_H05_T05,adverse_close_r,5,0.05,0.2036503683858057,True,True,21902.0,2022-07-25 13:55:00+00:00,EARLY_DAMAGE_adverse_close_r_5m_0.05,-1.7920944783686328,-3.250738627336769,False,
development,2022-09-01 14:20:00+00:00,2022-09-01 14:35:00+00:00,19855.85,True,True,2.242797966342314,2022-09-01 14:50:00+00:00,19750.9,PROFIT_CEILING_GAP_OPEN,2022-09-01 14:45:00+00:00,0.027377049180335,AC_H05_T05,adverse_close_r,5,0.05,0.027377049180335,True,False,19750.9,2022-09-01 14:50:00+00:00,PROFIT_CEILING_GAP_OPEN,2.242797966342314,0.0,True,
development,2022-09-27 14:05:00+00:00,2022-09-27 14:10:00+00:00,20120.85,True,True,28.034434926953917,2022-09-27 18:00:00+00:00,18976.6,PROFIT_CEILING_HIT,2022-09-27 14:20:00+00:00,0.1319397993311061,AC_H05_T05,adverse_close_r,5,0.05,0.1319397993311061,True,True,20160.3,2022-09-27 14:20:00+00:00,EARLY_DAMAGE_adverse_close_r_5m_0.05,-1.3803263778618287,-29.414761304815745,False,
development,2022-10-10 16:25:00+00:00,2022-10-10 16:50:00+00:00,19161.145,False,False,-5.061908252351244,2022-10-10 17:55:00+00:00,19339.8,PRE_ACT_CLOSE_INVALIDATION_F65,2022-10-10 17:00:00+00:00,0.0,AC_H05_T05,adverse_close_r,5,0.05,0.0,True,False,19339.8,2022-10-10 17:55:00+00:00,PRE_ACT_CLOSE_INVALIDATION_F65,-5.061908252351244,0.0,False,
development,2022-10-24 13:45:00+00:00,2022-10-24 14:00:00+00:00,19310.26,True,True,0.9428094701987692,2022-10-24 14:20:00+00:00,19258.4,PROFIT_CEILING_GAP_OPEN,,,AC_H05_T05,adverse_close_r,5,0.05,,False,False,19258.4,2022-10-24 14:20:00+00:00,PROFIT_CEILING_GAP_OPEN,0.9428094701987692,0.0,True,
development,2022-10-27 13:55:00+00:00,2022-10-27 16:25:00+00:00,20498.465,False,False,-3.364490267929776,2022-10-27 20:00:00+00:00,20620.0,TIME_EXIT_SESSION_END,2022-10-27 16:35:00+00:00,0.0892448158464848,AC_H05_T05,adverse_close_r,5,0.05,0.0892448158464848,True,True,20527.3,2022-10-27 16:35:00+00:00,EARLY_DAMAGE_adverse_close_r_5m_0.05,-1.1033453480540518,2.2611449198757243,False,
development,2022-12-15 13:50:00+00:00,2022-12-15 14:00:00+00:00,17489.989999999998,True,True,0.8004009150376471,2022-12-15 15:00:00+00:00,17448.0,PROFIT_CEILING_GAP_OPEN,2022-12-15 14:10:00+00:00,0.1088147036759272,AC_H05_T05,adverse_close_r,5,0.05,0.1088147036759272,True,True,17519.0,2022-12-15 14:10:00+00:00,EARLY_DAMAGE_adverse_close_r_5m_0.05,-1.22933152048692,-2.029732435524567,False,
development,2022-12-16 14:20:00+00:00,2022-12-16 14:25:00+00:00,17000.075,True,True,3.772775708342458,2022-12-16 16:10:00+00:00,16858.2,PROFIT_CEILING_GAP_OPEN,2022-12-16 14:35:00+00:00,0.0253538717735196,AC_H05_T05,adverse_close_r,5,0.05,0.0253538717735196,True,False,16858.2,2022-12-16 16:10:00+00:00,PROFIT_CEILING_GAP_OPEN,3.772775708342458,0.0,True,
development,2023-01-05 13:40:00+00:00,2023-01-05 13:50:00+00:00,16783.335,True,False,-0.3155412199065562,2023-01-05 14:05:00+00:00,16780.5,PROFIT_CEILING_GAP_OPEN,,,AC_H05_T05,adverse_close_r,5,0.05,,False,False,16780.5,2023-01-05 14:05:00+00:00,PROFIT_CEILING_GAP_OPEN,-0.3155412199065562,0.0,False,
development,2023-01-24 14:35:00+00:00,2023-01-24 14:45:00+00:00,22808.96,False,False,-4.44972431886419,2023-01-24 18:15:00+00:00,22993.7,PRE_ACT_CLOSE_INVALIDATION_F65,2023-01-24 14:55:00+00:00,0.4333333333333385,AC_H05_T05,adverse_close_r,5,0.05,0.4333333333333385,True,True,22950.4,2023-01-24 14:55:00+00:00,EARLY_DAMAGE_adverse_close_r_5m_0.05,-3.5005359297399115,0.9491883891242785,False,
development,2023-01-25 14:40:00+00:00,2023-01-25 14:45:00+00:00,22503.745,True,True,0.6341612029464153,2023-01-25 15:05:00+00:00,22457.2,PROFIT_CEILING_GAP_OPEN,2023-01-25 14:55:00+00:00,0.0,AC_H05_T05,adverse_close_r,5,0.05,0.0,True,False,22457.2,2023-01-25 15:05:00+00:00,PROFIT_CEILING_GAP_OPEN,0.6341612029464153,0.0,True,
development,2023-01-27 14:25:00+00:00,2023-01-27 14:35:00+00:00,22884.5,False,False,-3.454469182197539,2023-01-27 14:55:00+00:00,23024.3,PRE_ACT_CLOSE_INVALIDATION_F65,2023-01-27 14:45:00+00:00,0.1630434782608695,AC_H05_T05,adverse_close_r,5,0.05,0.1630434782608695,True,True,22922.0,2023-01-27 14:45:00+00:00,EARLY_DAMAGE_adverse_close_r_5m_0.05,-1.2193318621774192,2.2351373200201197,False,
development,2023-02-08 13:35:00+00:00,2023-02-08 14:00:00+00:00,23080.73,True,True,0.1508924544414539,2023-02-08 14:35:00+00:00,23055.3,PROFIT_CEILING_GAP_OPEN,2023-02-08 14:10:00+00:00,0.0,AC_H05_T05,adverse_close_r,5,0.05,0.0,True,False,23055.3,2023-02-08 14:35:00+00:00,PROFIT_CEILING_GAP_OPEN,0.1508924544414539,0.0,True,
