partition,date_utc,signal_ts,variant,H,L,range,F85,F35,E20,touch_bar_start,frozen_h2_bar_start,session_end,confirmation_status,confirmation_kind,confirmation_bar_start,confirmation_ts,confirmation_close,minutes_touch_to_confirmation,entry_executed,entry_bar_start,entry_px,entry_fraction,entry_on_frozen_h2_bar_open,nominal_rr,exit_bar_start,exit_ts,exit_px,exit_reason,gross_return,net_pnl_usd,hold_minutes,h2_before_exit,accepted_close_above_H_before_exit
august,2026-08-04,2026-08-04 13:40:00+00:00,EARLY_RECLAIM,64034.3,63428.8,605.5,63943.475000000006,63640.725000000006,64155.4,2026-08-04 14:30:00+00:00,2026-08-04 14:40:00+00:00,2026-08-04 20:00:00+00:00,CONFIRMED_EXECUTED,LATER_RECLAIM,2026-08-04 14:35:00+00:00,2026-08-04 14:40:00+00:00,63967.0,10.0,True,2026-08-04 14:40:00+00:00,63967.0,0.8888521882741488,True,0.5774270170868281,2026-08-04 14:40:00+00:00,2026-08-04 14:40:00+00:00,64155.4,TP_E20,0.0029452686541497908,1.0726343270748955,0.0,True,False
august,2026-08-04,2026-08-04 13:40:00+00:00,SAME_BAR_REJECTION,64034.3,63428.8,605.5,63943.475000000006,63640.725000000006,64155.4,2026-08-04 14:30:00+00:00,2026-08-04 14:40:00+00:00,2026-08-04 20:00:00+00:00,NO_CONFIRMATION,,,,,,False,,,,False,,,,,NO_CONFIRMATION,,,,False,False
august,2026-08-17,2026-08-17 13:45:00+00:00,EARLY_RECLAIM,63753.0,63255.0,498.0,63678.3,63429.3,63852.6,2026-08-17 13:50:00+00:00,2026-08-17 14:50:00+00:00,2026-08-17 20:00:00+00:00,CONFIRMED_EXECUTED,LATER_RECLAIM,2026-08-17 14:45:00+00:00,2026-08-17 14:50:00+00:00,63726.9,60.0,True,2026-08-17 14:50:00+00:00,63726.9,0.947590361445786,True,0.4223790322580568,2026-08-17 14:55:00+00:00,2026-08-17 14:55:00+00:00,63852.6,TP_E20,0.0019724794396087653,0.5862397198043826,5.0,True,False
august,2026-08-17,2026-08-17 13:45:00+00:00,SAME_BAR_REJECTION,63753.0,63255.0,498.0,63678.3,63429.3,63852.6,2026-08-17 13:50:00+00:00,2026-08-17 14:50:00+00:00,2026-08-17 20:00:00+00:00,NO_CONFIRMATION,,,,,,False,,,,False,,,,,NO_CONFIRMATION,,,,False,False
august,2026-08-20,2026-08-20 15:05:00+00:00,EARLY_RECLAIM,72487.5,69771.8,2715.699999999997,72080.145,70722.295,73030.64,2026-08-20 15:15:00+00:00,2026-08-20 15:30:00+00:00,2026-08-20 20:00:00+00:00,CONFIRMED_EXECUTED,SAME_BAR,2026-08-20 15:15:00+00:00,2026-08-20 15:20:00+00:00,72208.9,5.0,True,2026-08-20 15:20:00+00:00,72208.9,0.8974113488235055,False,0.5527628388173103,2026-08-20 20:00:00+00:00,2026-08-20 20:00:00+00:00,72649.8,TIME_EXIT_SESSION_END,0.0061058955336532605,2.6529477668266304,280.0,True,True
august,2026-08-20,2026-08-20 15:05:00+00:00,SAME_BAR_REJECTION,72487.5,69771.8,2715.699999999997,72080.145,70722.295,73030.64,2026-08-20 15:15:00+00:00,2026-08-20 15:30:00+00:00,2026-08-20 20:00:00+00:00,CONFIRMED_EXECUTED,SAME_BAR,2026-08-20 15:15:00+00:00,2026-08-20 15:20:00+00:00,72208.9,5.0,True,2026-08-20 15:20:00+00:00,72208.9,0.8974113488235055,False,0.5527628388173103,2026-08-20 20:00:00+00:00,2026-08-20 20:00:00+00:00,72649.8,TIME_EXIT_SESSION_END,0.0061058955336532605,2.6529477668266304,280.0,True,True
development,2022-01-28,2022-01-28 13:40:00+00:00,EARLY_RECLAIM,36884.88,36149.02,735.8600000000006,36774.501,36406.570999999996,37032.051999999996,2022-01-28 13:50:00+00:00,2022-01-28 13:55:00+00:00,2022-01-28 20:00:00+00:00,CONFIRMED_EXECUTED,SAME_BAR,2022-01-28 13:50:00+00:00,2022-01-28 13:55:00+00:00,36791.75,5.0,True,2022-01-28 13:55:00+00:00,36791.75,0.8734406001141558,True,0.6238709794666732,2022-01-28 14:05:00+00:00,2022-01-28 14:05:00+00:00,37032.051999999996,TP_E20,0.006531409894881213,2.8657049474406064,10.0,True,True
development,2022-01-28,2022-01-28 13:40:00+00:00,SAME_BAR_REJECTION,36884.88,36149.02,735.8600000000006,36774.501,36406.570999999996,37032.051999999996,2022-01-28 13:50:00+00:00,2022-01-28 13:55:00+00:00,2022-01-28 20:00:00+00:00,CONFIRMED_EXECUTED,SAME_BAR,2022-01-28 13:50:00+00:00,2022-01-28 13:55:00+00:00,36791.75,5.0,True,2022-01-28 13:55:00+00:00,36791.75,0.8734406001141558,True,0.6238709794666732,2022-01-28 14:05:00+00:00,2022-01-28 14:05:00+00:00,37032.051999999996,TP_E20,0.006531409894881213,2.8657049474406064,10.0,True,True
development,2022-02-01,2022-02-01 17:00:00+00:00,EARLY_RECLAIM,39100.0,37969.0,1131.0,38930.35,38364.85,39326.2,2022-02-01 17:10:00+00:00,,2022-02-01 20:00:00+00:00,CONFIRMED_EXECUTED,SAME_BAR,2022-02-01 17:10:00+00:00,2022-02-01 17:15:00+00:00,38930.94,5.0,True,2022-02-01 17:15:00+00:00,38930.17,0.8498408488063645,False,0.7005412863510915,2022-02-01 19:50:00+00:00,2022-02-01 19:55:00+00:00,38363.01,CLOSE_INVALIDATION_F35,-0.01456864945619285,-7.684324728096426,160.0,False,False
development,2022-02-01,2022-02-01 17:00:00+00:00,SAME_BAR_REJECTION,39100.0,37969.0,1131.0,38930.35,38364.85,39326.2,2022-02-01 17:10:00+00:00,,2022-02-01 20:00:00+00:00,CONFIRMED_EXECUTED,SAME_BAR,2022-02-01 17:10:00+00:00,2022-02-01 17:15:00+00:00,38930.94,5.0,True,2022-02-01 17:15:00+00:00,38930.17,0.8498408488063645,False,0.7005412863510915,2022-02-01 19:50:00+00:00,2022-02-01 19:55:00+00:00,38363.01,CLOSE_INVALIDATION_F35,-0.01456864945619285,-7.684324728096426,160.0,False,False
